Файл;Исход;Адрес из ТЗ;Куда класть;Примечание
abac-kompressor.ru/abac-kompressor--filtry-magistralnye.html;ДРУГОЙ;https://abac-kompressor.ru/catalog/filtry-magistralnye/;https://abac-kompressor.ru/catalog/filtry-magistralnye-abac/;
abac-kompressor.ru/abac-kompressor--osushiteli.html;ДРУГОЙ;https://abac-kompressor.ru/catalog/osushiteli/;https://abac-kompressor.ru/catalog/ochistka-szhatogo-vozdukha/;
abac-kompressor.ru/abac-kompressor--tsiklonnye-separatory.html;ДРУГОЙ;https://abac-kompressor.ru/catalog/tsiklonnye-separatory/;https://abac-kompressor.ru/catalog/maslovlagootdeliteli-abac/;
abac-kompressor.ru/abac-kompressor--vintovye-kompressory.html;ЕСТЬ;https://abac-kompressor.ru/catalog/vintovye-kompressory/;https://abac-kompressor.ru/catalog/vintovye-kompressory/;
ac-kompressor.ru/ac-kompressor--dizelnye-kompressory.html;ДРУГОЙ;https://ac-kompressor.ru/catalog/dizelnye-kompressory/;https://ac-kompressor.ru/catalog/dizelnye-kompressory-do-14-bar/;
ac-kompressor.ru/ac-kompressor--osushiteli.html;ДРУГОЙ;https://ac-kompressor.ru/catalog/osushiteli/;https://ac-kompressor.ru/catalog/adsorbtsionnye-osushiteli-vozdukha/;
ac-kompressor.ru/ac-kompressor--porshnevye-kompressory.html;ЕСТЬ;https://ac-kompressor.ru/catalog/porshnevye-kompressory/;https://ac-kompressor.ru/catalog/porshnevye-kompressory/;
ac-kompressor.ru/ac-kompressor--spiralnye-kompressory.html;ДРУГОЙ;https://ac-kompressor.ru/catalog/spiralnye-kompressory/;https://ac-kompressor.ru/catalog/spiralnye-bezmaslyanye-kompressory/;
ac-kompressor.ru/ac-kompressor--vintovye-kompressory.html;ЕСТЬ;https://ac-kompressor.ru/catalog/vintovye-kompressory/;https://ac-kompressor.ru/catalog/vintovye-kompressory/;
berg-kompressor.ru/berg-kompressor--filtry-magistralnye.html;ДРУГОЙ;https://berg-kompressor.ru/catalog/filtry-magistralnye/;https://berg-kompressor.ru/catalog/vozdukhopodgotovka/magistralnye-filtry/;
berg-kompressor.ru/berg-kompressor--kompressornaya-stanciya.html;ДРУГОЙ;https://berg-kompressor.ru/catalog/kompressornaya-stanciya/;https://berg-kompressor.ru/catalog/modulnye-kompressornye-stantsii/;
berg-kompressor.ru/berg-kompressor--osushiteli.html;ЕСТЬ;https://berg-kompressor.ru/catalog/osushiteli/;https://berg-kompressor.ru/catalog/osushiteli/;
berg-kompressor.ru/berg-kompressor--tsiklonnye-separatory.html;ДРУГОЙ;https://berg-kompressor.ru/catalog/tsiklonnye-separatory/;https://berg-kompressor.ru/catalog/vozdukhopodgotovka/tsiklonnye-separatory/;
berg-kompressor.ru/berg-kompressor--vintovye-kompressory.html;ЕСТЬ;https://berg-kompressor.ru/catalog/vintovye-kompressory/;https://berg-kompressor.ru/catalog/vintovye-kompressory/;
