Файл;H1;Title;Description
azotnaya-stanciya-modulnaya.html;Модульная азотная станция ABAC;Модульная азотная станция ABAC: чистота азота до 99,999%;Блок-контейнер ABAC: компрессор, генератор Enger и контроль кислорода проверены на заводе. Чистота азота 95-99,999%, вход - при кислороде от 19,5%. Расчёт под площадку.
azotnaya-stanciya.html;Азотная станция ABAC на раме;Азотная станция ABAC на одной раме: одна гарантия, монтаж за 1-2 дня;Компрессор ABAC, генератор Enger, ресивер и автоматика собраны на общей раме. Чистота азота 95-99,999% - адсорбция или мембрана. Одна гарантия, монтаж за 1-2 дня.
filtry-magistralnye.html;Магистральные фильтры ABAC;Магистральные фильтры ABAC на 16 бар: 3 серии, класс 1-3;Три серии магистральных фильтров ABAC на 16 бар - SPINN, MICRON, GENESIS, 160 позиций. Класс очистки 1-3, остаточное масло 0,01-1 мг/м³. Подберём фильтр под станцию.
kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция ABAC;Модульная кислородная станция ABAC в контейнере: работа до -30°C;Блок-контейнер ABAC с компрессором, генератором Enger и заправочной зоной обкатан на заводе. Чистота кислорода 90-95%, дожим до 200 бар, работа при морозе до -30°C.
kislorodnaya-stanciya.html;Кислородная станция ABAC на раме;Кислородная станция ABAC: чистота 93-95% для сварки и баллонов;Компрессор ABAC, генератор кислорода и ресивер на общей раме - для сварки, аэрации воды и заправки баллонов. Чистота 93-95%, дожим до 150-200 бар. Подбор под ваш расход.
kompressornaya-stanciya.html;Компрессорная станция ABAC;Компрессорная станция ABAC под реальный расход вашего цеха;Компрессор, ресивер, осушитель и фильтры ABAC подбираются под фактический расход без лишнего запаса. В каталоге 64% позиций с ресивером, 43% - с осушителем с завода.
mks.html;Модульная компрессорная станция ABAC;Модульная компрессорная станция ABAC: контейнер под ключ;Блок-контейнер ABAC с утеплением, вентиляцией, отоплением и пожарной автоматикой смонтирован на заводе. Пусконаладка за 1-2 дня, гарантия 12 месяцев на весь модуль.
osushiteli.html;Осушители сжатого воздуха ABAC;Осушители ABAC трёх серий: точка росы до +3°C под давлением;Осушители ABAC серий SPINN, MICRON, GENESIS - 17 позиций, производительность 0,85-25 м³/мин, давление 13-16 бар. Экономия энергии до 20-30%. Подбор под компрессор.
tsiklonnye-separatory.html;Циклонные сепараторы ABAC;Циклонные сепараторы ABAC: 19 позиций на давление 16 бар;Три линейки циклонных сепараторов ABAC - SPINN, MICRON, GENESIS, производительность 2100-141600 л/мин. Первая ступень очистки от влаги, ресурс корпуса 10-20 лет.
vintovye-kompressory.html;Винтовые компрессоры ABAC;Винтовые компрессоры ABAC: 420 позиций от 2,2 до 75 кВт;Каталог винтовых компрессоров ABAC: 2,2-75 кВт, производительность 220-12400 л/мин, давление 7,5-13 бар. 271 модель с ресивером, 30 - с частотным приводом.
