Файл;H1;Title;Description
azotnaya-stanciya-modulnaya.html;Модульная азотная станция BERG;Модульная азотная станция BERG: контейнер, чистота азота до 99,999%;Модульная азотная станция BERG в блок-контейнере: компрессор 4-355 кВт, генератор Enger, чистота 95-99,999%, давление 8-10 бар. Решение для площадки без здания.
azotnaya-stanciya.html;Азотная станция на базе BERG;Азотная станция на базе BERG: чистота до 99,999%, давление 5-8 бар;Азотная станция BERG: генератор Enger, ресивер. Чистота от 95% до 99,999%, производительность 30-20 000 л/мин, давление 5-8 бар, отдельные модели - до 12 бар.
filtry-magistralnye.html;Магистральные фильтры BERG;Магистральные фильтры BERG: 142 позиции, подбор под компрессор;Магистральные фильтры BERG для очистки сжатого воздуха: удаляют частицы, масло, конденсат и запах. 142 позиции разных исполнений, под заказ - весь модельный ряд завода.
kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция BERG;Модульная кислородная станция BERG: контейнер, чистота газа 93-95%;Модульная кислородная станция BERG в блок-контейнере: компрессор 4-355 кВт, генератор Enger 20-1670 л/мин, чистота до 93-95%. Расчёт под параметры газа и площадки.
kislorodnaya-stanciya.html;Кислородная станция на компрессоре BERG;Кислородная станция BERG: заправка баллонов, дожимной компрессор;Кислородная станция BERG: компрессор 4-355 кВт, генератор Enger 20-1670 л/мин, чистота 93-95%. При необходимости - дожимной компрессор и рампа для заправки баллонов.
kompressornaya-stanciya.html;Компрессорная станция BERG под ключ;Компрессорная станция BERG под ключ: подбор, монтаж и сервис;Компрессорная станция BERG: компрессор 4-355 кВт, ресивер, осушитель, фильтрация и автоматика. В каталоге 598 позиций, 203 с частотным приводом. Подбор под расход цеха.
mks.html;Модульная компрессорная станция BERG;Модульная компрессорная станция BERG: МКС в контейнере под ключ;МКС BERG - блок-контейнер с винтовым компрессором 4-355 кВт: утепление, вентиляция, отопление, электрика, пожарная автоматика. Производительность 400-63 000 л/мин.
osushiteli.html;Осушители сжатого воздуха BERG;Осушители сжатого воздуха BERG: 86 моделей мощностью 0,1-18 кВт;Осушители BERG удаляют влагу из сжатого воздуха: 86 позиций 0,1-18 кВт, давление 10-16 бар. Снижают точку росы, защищают трубы от коррозии и пневмоинструмент от поломок.
tsiklonnye-separatory.html;Циклонные сепараторы BERG;Циклонные сепараторы BERG: 30 моделей на давление 12-16 бар;Циклонные сепараторы BERG для компрессорных установок: 30 моделей на давление 12-16 бар. Комплект с крепежом и дренажной арматурой, подбор под параметры компрессора.
vintovye-kompressory.html;Винтовые компрессоры BERG;Винтовые компрессоры BERG: 598 моделей, 4-355 кВт, до 16 бар;Винтовые компрессоры BERG 4-355 кВт: 598 моделей, 400-63 000 л/мин, давление 7-16 бар. 203 - с частотным приводом, 205 - с ресивером, 100 - с осушителем.
