inn;predpriyatie;region;verdikt;skryto;est_tehtelefon
1101040763;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРУДАРЕНДА""";Республика Коми;;да;нет
2538007173;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ВЛАДИВОСТОКА ""ВЛАДИВОСТОКСКОЕ ПРОИЗВО";Владивосток;;да;нет
3235018450;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ БРЯНСКОЙ;Брянск;;да;нет
7705059380;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""ЦЕНТР УПРАВЛЕНИЯ ";Москва;;да;нет
7709157406;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ФИЗКУЛЬТУРНО-СПОРТ;Москва;;да;нет
7720800596;Государственное бюджетное учреждение города Москвы «Жилищник района Но;Москва;;да;нет
7724654924;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТГРУПП-ЭНЕРДЖИ""";Краснодарский край;нет;да;нет
7725009860;Государственное бюджетное учреждение города Москвы «Спортивная школа о;Москва;;да;нет
7735527300;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ «КУЛЬТУРНЫ;;;да;нет
7743104059;Государственное бюджетное учреждение города Москвы «Жилищник Молжанино;Москва;;да;нет
7730248430;РУСАЛ Менеджмент (непрофильные активы);;есть;нет;да
2630800970;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ МИНЕРАЛЬНЫЕ ВОДЫ";Ставропольский край;нет;нет;нет
2983009240;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАРАНДЕЙСКИЙ ТЕРМИНАЛ""";Ненецкий АО;нет;нет;нет
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";Кемеровская область;есть;нет;нет
4253042369;"ООО ""ЭР ЛИКИД КУЗБАСС""";Кемеровская область - Кузбасс;есть;нет;нет
5004028359;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ТЕРЯЕВСКОЕ КОМПЛЕКСНОЕ БЛАГОУСТРОЙС";Московская область;нет;нет;нет
6147025090;"ФКП ""КОМБИНАТ ""КАМЕНСКИЙ""";;нет;нет;нет
7116145470;Новомосковский хлор;Тульская область;покупает;нет;нет
