inn;predpriyatie;sayt;chem_vzyat;podtverzhdenie;sayt_na_kartochke_cheko
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";rte.ru;поиск 2-й сессии;один источник, вторым не проверен;
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";magnus-prom.ru;поиск 2-й сессии;расходится с карточкой чеко: kompressor-centr.ru;kompressor-centr.ru
5103070023;"АО ""АПАТИТ""";phosagro.ru;поиск 2-й сессии;расходится с карточкой чеко: bmu.ru;bmu.ru
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";uralsteel.com;поиск 2-й сессии;один источник, вторым не проверен;
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";kurganpribor.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;kurganpribor.ru
1658152572;"ООО ""МОНАТ ГРУПП""";monatgroup.ru;поиск 2-й сессии;один источник, вторым не проверен;
7708619320;"ПАО ""ОАК""";uacrussia.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;uacrussia.ru
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";kgs.kaluga.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;kgs.kaluga.ru
7406002523;"АО ""КАРАБАШМЕДЬ""";karmed.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;karmed.ru
1433000147;"АК ""АЛРОСА"" (ПАО)";alrosa.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;alrosa.ru
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";sibur.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;sibur.ru
7713085659;"АО ""ВБД""";wbd.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;wbd.ru
4715019631;"АО ""ТВСЗ""";tvsz.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;tvsz.ru
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";goldpro.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;goldpro.ru
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";uralmash-ngo.com;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;uralmash-ngo.com
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";akkermann.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;akkermann.ru
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";vsmpo.ru;поиск 2-й сессии;один источник, вторым не проверен;
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";knauf.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;knauf.ru
6310000160;"АО ""СМЗ""";smw.ru;поиск 2-й сессии;расходится с карточкой чеко: aluzone.ru;aluzone.ru
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";lab-industries.ru;поиск 2-й сессии;расходится с карточкой чеко: velutte.ru;velutte.ru
2706028675;"ООО ""АГМК""";golden-team.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;golden-team.ru
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";polyus.com;поиск 2-й сессии;один источник, вторым не проверен;
6230051360;"ООО ""ЗАВОД ТЕХНО""";tn.ru;поиск 2-й сессии;расходится с карточкой чеко: tungstone.ru;tungstone.ru
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";metafrax.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;metafrax.ru
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";sibur.ru;поиск 2-й сессии;один источник, вторым не проверен;
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";rwl.ru;поиск 2-й сессии;один источник, вторым не проверен;
7706613770;"ООО ""РН-БУРЕНИЕ""";rosneft.ru;поиск 2-й сессии;один источник, вторым не проверен;
7713748828;"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";aspex.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;aspex.ru
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";promsort.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;promsort.ru
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";jacobsdouweegberts.com;поиск 2-й сессии;расходится с карточкой чеко: maximcoffee.ru;maximcoffee.ru
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";baltika.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;baltika.ru
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";maheev.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;maheev.ru
5607011852;"ООО ""МЕТАЛЕКС""";metal-x.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;metal-x.ru
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";uprt-nv.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;uprt-nv.ru
1674002165;"ООО ""СОЛЛЕРС АЛАБУГА""";sollers-cargo.ru;поиск 2-й сессии;расходится с карточкой чеко: sollers-auto.com;sollers-auto.com
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";tehnonrg.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;tehnonrg.ru
2462004363;"АО ""КЗСК""";sibur.ru;поиск 2-й сессии;расходится с карточкой чеко: kzsk.ru;kzsk.ru
4823006703;"ПАО ""НЛМК""";nlmk.com;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;nlmk.com
5433188577;"ООО ""ЗТИ СИБИРЬ""";zti.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;zti.ru
7802118578;"ООО ""ОПХ""";heinekenrussia.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;heinekenrussia.ru
3321005528;"АО ""ЛЕККО""";pharmstd.ru;поиск 2-й сессии;расходится с карточкой чеко: masterpharm.ru;masterpharm.ru
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";holcim.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;holcim.ru
4216001565;"АО ""КФ""";kfw.ru;поиск 2-й сессии;подтверждён дважды: и на карточке чеко, и поиском;kfw.ru
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";pharmstd.ru;поиск 2-й сессии;расходится с карточкой чеко: consalting.ru;consalting.ru
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";izvarino-pharma.ru;поиск 2-й сессии;один источник, вторым не проверен;
