inn;predpriyatie;obekt;deystvuet_do;status;data;vyvod;ekspertnaya_org;ssylka
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";Корпус центробежного нагнетателя природного газа типа НЦ-16/76-1,44 заводской. № 16, станционный № 63, инвентарный № 136213. Рег. № А58-80046-0119 «Площадка компрессорной станции Приозерного линейного производственного управления магистральных газопроводов». Место установки: филиал ООО «Газпром трансгаз Югорск» Приозерное ЛПУМГ, цех № 6, ГПА № 63.;22.06.2050;Действует;01.04.2019;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-12663-2019
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";корпус центробежного нагнетателя природного газа типа НЦ-16/76-1,44 заводской. №249, станционный № 65, инвентарный № 138265. Рег. № А58-80046-0012 «Площадка компрессорной станции Ягельного линейного производственного управления магистральных газопроводов». Место установки: филиал ООО «Газпром трансгаз Югорск» Ягедьное ЛПУМГ, цех № 6, ГПА № 65;20.08.2049;Действует;19.07.2019;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-28493-2019
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";центробежный нагнетатель природного газа типа НЦ-16/76-1,44 заводской. № 24134, станционный № 22, инвентарный № 131846. Рег. № А58-80046-0198 «Площадка компрессорной станции Карпинского линейного производственного управления магистральных газопроводов». Место установки: филиал ООО «Газпром трансгаз Югорск» Карпинское ЛПУМГ, ГПА № 22.;10.08.2048;Действует;15.07.2019;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-27390-2019
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";"Заключение экспертизы промышленной безопасности на техническое устройство 
центробежный компрессор типа GT056T5D1, поз. 1-40-43 KA-001, зав. 14-3354 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 1 40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»)";31.12.2046;Действует;06.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-01900-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";"Заключение экспертизы промышленной безопасности на техническое устройство
центробежный компрессор типа GT056T5D1, поз. 2-40-43 KA-001, зав. 14-3355 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 2-40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»)";31.12.2046;Действует;06.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-01901-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";"Заключение экспертизы промышленной безопасности на техническое устройство 
центробежный компрессор типа GT050T3D1, поз. 2-40-43 KA-002, зав. 14-3357 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 2-40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»)";31.12.2046;Действует;06.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-01902-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";"Заключение экспертизы промышленной безопасности на техническое устройство 
центробежный компрессор типа GT050T3D1, поз. 1-40-43 KA-002, зав. 14-3356 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 1 40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»)";31.12.2046;Действует;07.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-01963-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";Заключение экспертизы промышленной безопасности на техническое устройство центробежный компрессор типа GT056T5D1, поз. 1-40-43 KA-001, зав. № 14-3354 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 1–40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»);31.12.2046;Действует;10.04.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-03334-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";Заключение экспертизы промышленной безопасности на техническое устройство центробежный компрессор типа GT050T3D1, поз. 2-40-43 KA-002, зав. № 14-3357 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 2-40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»);31.12.2046;Действует;11.04.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-03462-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";Заключение экспертизы промышленной безопасности на техническое устройство центробежный компрессор типа GT056T5D1, поз. 2-40-43 KA-001, зав. № 14-3355 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 2-40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»);31.12.2046;Действует;11.04.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-03465-2023
