url;глубина;раздел;запросов_яндекс;показы_яндекс;клики_яндекс;запросов_google;показы_google;клики_google
https://prokompressor.ru/catalog/vozdushnye-kompressory/;1;vozdushnye-kompressory;873;2149;14;300;898;1
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-tsekha/;3;vozdushnye-kompressory;25;947;0;71;647;1
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-lazernoy-rezki/;3;vozdushnye-kompressory;44;18;0;66;1176;5
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-komplektatsii/s-resiverom-i-osushitelem/;3;vozdushnye-kompressory;7;13;1;107;1117;0
https://prokompressor.ru/catalog/generatsiya-gazov/generatory-azota/;2;generatsiya-gazov;75;81;0;77;745;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/;3;vozdushnye-kompressory;46;131;0;65;586;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-meditsiny/;3;vozdushnye-kompressory;6;7;0;34;645;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/tsentrobezhnye/;3;vozdushnye-kompressory;38;85;0;25;396;0
https://prokompressor.ru/catalog/;0;root;137;206;10;25;208;4
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-privoda/remennyy/;3;vozdushnye-kompressory;5;4;0;41;314;0
https://prokompressor.ru/catalog/generatsiya-gazov/generatory-kisloroda/;2;generatsiya-gazov;6;4;0;24;152;2
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-privoda/pryamoy/;3;vozdushnye-kompressory;1;2;0;34;140;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-komplektatsii/s-osushitelem/;3;vozdushnye-kompressory;15;23;1;30;111;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-komplektatsii/s-chastotnym-preobrazovatelem/;3;vozdushnye-kompressory;4;5;0;11;103;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-burovykh-ustanovok/;3;vozdushnye-kompressory;20;48;0;3;10;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-plazmennoy-rezki/;3;vozdushnye-kompressory;3;8;0;12;40;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-4-mm/;4;vozdushnye-kompressory;11;20;0;1;1;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-12-mm/;4;vozdushnye-kompressory;0;0;0;4;16;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-8-mm/;4;vozdushnye-kompressory;10;11;1;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-fotoseparatorov/;3;vozdushnye-kompressory;8;7;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-9-5-mm/;4;vozdushnye-kompressory;4;5;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-komplektatsii/s-resiverom/;3;vozdushnye-kompressory;2;1;0;2;3;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/kompressornye-stantsii/;3;vozdushnye-kompressory;2;1;0;0;0;0
https://prokompressor.ru/catalog/raskhodomery-i-datchiki/difmanometry/;2;raskhodomery-i-datchiki;0;0;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/belarus/;2;vozdushnye-kompressory;1;0;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-komplektatsii/bazovoe-ispolnenie/;3;vozdushnye-kompressory;1;0;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-6-5-mm/;4;vozdushnye-kompressory;2;0;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/odnostupenchatye/;4;vozdushnye-kompressory;0;0;0;0;0;0
https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/dizelnye_1/;5;vozdushnye-kompressory;0;0;0;0;0;0
