url;блок;тяжесть;цитата;почему;что_делать
/catalog/;4;КРИТИЧНО;☎ Звоните но номеру: 8 (800) 551-77-32 ✔;Грамматическая ошибка в description: 'но номеру' вместо 'по номеру'. Поле description из досье, текст живой страницы. Ошибка попадает в сниппет поисковой выдачи по брендовым запросам, где страница стоит на позициях 3-9 и её реально видят.;Переписать description целиком (см. desc_predlozhenie), заодно убрав тавтологию 'в России с доставкой по России' и хвост, который всё равно обрезается на 209 знаках.
/catalog/;7;ВНИМАНИЕ;"kannibalizaciya: 'ркз' - /catalog/ 67 показов / позиция 8,93; rival /catalog/vozdushnye-kompressory/rkz/ 34 показа / 8,71";Общий корень каталога перехватывает брендовый запрос у профильного брендового раздела, причём забирает вдвое больше показов при худшей позиции. Брендовый запрос должен вести на страницу бренда, где есть товары и цены.;Убрать из /catalog/ всё, что делает его релевантным бренду РКЗ, поставить с него ссылку на /catalog/vozdushnye-kompressory/rkz/ и усилить брендовый раздел title со словом РКЗ.
/catalog/;4;ВНИМАНИЕ;Каталог продукции в компании «Компрессор Центр» – подбираем и поставляем компрессорное оборудование в России с доставкой по России.;Тавтология 'в России ... по России' в одном предложении и полное отсутствие перечисления направлений каталога. Единственный содержательный интент страницы - 'каталог компрессоров' (Google 17 показов, позиция 13,94) - в description не отражён ни одним словом в нужной форме.;Заменить на формулировку с перечнем направлений (компрессоры, осушители, ресиверы, фильтры) и одной фразой про подбор и КП.
/catalog/;1;ПРОВЕРИТЬ;statya_est=false, statya_znakov=0, razdel.fasety_filtra={}, razdel.stranits_paginatsii=1;У страницы пустой razdel и одна страница пагинации - то есть это не товарный листинг, а страница-оглавление. Инструкция ставит такие страницы в ту же очередь генерации, что и товарные разделы, хотя SEO-статья на 3-4 тысячи знаков здесь скорее навредит.;Решить человеку: либо исключить /catalog/ из очереди генерации, либо писать сюда не статью, а короткий блок-навигатор по направлениям с перелинковкой. Признак для автоматического отсева таких страниц: pozitsiy_v_vygruzke=null и пустые fasety_filtra.
/catalog/generatsiya-gazov/;5;ВНИМАНИЕ;Поставляем генераторы азота Enger разных производительностей и чистот. Оборудование выпускается на собственных мощностях напрямую без посреднических наценок.;Заголовок раздела «Генераторы собственного производства» и это утверждение спорят с собственным фильтром страницы: razdel.fasety_filtra = {«Enger»: 227, «Китай»: 212}, то есть у 212 позиций из 227 в фасете страны стоит Китай. Одно из двух неверно: либо формулировка про собственные мощности, либо значение фасета. Читатель видит и то и другое на одной странице.;Свести формулировку с фактом: если Enger это собственная торговая марка с контрактным производством, так и написать. Либо привести фасет страны в соответствие. Утверждение «без посреднических наценок» подтвердить или снять.
/catalog/generatsiya-gazov/;5;ПРОВЕРИТЬ;PSA дает концентрацию азота от 95% до 99,999%, выход зависит от требуемой чистоты.;Как утверждение о технологии оно возможно, но досье его не подтверждает (fakty_brenda и spravka_kategorii пусты), а ассортимент раздела ему противоречит снизу: в razdel.fasety_filtra минимальная чистота азотных генераторов 98,00 (значения 98,00 / 99,00 / 99,50 / 99,90 / 99,99 / 99,999), позиций на 95% в разделе нет. Пришедший за 95% не найдёт в разделе ничего.;Либо оговорить, что в наличии линейка от 98%, а более низкие чистоты под заказ, либо привести нижнюю границу к фактической.
/catalog/generatsiya-gazov/;5;ПРОВЕРИТЬ;Метод проще в обслуживании и дешевле по капитальным затратам, но дает только 95-99% концентрации.;То же расхождение с ассортиментом: диапазон 95-99% в фасетах чистоты не представлен ниже 98,00. Дополнительно по фасетам нельзя понять, есть ли в разделе мембранные модели вообще: фасет тип технологии отсутствует, а все 12 примеров моделей - GN с индексами TWL и MDL без расшифровки.;Проверить, продаются ли мембранные генераторы в этом разделе. Если да - завести фасет технологии, если нет - переформулировать абзац как сравнение методов, а не как описание наличия.
/catalog/generatsiya-gazov/;2;ВНИМАНИЕ;Основные группы оборудования: генераторы азота (технология PSA или мембранная) и генераторы кислорода (адсорбция с коротким циклом).;Две группы поданы как равные, но по razdel.fasety_filtra кислородных позиций 12 из 227 (фасет «93±3»), а все 12 primery_modeley - азотные ENGER GN. Раздел на 95% азотный, и структура страницы это не отражает.;Сохранить оба направления, но выстроить текст по реальному весу: азот вперёд и подробно, кислород коротким блоком со ссылкой в дочерний раздел, где его 12 позиций.
/catalog/generatsiya-gazov/;3;ПРОВЕРИТЬ;Капитальные затраты окупаются экономией на регулярных закупках, точный срок зависит от объемов потребления и стоимости привозного газа в конкретном регионе.;Ответ FAQ уходит от единственного числа, которого ждёт снабженец, при том что порядок цен в досье есть: razdel.tsena_min=406 829 руб., tsena_max=926 795 руб. Ни цены, ни методики прикидки окупаемости в тексте нет.;Дать вилку цен по разделу и простую формулу прикидки: расход газа в месяц, цена баллона в регионе, отсюда срок. Числа брать из выгрузки.
/catalog/generatsiya-gazov/;6;ВНИМАНИЕ;После ресивера стоит префильтр грубой очистки, затем осушитель - рефрижераторный для умеренных требований или адсорбционный для глубокой осушки. Следом идут магистральные фильтры тонкой очистки - коалесцирующий для удаления масляного аэрозоля и угольный для паров масла.;Абзац перечисляет шесть типов оборудования, у каждого из которых на сайте свой раздел, и ни на один из них нет ссылки: ssylki_statyi содержит только два дочерних раздела и карточку автора.;Проставить ссылки на ресиверы, префильтры, рефрижераторные и адсорбционные осушители и магистральные фильтры прямо в этом абзаце.
/catalog/generatsiya-gazov/;4;ВНИМАНИЕ;Заказать оборудование для генерации газов в России в компании «Компрессор Центр». Доставка по России, профессиональный подбор, гарантия производителя, сервисная служба. Звоните ☎ 8 (800) 551-77-32;Шаблонное описание без единого слова, которым этот товар ищут: нет «генератора азота», «генератора кислорода», чистоты, PSA, бренда Enger. Проверить по CTR нельзя - у страницы ноль показов, но по дочерним разделам видно рабочие формулировки: «генератор азота цена» 113 показов, «генератор кислорода промышленный» 39. Плюс мета называет компанию «Компрессор Центр», а байлайн статьи - ООО «Руспром».;Поставить пару из блока 4 и свести именование компании к одному варианту по всему сайту.
/catalog/generatsiya-gazov/generatory-azota/;1;КРИТИЧНО;Схема подключения генератора азота колонного типа   Схема подключения генератора азота модульного типа;Это весь текст страницы целиком, 100 знаков: два заголовка h2 подряд, между которыми и после которых нет ни одного абзаца. Ни описания, ни характеристик, ни FAQ, ни байлайна, ни ссылок. При этом страница уже собирает 745 показов в Google и 81 в Яндексе и не даёт ни одного клика, а головные запросы ('генератор азота цена' 113 показов, 'генератор азота купить' 71, 'генератор азота' 60) стоят на пози;Написать статью с нуля по стандарту корпуса. Приоритет высокий: спрос сформирован, конкуренции внутри сайта нет, страница пустая.
/catalog/generatsiya-gazov/generatory-azota/;2;КРИТИЧНО;фасеты раздела: 99,99 - 50, 98,00 - 35, 99,50 - 35, 99,00 - 34, 99,90 - 34, 99,999 - 27;Раздел разложен по шести классам чистоты азота, и это его главная ось выбора: от 98 % (продувка, инертизация ёмкостей) до 99,999 % (электроника, лазерная резка, пищевая упаковка), причём каждый дополнительный девяток резко поднимает и цену генератора, и расход исходного сжатого воздуха. На странице про чистоту нет ни слова, при том что спрос уже приходит с указанием класса ('адсорбционный генерато;В новой статье построить блок подбора вокруг шести классов чистоты: под какую задачу какой класс, во сколько раз растёт потребление сжатого воздуха и цена при переходе с 99,5 на 99,999.
/catalog/generatsiya-gazov/generatory-azota/;4;ВНИМАНИЕ;Генераторы азота - купить с доставкой по России, цены;Два запроса уже стоят в топ-5 и не дают кликов, потому что мета на них не отвечает: 'компрессор генератор азота' 49 показов на позиции 1,31 и 'генераторы азота россии' 32 показа на 4,0. Первый - это связка с нашим основным товаром (генератор работает от винтового компрессора, и человек ищет комплект), второй - вопрос происхождения при фасетах Enger 215 и Китай 200. Ни 'компрессор', ни 'Россия', ни;Переписать по предложениям блока 4: чистота в title, связка с компрессором в description, длину ужать до нормы.
/catalog/generatsiya-gazov/generatory-azota/;7;ВНИМАНИЕ;klyuchi Google: 'азотная станция цена' 50 показов на позиции 26,52, 'азотная установка цена' 33 на 28,3, 'азотная станция купить цены' 32 на 23,5, 'азотная станция купить москва' 29 на 26,03, 'купить азотную станцию для производства азота' 27 на 27,7;Около 200 показов по формулировке 'азотная станция / установка' ловит страница генераторов, стоя на третьей странице выдачи, тогда как на сайте есть профильный /catalog/azotnye-stantsii/ (H1 'Азотные станции и установки', статья на 10 456 знаков) и у него в досье нет ни одного запроса и ни одного показа. Это не классическая каннибализация (два URL по одному запросу), а перевёрнутая картина: спрос ;Проверить индексацию и каноникал /catalog/azotnye-stantsii/. Развести интенты: оборудование (генераторы, чистота, производительность) здесь, станции под ключ (проект, блок-контейнер, монтаж, обвязка) там, поставить взаимные ссылки.
/catalog/generatsiya-gazov/generatory-azota/;2;ВНИМАНИЕ;razdel: pozitsiy_v_vygruzke = null, tsena_min = null, tsena_max = null, primery_modeley = [];По разделу нет ни одной цифры выгрузки при 11 страницах пагинации (то есть порядка 220 позиций). Без этого новую статью нельзя написать по стандарту корпуса: не будет ни количества моделей, ни цены от, ни примеров моделей для блока 'что поставляется', а именно эти числа отличают наши статьи в сниппете. Модельный спрос при этом уже идёт: 'генератор азота enger gn15-59twl' на позиции 2,0, 'азотная у;Восстановить выгрузку раздела до генерации: количество позиций, границы цен, перечень моделей Enger серии GN и остальных брендов.
/catalog/generatsiya-gazov/generatory-azota/;6;ВНИМАНИЕ;ssylki_statyi: [];Ссылок на странице нет вообще, при том что генератор азота не работает в одиночку: ему нужен винтовой компрессор, ресивер, осушитель и магистральные фильтры, и всё это мы продаём. Спрос на связку прямой: 'компрессор генератор азота' 49 показов на позиции 1,31, 'компрессор азота цена' 12 на 8,67, 'азот компрессор' 7 на 17,29. Рядом также остаются неслинкованными /catalog/azotnye-stantsii/, /catalog;В новой статье поставить ссылки на винтовые компрессоры, осушители, магистральные фильтры, азотные станции, генераторы кислорода и на раздел для лазерной резки.
/catalog/generatsiya-gazov/generatory-kisloroda/;1;КРИТИЧНО;Схема подключения генератора кислорода;Это весь текст страницы целиком: statya_znakov=38, statya_h2 состоит из одного этого заголовка, statya_tekst дословно ему равен. Под заголовком, обещающим схему подключения, нет ничего - ровно тот оборванный legacy-блок, который на соседнем разделе генераторов азота дал 100 знаков из двух заголовков при 826 показах. Страница при этом коммерческая, собирает 156 показов в месяц и стоит по головному ;Перегенерация с нуля по конвейеру. Обязательно параллельно с /generatsiya-gazov/generatory-azota/: дефект у них общий, шаблонный, и лечится одним проходом. Заодно проверить остальные legacy-страницы направления на тот же обрыв.
/catalog/generatsiya-gazov/generatory-kisloroda/;2;КРИТИЧНО;Схема подключения генератора кислорода;Единственный заголовок страницы отвечает на монтажный вопрос, который возникает уже после покупки, тогда как весь измеренный спрос - предпокупочный: 'генератор кислорода промышленный' (39 показов, позиция 13,95), 'генератор кислорода для лазерной резки' (35 показов, позиция 4,09), 'кислородные генераторы' (28 показов, 23,21) и девять ценовых формулировок. Ни один из этих интентов страницей не закр;Строить новую статью от интентов: что такое промышленный генератор кислорода 93±3 %, применение в лазерной и газопламенной резке, подбор по расходу, цена, и только последним блоком - схема подключения с компрессором и ресивером.
/catalog/generatsiya-gazov/generatory-kisloroda/;2;ВНИМАНИЕ;fasety_filtra: Enger = 12, Китай = 12, 93±3 = 12;Состав раздела однороден и полностью известен: 12 позиций, все Enger, все китайского происхождения, все с концентрацией 93±3 %. Ни один из этих фактов на странице не написан - бренд и происхождение не упоминаются нигде, концентрация есть только в description. Для покупателя это ключевые вводные: 93±3 % определяет пригодность газа для конкретной технологии, а единственный бренд в разделе - основа в;Вынести Enger, происхождение и 93±3 % в первый абзац новой статьи и в title, отдельным абзацем объяснить, для каких задач концентрации 93±3 % достаточно, а где нужен кислород высокой чистоты.
/catalog/generatsiya-gazov/generatory-kisloroda/;4;ВНИМАНИЕ;Купить промышленные генераторы кислорода 93±3%. Подбор под производство, лазерную резку и технологические задачи, гарантия, доставка по России.;"Description обещает подбор под лазерную резку, а на странице нет ни строки об этом. Запрос 'генератор кислорода для лазерной резки' даёт 35 показов на позиции 4,09 и ноль кликов; при почти топовой позиции это признак того, что сниппет обещает больше, чем видно в выдаче и чем есть на странице. Оба клика страницы за месяц пришли с ценовых запросов, а цен в разделе нет вовсе (tsena_min и tsena_max пу";"Сначала написать статью под обещание сниппета, а не наоборот. В мету добавить бренд Enger и производительность; проверить, почему по разделу не выгружаются цены при 12 позициях."
/catalog/generatsiya-gazov/generatory-kisloroda/;3;КРИТИЧНО;Схема подключения генератора кислорода;Методики подбора нет вообще: ни производительности в л/мин, ни давления на выходе, ни требований к входному воздуху, ни привязки моделей к задачам. При этом в запросах пользователи прямо называют модельные индексы и расходы, которые страница обязана расшифровывать: 'генератор кислорода go 14', 'генератор кислорода промышленные 20 литров', 'сколько стоит генератор кислорода г5', 'генератор кислород;В новую статью включить таблицу '12 моделей: производительность л/мин, концентрация, давление, требуемый компрессор', расшифровку индексов и блок про обвязку (компрессор, осушитель, ресивер).
/catalog/kislorodnye-stantsii/;5;КРИТИЧНО;При запросе уточните у заказчика назначение, требуемую чистоту, суточный и пиковый расход, давление в точке подключения и требования к резервированию.;Публичная страница обращается к читателю как к сотруднику отдела продаж. Таких обращений семь: «уточните у заказчика» (h2 «Из чего состоит кислородная станция», «Кислородная безопасность», «Стационарное и модульное исполнение»), «запросите у заказчика» («Производительность, давление и график потребления», «Заправка кислородных баллонов»). В финале текст переключается на клиента: «Пришлите параметр;Перегенерировать под нашу схему с обращением к клиенту. Все «уточните у заказчика» превратить в опросный лист для клиента или в критерии подбора с числами.
/catalog/kislorodnye-stantsii/;5;ВНИМАНИЕ;АО «Алтайстройдеталь» - производитель технических, пищевых и медицинских газов в Алтайском крае, в том числе кислорода. Для компрессорного питания производства подобрали винтовой компрессор Xeleron Z40A/8 (IP54). АО «ПТС» выпускает изолирующие дыхательные аппараты со сжатым кислородом и водолазное с;Блок называется «Реализованные проекты» на странице кислородных станций, а в обоих кейсах поставлен воздушный винтовой компрессор, а не кислородная станция и не генератор. Кислород присутствует только в описании деятельности клиента. Логический разрыв: страница про поставку станций подтверждается кейсами поставки другого оборудования. Те же два кейса дословно продублированы на дочерней странице /m;Заменить на кейсы, где действительно поставлена кислородная станция или генератор. Если таких нет - переименовать блок и честно сказать, что поставляли компрессорную часть для производителей газов.
/catalog/kislorodnye-stantsii/;6;КРИТИЧНО;Модульные станции поставляются в готовом исполнении и не требуют капитального строительства. (ссылка /catalog/modulnye-kislorodnye-stantsii/) ... При попутном производстве азота рассматриваем азотно-кислородные станции с раздельным отбором газов. (ссылка /catalog/azotno-kislorodnye-stantsii/);Обе ссылки в bitye_ssylki, обе отдают 404. Правильные адреса на уровень глубже и живые: /catalog/kislorodnye-stantsii/modulnye-kislorodnye-stantsii/ (H1 «Модульные кислородные станции») и /catalog/azotnye-stantsii/azotno-kislorodnye-stantsii/ (H1 «Азотно-кислородные станции»). Дефект системный для всей ветки станций: у /catalog/azotnye-stantsii/ битая /catalog/modulnye-azotnye-stantsii/ при живой ;Заменить адреса в текстах поиском и заменой по всей ветке, плюс поставить 301 со старых корневых адресов на новые вложенные.
/catalog/kislorodnye-stantsii/;3;КРИТИЧНО;Расчётная производительность - усреднённая цифра, реальное потребление имеет пики. Два-три одновременных потребителя или короткий цикл резки дают мгновенный расход вдвое выше среднечасового. Без коэффициента одновременности станция уходит в дефицит.;Единственное место, где текст подошёл к расчёту вплотную, и коэффициент одновременности не назван ни числом, ни диапазоном. Так же оборваны все прочие критерии: «подбор идёт по средней производительности с запасом» без величины запаса, «Концентрация определяет технологию разделения воздуха и число ступеней адсорбции» без концентраций и без числа ступеней. Во всей статье на 9615 знаков ровно одно т;Перегенерировать с числами: диапазоны производительности станций, типовые концентрации O₂ по задачам, рабочее давление, коэффициент одновременности, объём буферного ресивера. Для сравнения: наша статья на /catalog/generatsiya-gazov/ при вдвое меньшем объёме содержит два десятка числовых ориентиров.
/catalog/kislorodnye-stantsii/;2;ВНИМАНИЕ;В каталоге - готовые модульные кислородные станции и комплектация под индивидуальный проект.;Обещание витрины, которой нет: у этой страницы razdel.pozitsiy_v_vygruzke=null, primery_modeley=[], fasety_filtra={}, stranits_paginatsii=1, и ровно то же самое у дочернего раздела /catalog/kislorodnye-stantsii/modulnye-kislorodnye-stantsii/. Ни одной готовой станции в каталоге по досье нет.;Либо завести позиции в раздел, либо переформулировать: комплекс собирается под проект, а из наличия предлагаются генераторы кислорода со ссылкой на /catalog/generatsiya-gazov/generatory-kisloroda/, где 12 позиций.
/catalog/kislorodnye-stantsii/;5;ПРОВЕРИТЬ;Бустер поднимает давление от рабочего уровня генератора до давления наполнения - обычно 150-200 бар.;Число досье не подтверждает: fakty_brenda и spravka_kategorii пусты, раздел без выгрузки. Не додумываю технику из памяти. Дополнительно оно не сходится с формулировкой соседнего блока «Заправка баллонов требует давления на порядок выше, чем подача в трубопровод»: порядок это десятикратно, а от рабочих единиц бар до 150-200 бар разница в 15-25 раз.;Сверить давление наполнения по паспортам бустеров, которые реально ставим, завести значение в spravka_kategorii и привести обе формулировки к одному числу.
/catalog/kislorodnye-stantsii/;5;ПРОВЕРИТЬ;Мембраны для промышленных концентраций не применяются: они не обеспечивают нужной степени обогащения при приемлемом удельном расходе воздуха.;Утверждение категоричное и досье его не подтверждает (spravka_kategorii пуста). Кроме того, оно не оговаривает газ, а на нашей же странице /catalog/generatsiya-gazov/ мембранная технология описана как рабочая: «Мембранная технология разделяет газы по скорости диффузии через полые волокна». Для азота это не противоречие, но читатель двух страниц видит противоречие.;Добавить «для кислорода» и подтвердить справкой по категории.
/catalog/kislorodnye-stantsii/;1;ПРОВЕРИТЬ;Назначение узлов и ключевые параметры подбора - в таблице. ... Ниже - сравнение адсорбционной схемы с поставным кислородом. ... Частые вопросы о кислородных станциях / Связанные решения;Текст четыре раза ссылается на таблицы, а под тремя h2 в statya_tekst тела нет. Утверждать, что таблиц и FAQ на странице нет, нельзя: для legacy-страниц досье сохраняет только прозу (h2, h3, p), таблицы и аккордеоны срезаются при сборе.;"Посмотреть страницу глазами: если таблицы и FAQ на месте - перенести их содержимое в текстовый слой при перегенерации; если нет - это ещё четыре обрыва в тексте."
/catalog/mks/;3;КРИТИЧНО;Модульное исполнение - оптимальный выбор для широкого спектра производственных задач. МКС считается верным решением в таких ситуациях:;Двоеточие ведёт в пустоту: перечня ситуаций дальше нет. Так же оборваны ещё четыре h2: 'Мы комплектуем МКС проверенным оборудованием' и подзаголовок 'Состав модульной компрессорной станции' без состава, 'даёт производству ряд стратегических преимуществ' без преимуществ, 'мы делим на чёткие этапы:' без этапов, 'Почему стоит заказать МКС в Компрессор Центре' и 'Связанные решения' вообще без текста. ;Перегенерировать под нашу схему. Если пустоты - следствие того, что содержимое лежит в списках и таблицах, которые не попали в текстовый слой, всё равно переписать: правило проекта запрещает ul, значит содержимое должно быть в абзацах и быть видимым краулеру.
/catalog/mks/;4;КРИТИЧНО;Модульные компрессорные станции (МКС) - купить с доставкой по РФ / Спроектируем, изготовим и запустим модульную компрессорную станцию в блок-контейнере под ключ: инженерный расчёт, оборудование со складов в России, монтаж, пусконаладка и сервис.;Флаги TITLE_ДУБЛЬ_x3 и DESC_ДУБЛЬ_x3: этот же сниппет стоит ещё на двух URL, один из них - /catalog/kompressornye-stantsii-szhatogo-vozdukha/mks/, и он же фигурирует в каннибализации по двум главным запросам. Результат: Google 334 показа и 0 кликов (klyuchi.itogi.Google.ctr=0.0). В сниппете нет ни 'цены', ни 'блочной' (Google: 'блочные компрессорные станции' 19 показов, 'блочно модульная компрессо;Развести мету трёх URL, выбрать канонический и склеить дубли. Новую пару взять из блока 4.
