url;h1;группа;статья;знаков;позиций_в_razdele;флаги
/catalog/azotnye-stantsii/modulnye-azotnye-stantsii/;Модульные азотные станции;azotnye-stantsii;legacy;6798;2;СТАТЬЯ_НЕ_НАША
/catalog/azotnye-stantsii/azotno-kislorodnye-stantsii/;Азотно-кислородные станции;azotnye-stantsii;legacy;6204;2;СТАТЬЯ_НЕ_НАША|БИТЫХ_ССЫЛОК_1
/catalog/azotnye-stantsii/;Азотные станции и установки;azotnye-stantsii;legacy;10456;2;СТАТЬЯ_НЕ_НАША|БИТЫХ_ССЫЛОК_1
/catalog/generatsiya-gazov/;Генерация газов;generatsiya-gazov;ours;4799;23;DESC_ДЛИНА_196
/catalog/kislorodnye-stantsii/modulnye-kislorodnye-stantsii/;Модульные кислородные станции;kislorodnye-stantsii;legacy;7275;2;СТАТЬЯ_НЕ_НАША|DESC_ДЛИНА_166
/catalog/kislorodnye-stantsii/;Кислородные станции и установки;kislorodnye-stantsii;legacy;9615;2;СТАТЬЯ_НЕ_НАША|БИТЫХ_ССЫЛОК_2
/catalog/kompressornye-stantsii-szhatogo-vozdukha/dozhimnye-stantsii/;Дожимные станции сжатого воздуха;kompressornye-stantsii-szhatogo-vozdukha;legacy;3675;2;СТАТЬЯ_НЕ_НАША|DESC_ДЛИНА_166
/catalog/kompressornye-stantsii-szhatogo-vozdukha/mobilnye-kompressornye-stantsii/;Мобильные компрессорные станции - дизельные и электрические;kompressornye-stantsii-szhatogo-vozdukha;legacy;9113;2;СТАТЬЯ_НЕ_НАША|TITLE_ДЛИНА_86|DESC_ДЛИНА_190|БИТЫХ_ССЫЛОК_1
/catalog/osushiteli/adsorbtsionnye/dali_osush/;Адсорбционные осушители DALI;osushiteli;ours;4505;25;
/catalog/osushiteli/adsorbtsionnye/das_osush/;Адсорбционные осушители сжатого воздуха DAS;osushiteli;ours;4588;16;
/catalog/osushiteli/adsorbtsionnye/ekomak_osush/;Адсорбционные осушители Ekomak;osushiteli;ours;4797;25;DESC_ДЛИНА_227
/catalog/osushiteli/adsorbtsionnye/enger_2/kholodnoy-regeneratsii/modulnogo-tipa_1/;Адсорбционные осушители холодной регенерации модульного типа;osushiteli;ours;4696;27;TITLE_ДЛИНА_78|DESC_ДЛИНА_224
/catalog/osushiteli/adsorbtsionnye/evrazkompressor/;Адсорбционные осушители ЕвразКомпрессор;osushiteli;ours;4685;25;TITLE_ДЛИНА_73|DESC_ДЛИНА_236
/catalog/osushiteli/adsorbtsionnye/kraftmachine_osush/;Адсорбционные осушители KRAFTMACHINE для сжатого воздуха;osushiteli;ours;4723;25;
/catalog/osushiteli/adsorbtsionnye/ozen_osush/;Адсорбционные осушители OZEN;osushiteli;ours;4603;25;DESC_ДЛИНА_225
/catalog/osushiteli/refrizheratornye/dalgakiran/;Рефрижераторные осушители DALGAKIRAN;osushiteli;ours;4070;25;DESC_ДЛИНА_233
/catalog/osushiteli/refrizheratornye/dali/;Рефрижераторные осушители DALI;osushiteli;ours;4915;25;DESC_ДЛИНА_227
/catalog/osushiteli/refrizheratornye/das/;Рефрижераторные осушители DAS;osushiteli;ours;4827;25;DESC_ДЛИНА_226
/catalog/osushiteli/refrizheratornye/ekomak/;Рефрижераторные осушители Ekomak;osushiteli;ours;4327;25;
/catalog/osushiteli/refrizheratornye/evrazkompressor/;Рефрижераторные осушители ЕвразКомпрессор;osushiteli;ours;4985;25;TITLE_ДЛИНА_75|DESC_ДЛИНА_238
/catalog/osushiteli/refrizheratornye/fiac/;Рефрижераторные осушители FIAC;osushiteli;ours;4641;24;DESC_ДЛИНА_227
/catalog/osushiteli/refrizheratornye/kraftmachine/;Рефрижераторные осушители KRAFTMACHINE;osushiteli;ours;4766;25;TITLE_ДЛИНА_72|DESC_ДЛИНА_235
/catalog/osushiteli/refrizheratornye/pneumatech/;Рефрижераторные осушители Pneumatech;osushiteli;ours;4871;17;DESC_ДЛИНА_233
/catalog/osushiteli/refrizheratornye/ozen/;Рефрижераторные осушители OZEN;osushiteli;ours;5125;24;DESC_ДЛИНА_227
/catalog/podgotovka-vozdukha/dookhladiteli/ats/;Доохладители ATS;podgotovka-vozdukha;ours;4586;25;DESC_ДЛИНА_197
/catalog/podgotovka-vozdukha/filtry-magistralnye/almig/;Фильтры магистральные ALMiG;podgotovka-vozdukha;ours;4562;25;DESC_ДЛИНА_200
/catalog/podgotovka-vozdukha/filtry-magistralnye/bezhetsk/;Фильтры магистральные Бежецк;podgotovka-vozdukha;ours;4017;18;DESC_ДЛИНА_201
/catalog/podgotovka-vozdukha/kondensatootvodchiki/comprag/;Конденсатоотводчики Comprag;podgotovka-vozdukha;ours;4686;12;DESC_ДЛИНА_185
/catalog/podgotovka-vozdukha/kondensatootvodchiki/remeza/;Конденсатоотводчики Remeza;podgotovka-vozdukha;ours;4390;6;DESC_ДЛИНА_184
/catalog/podgotovka-vozdukha/maslovlagorazdeliteli/almig/;Масловлагоотделители ALMiG для компрессоров;podgotovka-vozdukha;ours;3667;10;
/catalog/podgotovka-vozdukha/maslovlagorazdeliteli/comprag/;Масловлагоразделители Comprag;podgotovka-vozdukha;ours;4618;8;DESC_ДЛИНА_165
/catalog/podgotovka-vozdukha/maslovlagorazdeliteli/rkz/;Масловлагоразделители РКЗ;podgotovka-vozdukha;ours;4650;25;DESC_ДЛИНА_161
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/almig/;Циклонные сепараторы ALMiG;podgotovka-vozdukha;ours;4849;18;TITLE_ДЛИНА_78|DESC_ДЛИНА_176
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/ats/;Циклонные сепараторы ATS;podgotovka-vozdukha;ours;5022;19;TITLE_ДЛИНА_76|DESC_ДЛИНА_174
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/comprag/;Циклонные сепараторы Comprag;podgotovka-vozdukha;ours;4424;15;TITLE_ДЛИНА_80|DESC_ДЛИНА_178
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/kraftmann/;Циклонные сепараторы KRAFTMANN;podgotovka-vozdukha;ours;4152;19;TITLE_ДЛИНА_82|DESC_ДЛИНА_180
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/pneumatech/;Циклонные сепараторы Pneumatech;podgotovka-vozdukha;ours;4711;25;TITLE_ДЛИНА_83|DESC_ДЛИНА_181
/catalog/podgotovka-vozdukha/separatory-tsentrobezhnye-tsiklonnye/remeza/;Циклонные сепараторы Remeza;podgotovka-vozdukha;ours;4533;11;TITLE_ДЛИНА_79|DESC_ДЛИНА_177
/catalog/raskhodomery-i-datchiki/difmanometry/;Дифманометры;raskhodomery-i-datchiki;none;0;2;НЕТ_СТАТЬИ|DESC_ДЛИНА_175
/catalog/raskhodomery-i-datchiki/datchiki/;Датчики;raskhodomery-i-datchiki;ours;4530;6;DESC_ДЛИНА_170
/catalog/raskhodomery-i-datchiki/raskhodomery/;Расходомеры;raskhodomery-i-datchiki;ours;4533;24;DESC_ДЛИНА_174
/catalog/zapasnye-chasti-i-raskhodniki/kontrollery/;Воздушные фильтры для компрессоров;zapasnye-chasti-i-raskhodniki;ours;4952;17;TITLE_ДУБЛЬ_x11|DESC_ДУБЛЬ_x11
/catalog/zapasnye-chasti-i-raskhodniki/maslyanye-filtry/atmos/;Масляные фильтры Atmos;zapasnye-chasti-i-raskhodniki;ours;4773;8;DESC_ДЛИНА_239
/catalog/zapasnye-chasti-i-raskhodniki/maslyanye-filtry/comaro/;Масляные фильтры COMARO;zapasnye-chasti-i-raskhodniki;ours;4646;11;DESC_ДЛИНА_240
/catalog/zapasnye-chasti-i-raskhodniki/maslyanye-filtry/comprag/;Масляные фильтры Comprag;zapasnye-chasti-i-raskhodniki;ours;4629;10;DESC_ДЛИНА_241
/catalog/zapasnye-chasti-i-raskhodniki/separatory-maslootdeliteli/atmos/;Сепараторы (маслоотделители) Atmos;zapasnye-chasti-i-raskhodniki;ours;4343;8;DESC_ДЛИНА_243
/catalog/zapasnye-chasti-i-raskhodniki/vozdushnye-filtry/atmos/;Воздушные фильтры Atmos;zapasnye-chasti-i-raskhodniki;ours;3846;8;DESC_ДЛИНА_240
/catalog/zapasnye-chasti-i-raskhodniki/vozdushnye-filtry/sotras/;Воздушные фильтры Sotras;zapasnye-chasti-i-raskhodniki;ours;3929;25;DESC_ДЛИНА_241
/catalog/vozdushnye-kompressory/po-komplektatsii/;Компрессоры по комплектации;ВК / po-komplektatsii;ours;4851;24;DESC_ДЛИНА_190
/catalog/vozdushnye-kompressory/po-komplektatsii/bazovoe-ispolnenie/;Компрессоры на раме (базовое исполнение);ВК / po-komplektatsii;legacy;1721;25;СТАТЬЯ_НЕ_НАША|DESC_ДЛИНА_178
/catalog/vozdushnye-kompressory/po-moshchnosti/100-kvt/;Компрессоры 100 кВт;ВК / po-moshchnosti;ours;4557;24;
/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-peskostruya/soplo-6-5-mm/;Винтовые компрессоры для пескоструя (сопло 6,5 мм);ВК / po-naznacheniyu;legacy;1819;24;СТАТЬЯ_НЕ_НАША|ДЛИННОЕ_ТИРЕ
/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-vyduva-pet/16-bar-1/;Компрессоры для выдува ПЭТ 16 бар;ВК / po-naznacheniyu;ours;4922;26;DESC_ДЛИНА_262
/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-vyduva-pet/vd-vyshe-40-bar/;Компрессоры для выдува ПЭТ выше 40 бар;ВК / po-naznacheniyu;ours;4729;26;TITLE_ДЛИНА_72|DESC_ДЛИНА_267
/catalog/vozdushnye-kompressory/po-tipu/kompressornye-stantsii/modulnye/;Модульные компрессорные станции;ВК / po-tipu;legacy;3222;3;СТАТЬЯ_НЕ_НАША|DESC_ДЛИНА_178|TITLE_ДУБЛЬ_x3|DESC_ДУБЛЬ_x3
/catalog/vozdushnye-kompressory/po-tipu/vintovye/odnostupenchatye/;Компрессоры одноступенчатые;ВК / po-tipu;none;0;2;НЕТ_СТАТЬИ|DESC_ДЛИНА_191
/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/dizelnye_1/;Передвижные дизельные компрессоры;ВК / po-tipu;none;0;2;НЕТ_СТАТЬИ|DESC_ДЛИНА_197
/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/elektricheskie/bezhetsk_elektro/;Передвижные электрические компрессоры Бежецк;ВК / po-tipu;ours;4096;14;TITLE_ДЛИНА_78|DESC_ДЛИНА_208
/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/elektricheskie/zega_2/;Передвижные электрические компрессоры ZEGA;ВК / po-tipu;ours;4944;28;TITLE_ДЛИНА_76|DESC_ДЛИНА_206
/catalog/vozdushnye-kompressory/po-tipu/bustery/kraftmann/;Дожимающие компрессоры (бустеры) KRAFTMANN;ВК / po-tipu;ours;4897;26;DESC_ДЛИНА_201
/catalog/vozdushnye-kompressory/po-tipu/nizkogo-davleniya/dalgakiran/;Компрессоры низкого давления DALGAKIRAN;ВК / po-tipu;ours;4471;26;TITLE_ДУБЛЬ_x5|DESC_ДУБЛЬ_x5
/catalog/vozdushnye-kompressory/po-tipu/nizkogo-davleniya/dali/;Компрессоры низкого давления DALI;ВК / po-tipu;ours;5276;26;TITLE_ДУБЛЬ_x5|DESC_ДУБЛЬ_x5
/catalog/vozdushnye-kompressory/po-tipu/nizkogo-davleniya/enger/;Компрессоры низкого давления Enger;ВК / po-tipu;ours;4919;26;TITLE_ДУБЛЬ_x5|DESC_ДУБЛЬ_x5
/catalog/vozdushnye-kompressory/po-tipu/nizkogo-davleniya/zega/;Компрессоры низкого давления ZEGA;ВК / po-tipu;ours;4840;18;TITLE_ДУБЛЬ_x5|DESC_ДУБЛЬ_x5
/catalog/vozdushnye-kompressory/po-tipu/vintovye/100-to-132/;Винтовые компрессоры 100 кВт;ВК / po-tipu;ours;4635;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/10000-to-10000/;Винтовые компрессоры производительностью 10000 л/мин;ВК / po-tipu;ours;4827;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/110-to-110/;Винтовые компрессоры 110 кВт;ВК / po-tipu;ours;4142;26;TITLE_ДУБЛЬ_x2
/catalog/vozdushnye-kompressory/po-tipu/vintovye/11-to-11/;Винтовые компрессоры 11 кВт;ВК / po-tipu;ours;4818;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/15000-to-15000/;Винтовые компрессоры производительностью 15 м3/мин (15000 л/мин);ВК / po-tipu;ours;4841;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/185-to-185/;Винтовые компрессоры 185 кВт;ВК / po-tipu;ours;4769;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/200-to-200/;Винтовые компрессоры с ресивером 200 л;ВК / po-tipu;ours;4917;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/2000-to-2000/;Винтовые компрессоры производительностью 2000 л/мин;ВК / po-tipu;ours;4739;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/20000-to-20000/;Винтовые компрессоры производительностью 20000 л/мин;ВК / po-tipu;ours;4269;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/220-230/;Винтовые компрессоры 220/230 В;ВК / po-tipu;ours;3903;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/220-to-220/;Винтовые компрессоры 220 кВт;ВК / po-tipu;ours;4031;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/250-to-250/;Винтовые компрессоры с ресивером 250 л;ВК / po-tipu;ours;4470;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/23000-to-23000/;Винтовые компрессоры производительностью 23000 л/мин;ВК / po-tipu;ours;4357;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/225-to-225/;Винтовые компрессоры 225 кВт;ВК / po-tipu;ours;4817;10;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/400-to-400/;Винтовые компрессоры с ресивером 400 л;ВК / po-tipu;ours;4830;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/380-380-660-400/;Винтовые компрессоры 380 В;ВК / po-tipu;ours;4847;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/airbox/;Винтовые компрессоры Airbox;ВК / po-tipu;ours;3780;12;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/airman/;Винтовые компрессоры Airman;ВК / po-tipu;ours;4734;25;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/ariacom/;Винтовые компрессоры ARIACOM;ВК / po-tipu;ours;4962;26;
