Файл;H1;Title;Description;Знаков;Призывов;Кнопок;Источник
zif-kompressor--azotnaya-stanciya.html;Азотная станция на базе компрессора ЗИФ;Азотная станция высокого давления на компрессоре ЗИФ: расчёт под расход, чистоту и давление, сборка под ключ;Азотная станция на базе компрессора ЗИФ до 40 бар по воздуху. Подбираем генератор под чистоту 95-99,999%, считаем воздушную часть, собираем модуль. Дожим азота при необходимости. Расчёт в течение часа;25750;2;2;zif-kompressor--azotnaya-stanciya.RUCHNOY.html
zif-kompressor--azotnaya-stanciya-modulnaya.html;Модульная азотная станция на базе компрессора ЗИФ;Модульная азотная станция на компрессоре ЗИФ - расчёт под параметры газа и площадки;Собираем модульную азотную станцию на базе компрессора ЗИФ от 5,5 до 711 кВт, давление до 40 бар. Расчёт по параметрам газа, подбор инженерных систем контейнера, КП с компоновкой;20543;4;4;zif-kompressor--azotnaya-stanciya-modulnaya.RUCHNOY.html
zif-kompressor--kislorodnaya-stanciya.html;Кислородная станция на базе компрессоров ЗИФ;Кислородная станция на базе компрессора ЗИФ - расчёт под расход и чистоту;Собираем кислородные станции на компрессоре ЗИФ до 711 кВт и 40 бар. Генератор Enger, тракт подготовки, дожим до 200 бар. Расчёт по расходу, чистоте и режиму.;23077;9;6;zif-kompressor--kislorodnaya-stanciya.RUCHNOY.html
zif-kompressor--kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция на базе компрессора ЗИФ;Модульная кислородная станция на базе компрессора ЗИФ - расчёт и поставка под параметры объекта;Модульная кислородная станция на базе винтового компрессора ЗИФ до 711 кВт и давления до 40 бар. Сборка генерации, дожима, вентиляции и контроля в блок-контейнере. Расчёт под параметры газа и данные площадки.;19298;3;3;zif-kompressor--kislorodnaya-stanciya-modulnaya.RUCHNOY.html
zif-kompressor--kompressornaya-stanciya.html;Компрессорные станции ЗИФ;Компрессорная станция ЗИФ - расчёт и поставка под параметры объекта;Собираем компрессорные станции на базе компрессоров ЗИФ от 5,5 до 711 кВт, давление до 40 бар. Подбор ресивера, осушителя и фильтрации под фактический расход цеха. Расчёт по параметрам объекта.;22017;2;2;zif-kompressor--kompressornaya-stanciya.RUCHNOY.html
zif-kompressor--mks.html;Модульные компрессорные станции на базе компрессоров ЗИФ;Модульная компрессорная станция ЗИФ: расчёт под условия площадки;Собираем модульные компрессорные станции на базе компрессоров ЗИФ до 711 кВт, давление до 40 бар. Блок-контейнер с утеплением, вентиляцией, автоматикой. Расчёт под параметры объекта.;23216;3;3;zif-kompressor--mks.RUCHNOY.html
zif-kompressor--osushiteli.html;Осушители сжатого воздуха ЗИФ для промышленных компрессоров;Осушители ЗИФ: 138 моделей 0,1-170 кВт, 10-16 бар, российское производство;Осушители сжатого воздуха производства ЗИФ под компрессоры любой производительности. Наличие на складе, короткие сроки поставки, доступные запчасти. Подбор под параметры объекта.;25902;7;6;zif-kompressor--osushiteli.RUCHNOY.html
zif-kompressor--spiralnye-kompressory.html;Спиральные безмасляные компрессоры высокого давления 8-10 бар ЗИФ: 14 моделей российского производства;Спиральные компрессоры ЗИФ 8-10 бар - российское производство, сроки поставки со склада;Спиральные безмасляные компрессоры ЗИФ 340-2400 л/мин, давление 8-10 бар, мощность 3.7-22 кВт. Производство в России, локализация запчастей, короткие сроки поставки. Расчёт станции под параметры объекта.;20038;4;4;zif-kompressor--spiralnye-kompressory.RUCHNOY.html
zif-kompressor--tsentrobezhnye-kompressory.html;Центробежные компрессоры ЗИФ;Центробежные компрессоры ЗИФ: 60 позиций 132-2000 кВт, давление до 22 бар;Центробежные воздушные компрессоры ЗИФ производительностью 20-440 тыс. л/мин. Российское производство, складская программа запчастей, сервис на территории заказчика. Подбор под параметры объекта.;17451;3;3;zif-kompressor--tsentrobezhnye-kompressory.RUCHNOY.html
zif-kompressor--vintovye-kompressory.html;Винтовые компрессоры ЗИФ: каталог 719 моделей для высокого давления;Компрессоры ЗИФ винтовые: 719 моделей до 40 бар, российское производство;Компрессоры ЗИФ винтовые от 5.5 до 711 кВт, давление до 40 бар. 101 модель с частотным управлением, 20 безмасляных. Подбор под фактический расход цеха, сервис по России.;23049;2;2;zif-kompressor--vintovye-kompressory.RUCHNOY.html
