slug;url;причина;что_лежит_сейчас;файл_без_разметки;файл_с_разметкой
bezmaslyanye_1__spiralnye_1__enger;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/enger/;PARENT_TEXT;po-tipu-smazki__bezmaslyanye_1__spiralnye_1;plain/bezmaslyanye_1__spiralnye_1__enger.html;schema/bezmaslyanye_1__spiralnye_1__enger.html
catalog__resivery__airpol_resiver;https://prokompressor.ru/catalog/resivery/airpol_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__airpol_resiver.html;schema/catalog__resivery__airpol_resiver.html
catalog__resivery__ariacom_resiver;https://prokompressor.ru/catalog/resivery/ariacom_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__ariacom_resiver.html;schema/catalog__resivery__ariacom_resiver.html
catalog__resivery__bezhetsk_resiver;https://prokompressor.ru/catalog/resivery/bezhetsk_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__bezhetsk_resiver.html;schema/catalog__resivery__bezhetsk_resiver.html
catalog__resivery__comprag_resiver;https://prokompressor.ru/catalog/resivery/comprag_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__comprag_resiver.html;schema/catalog__resivery__comprag_resiver.html
catalog__resivery__dalgakiran_resiver;https://prokompressor.ru/catalog/resivery/dalgakiran_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__dalgakiran_resiver.html;schema/catalog__resivery__dalgakiran_resiver.html
catalog__resivery__dnt;https://prokompressor.ru/catalog/resivery/dnt/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__dnt.html;schema/catalog__resivery__dnt.html
catalog__resivery__ekomak_resiver;https://prokompressor.ru/catalog/resivery/ekomak_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__ekomak_resiver.html;schema/catalog__resivery__ekomak_resiver.html
catalog__resivery__enger;https://prokompressor.ru/catalog/resivery/enger/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__enger.html;schema/catalog__resivery__enger.html
catalog__resivery__fiac_resiver;https://prokompressor.ru/catalog/resivery/fiac_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__fiac_resiver.html;schema/catalog__resivery__fiac_resiver.html
catalog__resivery__pneumatech_resiver;https://prokompressor.ru/catalog/resivery/pneumatech_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__pneumatech_resiver.html;schema/catalog__resivery__pneumatech_resiver.html
catalog__resivery__remeza_resiver;https://prokompressor.ru/catalog/resivery/remeza_resiver/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__remeza_resiver.html;schema/catalog__resivery__remeza_resiver.html
catalog__resivery__rkz-airrus;https://prokompressor.ru/catalog/resivery/rkz-airrus/;PARENT_TEXT;prokompressor.ru__catalog__resivery;plain/catalog__resivery__rkz-airrus.html;schema/catalog__resivery__rkz-airrus.html
catalog__vozdushnye-kompressory__po-obemu-resivera;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-obemu-resivera/;REDIRECT_LOST;;plain/catalog__vozdushnye-kompressory__po-obemu-resivera.html;schema/catalog__vozdushnye-kompressory__po-obemu-resivera.html
catalog__vozdushnye-kompressory__po-tipu-privoda;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-privoda/;REDIRECT_LOST;;plain/catalog__vozdushnye-kompressory__po-tipu-privoda.html;schema/catalog__vozdushnye-kompressory__po-tipu-privoda.html
catalog__vozdushnye-kompressory__po-tipu-smazki;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/;REDIRECT_LOST;;plain/catalog__vozdushnye-kompressory__po-tipu-smazki.html;schema/catalog__vozdushnye-kompressory__po-tipu-smazki.html
catalog__zapasnye-chasti-i-raskhodniki__komplekty-dlya-to;https://prokompressor.ru/catalog/zapasnye-chasti-i-raskhodniki/komplekty-dlya-to/;WRONG_SECTION;adsorbtsionnye__enger_2__kholodnoy-regeneratsii;plain/catalog__zapasnye-chasti-i-raskhodniki__komplekty-dlya-to.html;schema/catalog__zapasnye-chasti-i-raskhodniki__komplekty-dlya-to.html
