url;кластер;тег;примечание
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/;корень;Электрические винтовые компрессоры (12 108 моделей, от 98 897 руб.);головная страница прохода
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/enger/;бренд;Enger (2268 шт. в фильтре);приоритет №1 — родной бренд
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/dalgakiran/;бренд;DALGAKIRAN (1119);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/berg/;бренд;BERG (594);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/et-compressors/;бренд;ET Compressors (570);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/almig/;бренд;ALMiG (502);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/zif/;бренд;ЗИФ (457);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ariacom/;бренд;ARIACOM (451);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kraftmann/;бренд;KRAFTMANN (437);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/magnus/;бренд;MAGNUS (435);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/abac/;бренд;ABAC (422);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/fini/;бренд;Fini (381);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/fiac/;бренд;FIAC (356);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/remeza/;бренд;Remeza (312);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ekomak/;бренд;Ekomak (309);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/hansmann/;бренд;Hansmann (298);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/airpol/;бренд;Airpol (289);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/lupamat/;бренд;LUPAMAT (265);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/atmos/;бренд;Atmos (257);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/zega/;бренд;ZEGA (223);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/comprag/;бренд;Comprag (219);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/comaro/;бренд;COMARO (198);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kraftmachine/;бренд;KRAFTMACHINE (194);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rkz/;бренд;РКЗ (188);slug повторяется в HTML дважды — одна страница
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ozen/;бренд;OZEN (183);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/das/;бренд;DAS (166);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/cross-air/;бренд;Cross Air (158);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bezhetsk/;бренд;Бежецк (122);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ironmac/;бренд;IRONMAC (99);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/atom/;бренд;ATOM (86);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/airman/;бренд;AIRMAN (79);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ultratech/;бренд;ULTRATECH (79);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/mark/;бренд;MARK (35);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/master-blast-/;бренд;MASTER BLAST (28);slug с дефисом на конце — проверить корректность URL
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/ingro/;бренд;INGRO (25);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/fubag/;бренд;Fubag (24);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/maslyanyy/;тип смазки;масляный (11 569);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bezmaslyanyy/;тип смазки;безмасляный (60);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/pryamoy/;тип привода;прямой (7435);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/remennyy/;тип привода;ременный (4640);
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/380-380-660-400/;напряжение;380В;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/220-230/;напряжение;220В;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-osushitelya-na-resivere-bez-chastotnogo-preobrazovatelya/;комплектация;Базовое исполнение;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-osushitelya-na-resivere/;комплектация;Без ресивера, с осушителем;название тега противоречит slug — проверить
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-osushitelem/;комплектация;С осушителем;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/na-resivere/;комплектация;На ресивере;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-osushitelem-na-resivere/;комплектация;На ресивере, с осушителем;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-chastotnym-preobrazovatelem/;комплектация;С частотным преобразователем;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-resivera/;комплектация;Без ресивера;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/5.5-to-5.5/;мощность;5,5 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/7-to-7/;мощность;7 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/7.5-to-7.5/;мощность;7,5 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/11-to-11/;мощность;11 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/15-to-15/;мощность;15 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/18.5-to-18.5/;мощность;18,5 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/22-to-22/;мощность;22 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/30-to-30/;мощность;30 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/37-to-37/;мощность;37 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/45-to-45/;мощность;45 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/50-to-55/;мощность;50 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/55-to-55/;мощность;55 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/75-to-75/;мощность;75 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/90-to-90/;мощность;90 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/100-to-132/;мощность;100 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/110-to-110/;мощность;110 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/132-to-132/;мощность;132 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/160-to-160/;мощность;160 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/185-to-185/;мощность;185 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/200-to-200/;мощность|ресивер;200 кВт ИЛИ 200 л;КОЛЛИЗИЯ URL: один slug на два тега
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/220-to-220/;мощность;220 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/225-to-225/;мощность;225 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/250-to-250/;мощность|ресивер;250 кВт ИЛИ 250 л;КОЛЛИЗИЯ URL
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/315-to-315/;мощность;315 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/355-to-355/;мощность;355 кВт;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/400-to-400/;мощность|ресивер;400 кВт ИЛИ 400 л;КОЛЛИЗИЯ URL
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/500-to-500/;мощность|ресивер|производительность;500 кВт ИЛИ 500 л ИЛИ 500 л/мин;КОЛЛИЗИЯ URL: три тега на один slug
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/450-to-450/;ресивер;450 л;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/900-to-900/;ресивер;900 л;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/1000-to-1000/;ресивер;1000 л;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-5-bar/;давление;5 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-6-bar/;давление;6 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-7-bar/;давление;7 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-8-bar/;давление;8 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-10-bar/;давление;10 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-12-bar/;давление;12 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-13-bar/;давление;13 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-15-bar/;давление;15 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-16-bar/;давление;16 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-20-bar/;давление;20 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-25-bar/;давление;25 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-30-bar/;давление;30 бар;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/600-to-600/;производительность;600 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/700-to-700/;производительность;700 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/800-to-800/;производительность;800 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-900-l-min/;производительность;900 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-1000-l-min/;производительность;1000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/1500-to-1500/;производительность;1500 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/2000-to-2000/;производительность;2000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/3000-to-3000/;производительность;3000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/3500-to-3500/;производительность;3500 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/5000-to-5000/;производительность;5000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/6000-to-6000/;производительность;6000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/7000-to-7000/;производительность;7000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/10000-to-10000/;производительность;10000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/12000-to-12000/;производительность;12000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/15000-to-15000/;производительность;15000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/20000-to-20000/;производительность;20000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/23000-to-23000/;производительность;23000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/25000-to-25000/;производительность;25000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/30000-to-30000/;производительность;30000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/45000-to-45000/;производительность;45000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/50000-to-50000/;производительность;50000 л/мин;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rossiya/;страна;Россия;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/germaniya/;страна;Германия;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/germaniya-rossiya/;страна;Германия-Россия;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/belarus/;страна;Беларусь;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/italiya/;страна;Италия;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/italiya-kitay/;страна;Италия-Китай;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kitay/;страна;Китай;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/polsha/;страна;Польша;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/turtsiya/;страна;Турция;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/turtsiya-belgiya/;страна;Турция-Бельгия;
