inn;predpriyatie;vyruchka_est;okved_est;rang_mashiny;faktov
6319033379;"ПАО ""ОДК-КУЗНЕЦОВ""";;да;10.0;91
2204001528;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""БИЙСКИЙ ОЛЕУМНЫЙ ЗАВОД";;да;10.0;80
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";;да;10.0;77
6623029538;"АО ""НПК ""Уралвагонзавод""";;да;10.0;50
7705035012;ПАО МОСЭНЕРГО;;;10.0;38
7839395419;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";;да;10.0;37
2462206345;"АО ""Красмаш""";;да;10.0;34
2902059091;"АО ""ПО ""СЕВМАШ""";;да;10.0;32
4312138386;"ОАО ""ЗМУ КЧХК""";;;10.0;26
7701288541;"ОАО ""Евразруда""";;;10.0;24
2437261631;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАНКОРНЕФТЬ""";;;10.0;13
7704515009;ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;;;10.0;10
7706107510;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""РОСНЕФТЬ""";;да;10.0;9
1648032420;"АО ""ПОЗИС""";;да;10.0;8
2503032517;"ООО ""ССК ""Звезда""";;да;10.0;8
1435152770;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛМАЗЫ АНАБАРА""";;;10.0;7
2315078029;"Федеральное государственное унитарное предприятие ""Главное управление специального строительства по территории Южного федерального округа при Федеральном агентстве специального строительства""";;;10.0;6
6142025298;"ООО ТУ ""Шолоховское""";;да;10.0;6
2308138460;"НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУБАНЬГА ЗИФ ИКАЦИЯ""";;;10.0;1
5902808109;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ ФИРМА ПЕРМТРАНСГАЗСТРОЙ""";;да;10.0;1
7706613770;"ООО ""РН-БУРЕНИЕ""";;;9.0;541
7733667750;ООО ГЭХ Закупки;;;9.0;514
5050073540;ООО Газпром центрремонт;;да;9.0;319
7017005296;АО Газпром добыча Томск;;;9.0;310
2312159262;"ООО ""ЛУКОЙЛ-КУБАНЬЭНЕРГО""";;;9.0;85
7707089084;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.С. ЮДИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;;9.0;54
5408105577;ИЯФ СО РАН;;;9.0;29
6147025090;"ФКП ""КОМБИНАТ ""КАМЕНСКИЙ""";;да;9.0;28
