inn;predpriyatie;marka;seriya;chto_eto;proizvoditelnost_m3min;davlenie;moshchnost;chem_menyaem;sostoyaniya;daty;ssylka;srok_sluzhby;vyvod_ekspertizy;telefon_predpriyatiya;lyudej_tehnicheskih
2130230898;ТД Транспортное машиностроение;К-250-61-2;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;03.07.2024 | 09.09.2022 | 12.08.2025 | 20.05.2025;https://www.tender.pro/api/tender/1046269/view_public;;;[];43
2130230898;ТД Транспортное машиностроение;ТВ-350-1;ТВ;турбовоздуходувка;350.0;1;;центробежный компрессор крупного ряда;покупает;03.10.2024;https://www.tender.pro/api/tender/951189/view_public;;;[];43
2130230898;ТД Транспортное машиностроение;К-250-61;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;26.06.2024;https://www.tender.pro/api/tender/912856/view_public;;;[];43
2130230898;ТД Транспортное машиностроение;ТВ-350-1,06;ТВ;турбовоздуходувка;350.0;1.06;;центробежный компрессор крупного ряда;покупает;19.12.2023 | 24.05.2024;https://www.tender.pro/api/tender/838867/view_public;;;[];43
2124009521;"ПАО ""ХИМПРОМ""";К-905-61-1;К;центробежный компрессор;905.0;61;;турбокомпрессор большой производительности;есть | покупает;09.04.2024 | 19.01.2022 | 23.01.2023 | 29.05.2026 | 30.08.20;https://monitor-pb.ru/conclusion/21-%D0%A2%D0%9F-852856-2026;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;"[""+7 (8352) 73-55-55""]";36
2124009521;"ПАО ""ХИМПРОМ""";ЦК-135/8;ЦК;центробежный компрессор;135.0;8;;центробежный компрессор среднего ряда;есть | покупает;02.05.2023 | 05.12.2019 | 06.02.2023 | 06.09.2018 | 07.07.20;https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-287973-2023;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;"[""+7 (8352) 73-55-55""]";36
2124009521;"ПАО ""ХИМПРОМ""";КТК-12,5/35;КТК;компрессор турбинный;208.3;35;;центробежный компрессор крупного ряда;есть | покупает;01.11.2024 | 03.09.2025 | 05.05.2026 | 06.11.2024 | 11.04.20;https://monitor-pb.ru/conclusion/21-%D0%A2%D0%A3-815445-2026;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;"[""+7 (8352) 73-55-55""]";36
2124009521;"ПАО ""ХИМПРОМ""";КТК12,5/35;КТК;компрессор турбинный;208.3;35;;центробежный компрессор крупного ряда;покупает;01.12.2020 | 04.05.2022 | 13.12.2022 | 14.07.2020 | 17.06.20;https://www.roseltorg.ru/procedure/COM13122200055/1;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;"[""+7 (8352) 73-55-55""]";36
2124009521;"ПАО ""ХИМПРОМ""";КТК 12.5/35;КТК;компрессор турбинный;208.3;35;;центробежный компрессор крупного ряда;покупает;06.12.2023 | 12.02.2024 | 19.07.2024 | 26.07.2024 | 26.08.20;https://www.tender.pro/api/tender/155312/view_public;any | не собирался | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;соответствует;"[""+7 (8352) 73-55-55""]";36
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";ЦК-135/8;ЦК;центробежный компрессор;135.0;8;;центробежный компрессор среднего ряда;покупает;05.07.2022 | 06.03.2023 | 18.06.2025 | 23.01.2025 | 30.05.20;https://www.tender.pro/api/tender/1050731/view_public;;соответствует;;31
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";К250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;14.03.2017;https://www.tender.pro/api/tender/268460/view_public;;соответствует;;31
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";К-250-61-5;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;28.07.2010;https://www.tender.pro/api/tender/78170/view_public;;соответствует;;31
2127309097;ПО КТЗ;К-250-61;К;центробежный компрессор;250.0;61;;центробежный компрессор крупного ряда;покупает;10.08.2022;https://www.tender.pro/api/tender/661380/view_public;;;;13
