inn;predpriyatie;sreda;marki;region;sayt;telefony_predpriyatiya;lyudej_tehnicheskih;pochemu_vygnano
1644096286;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МАЛОЕ ИННОВАЦИОННОЕ ПРЕДПРИЯТИЕ ""НЭС ПРОФЭКСПЕРТ""";газ или иная среда;ТК-403;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
1657036630;"АО ""ТАТЭНЕРГО""";газ или иная среда;К 14 | НГ 11-Б, | НД 2,5 | ПГУ-850 | ПТ-60-130;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";газ или иная среда;D 102 | А2-1, | В 41 | В3-1. | ГПА 105-108, | ГПА 108 | ГПА 201-203 | ГПА 201-20;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";газ или иная среда;22М-03/41 | 275H-120 | AD1351 | AD2351 | AD2352 | AD2459 | AD2462 | BО-14М-320-6;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
3662139440;"ООО ""ПИ"" (ИНН 3662139440)";газ или иная среда;К01А;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";газ или иная среда;2Х-4И-2 | В3.1 | В3.1-РRW-Н-420 | В4-СWS-Е-400 | В4-СWS-Н-400 | В5-СWS-Е-400 | В;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
3812100646;"ООО ""ГАЗПРОМ ДОБЫЧА ИРКУТСК""";газ или иная среда;ГПА-16 | Л 13.11 | НС-250-3М | П-101.1 | П-101.2 | УПГ-102;Иркутская;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
5905021239;"ОАО ""Минеральные удобрения""";газ или иная среда;5ЕН-6В;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
5906156140;"ООО ""ГСПГТ ПЕРМЬ""";газ или иная среда;;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
7708153631;"ООО ""Комдиагностика""";газ или иная среда;3MCL007 | М-303 | ПТ-60-130/13 | ТА-11;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
7719472189;ООО «РУСГАЗШЕЛЬФ»;газ или иная среда;;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
7725775505;"ООО ""ИНЖИНИРИНГОВЫЙ ЦЕНТР ""КРОНШТАДТ""";газ или иная среда;ПС-90 | ПС-90ГП-25, | ТУ 3111-001;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
7727557887;"ООО ""ГПБ-ЭНЕРГОЭФФЕКТ""";газ или иная среда;;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
7728173890;Газпром СПГ Портовая;газ или иная среда;;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
8903021599;"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""";газ или иная среда;GM 7L | БТ10 | БТ11 | ПКМ-4-200;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
8913000816;"АО ""ПУРГАЗ""";газ или иная среда;160S2 | 16ГЦ2 | 5Р1000/100А | АСВН-80А | АХ 65-50-160Т | В-205 | Д1В-УХЛ, | К-26;;;;0;все доказанные центробежные машины на газе, воздушных фактов нет
