inn;predpriyatie;mesto;summa
2705090529;"АО ""МНОГОВЕРШИННОЕ""";7;49523054.23
7713085659;"АО ""ВБД""";14;38131051.98
4715019631;"АО ""ТВСЗ""";15;34332708.34
6626002037;"АО ""УРАЛГИДРОМЕДЬ""";21;28080000.00
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";22;26624850.73
5607011852;"ООО ""МЕТАЛЕКС""";38;14499076.83
4220039723;"ООО ""ХЛЕБ""";137;2492863.64
7447208347;"ООО ""СЕРВИС-КОМПЛЕКТ""";138;2475365.84
6450087041;"ООО ""КОМПАНИЯ КЛАСС""";149;2107733.34
2465072918;"ООО ""ЛМЗ ""СКАД""";164;1797396.33
7838387574;"ООО ""ПОСМ С-З""";185;1394000.00
4214002316;"ПАО ""РАСПАДСКАЯ""";186;1371890.01
7708508323;"ООО ""ОМИА УРАЛ""";187;1365471.96
4212019586;"ООО ""ЧАЙНА КОУЛ СЕРВИС""";188;1338485.42
6230043899;"ООО ""ЗАВОД ТЕХНОПЛЕКС""";198;1172558.32
2454003302;"АО ""ЛЕСОСИБИРСКИЙ ЛДК № 1""";199;1163604.67
0267011229;"ООО ""БАШКИРСКАЯ МЕДЬ"", ООО ""БАШМЕДЬ""";200;1160750.00
4205051780;"ООО""АВЕКСИМА СИБИРЬ""";201;1152861.04
6679069719;"ООО ТЗК ""РАЙВАЛ""";202;1152491.33
7017012254;"АО ""СИБАГРО""";203;1151424.00
7536187339;"ООО ""ЗБК""";204;1113600.00
7708117908;"АО ""ЦЕМРОС""";205;1106481.00
4210000050;"ОАО ""ПОЛИМЕР""";206;1099737.00
6618000220;"АО ""СВЯТОГОР""";207;1090000.00
7716744564;"ООО ""ГАЗТУРБОТЭК""";208;1073200.00
6439010045;"АО ""РЕЗИНОТЕХНИКА""";209;1070021.70
6229024796;"ООО ""ЗАВОД ТЕХНОФЛЕКС""";210;1068357.19
6664014650;"АО ""УРАЛЭЛАСТОТЕХНИКА""";211;1038546.97
5408100057;ИФП СО РАН;212;1023043.00
6501178885;"ООО ""СЕРВИС КОМПАНИ""";213;991120.83
6623039575;"ООО ""УРАЛЬСКИЙ ЗАВОД ПЛАСТИФИКАТОРОВ""";214;974151.41
2463077325;"АО ""ГОРНЫЕ МАШИНЫ""";215;968700.00
7802475153;"ООО ""Р.О.С.АЛЬЯНС""";216;968020.00
4246018534;"ООО ""КДВ ЯШКИНСКАЯ МЕЛЬНИЦА""";217;925820.01
6660091703;"ООО ""НПФ""БИТЕК""";218;915350.00
6629012040;"ООО ""ЗАВОД МЕДСИНТЕЗ""";219;886841.10
8602166294;"ООО ""АЛТАЙ-СИБ""";220;861725.83
6608001915;"МУП ""ВОДОКАНАЛ""";221;861209.99
5604000700;"ПАО ""ГАЙСКИЙ ГОК""";222;859900.00
5407488528;"ООО ""ТЕХСНАБ""";223;845438.75
6626002291;"АО ""СТЗ""";224;838681.91
4220040912;"ООО ""СЗМК""";225;838000.00
7704781586;"ООО ""ТУРБОСЕРВИС РУС""";226;837577.40
2360009475;"ООО ""СМАРТ-ЮГ""";227;827123.27
5011020537;"ООО ""СЕН-ГОБЕН СТРОИТЕЛЬНАЯ ПРОДУКЦИЯ РУС""";228;811738.31
6674373867;"ООО ""АЛЬФАТРАНС""";229;808720.00
6626001636;"АО ""ПМК""";230;796483.33
4501024105;"ООО ""ЗАУРАЛЬСКИЕ НАПИТКИ""";231;793200.00
6605001321;"БОГДАНОВИЧСКОЕ ОАО ""ОГНЕУПОРЫ""";232;786392.91
7724053916;АО ЦВ ПРОТЕК;233;777283.32
5020037784;"АО ""АБ ИНБЕВ ЭФЕС""";234;772269.00
665812103395;КРИВОЩЕКОВ АЛЕКСАНДР ИВАНОВИЧ;235;760556.00
2360010382;"ООО ""БЕЛОГЛИНСКИЙ ЭЛЕВАТОР""";236;742149.93
6658019241;"ПАО ""ВИЗ""";237;738583.33
6625021894;"ООО ""ПОЛИПЛАСТ-УРАЛСИБ""";238;724400.00
9702044125;"ООО ""ЮНИМОЛ""";239;679000.00
6627000770;"ПАО ""РЗ ОЦМ""";240;672357.00
4713000120;"ОАО ""ЦЕСЛА""";241;668067.67
5402054076;"ООО ""АЛЮТЕХ-НОВОСИБИРСК""";242;665478.30
5257199845;"ООО ""НСП""";243;637000.00
7203109158;"ООО ""РЕСУРС КОМПЛЕКТ""";244;636283.34
2420008503;"ООО ""АНГАРА ЛЕС""";245;632348.32
5405172920;"ООО ""ТЕРМООПТИМА""";246;632220.00
3808197064;"ООО ""МС-ОФИСПРО""";247;631643.58
0261003648;"АО ""ИНМАН""";248;608033.33
7704219345;"ООО ""ЭСАБ""";249;602829.34
7224006227;"ЗАО ""ПТИЦЕФАБРИКА ""ПЫШМИНСКАЯ""";250;601638.32
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";251;597840.00
7417011270;"ООО ""ГРУППА ""МАГНЕЗИТ""";252;587207.33
6661044752;"ООО ""ПРЕДПРИЯТИЕ""ТРУБОПЛАСТ""";253;568432.49
6660000400;"АО ""УПЗ"", АО ""УРАЛЬСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""";254;564914.00
8607004145;"ООО ""ЛАНГЕПАССКО-ПОКАЧЁВСКОЕ НПО-СЕРВИС""";255;557499.99
5405200166;"ООО ""СПК""";256;534243.32
0814118403;"АО ""ССК""";257;526500.00
2222062530;"ООО ""КОНДИТЕРСКАЯ ФИРМА ""АЛТАЙ""";258;515850.00
6671014316;"ООО ""РАЗВИТИЕ""";259;514041.67
7453279402;"ООО ""ПАРТНЁРУРАЛ ПЛЮС""";260;512000.00
4401006864;"НАО ""СВЕЗА КОСТРОМА""";261;510340.00
2465043748;"ООО ""КРАМЗ""";262;509724.00
6686062263;"ООО ""ТРАПЕЗА""";263;500000.00
5606001611;"ООО ""ММСК""";264;499800.00
3804049957;"ООО ""БХС""";265;494000.00
5902181202;"АО ""ПЕРМАЛКО""";266;493699.98
4212014972;"ЗАО ""КАРБО-ЦАКК""";267;484656.00
2225123485;"ООО ""ЭССИБ""";268;477750.00
6672315362;"АО ""ПО ""УОМЗ""";269;475500.00
7401016314;"ООО ""КЛЗ""";270;475000.00
7817332133;"ООО ""А-МИКРОН""";271;472266.66
4508004235;"ООО ""ЗАВОД КЕРАМИЧЕСКИХ МАТЕРИАЛОВ""";272;470693.17
5643022401;"ООО ""МЕХЗАВОД""";273;465328.34
6685101745;"ООО ""ВОСТОК""";274;464781.67
5405108940;"ЗАО ШОКОЛАДНАЯ ФАБРИКА ""НОВОСИБИРСКАЯ""";275;462722.00
6671390293;"ООО ""ДИДЖИТ КОНТРОЛЬ""";276;462000.00
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";277;456278.91
6673130639;"ООО ""БЗМП""";278;437955.83
1645018033;"ООО ""ПЛАЗМА""";279;432900.00
2543097461;"ООО ""АВРОРА СПГ ВЛАДИВОСТОК""";280;427440.00
4506000010;"ОАО ""ЗАВОД СТАРТ""";281;424911.66
1832109347;"ООО НПО ""КОМПАНИЯ ""АВИС""";282;412500.00
7415075158;"ООО НПК ""КАЛИБР""";283;410672.92
5626008809;"СПК ""ПТИЦЕФАБРИКА ГАЙСКАЯ""";284;408710.00
0270012208;"ООО ""ЗАВОД ""СТРОЙМИНЕРАЛ""";285;408461.67
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";286;400000.00
5902152547;"ООО ""АКС""";287;395615.00
5904007312;"АО ""ОДК-ПМ""";288;388166.67
6662080545;"ООО ""ЩИТ-СТРОЙ""";289;388000.00
5613000880;"АО ""ОРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";290;384000.00
6646012280;"ООО ""МИХАЙЛОВСКИЙ КАРЬЕР""";291;376166.67
6658078007;"ЗАО ""ЗАВОД ЭМА""";292;374144.14
3321027747;"АО ""ГЕНЕРИУМ""";293;367699.99
0245960382;"ООО ""АТ""";294;366883.33
5410079229;"АО ""ПО ""СЕВЕР""";295;358000.00
4229004316;"ООО ""ТОПКИНСКИЙ ЦЕМЕНТ""";296;353930.00
3124011000;"АО ""БМК""";297;351794.98
0100007151;"ООО ""СИББИР""";298;345709.00
5911013211;"АО ""МЕАКИР""";299;342570.00
4715029693;"ООО ""ТИМКЕН ОВК""";300;332700.00
7204003683;"АО ""ТЮМЕНСКИИ КХП""";301;332418.33
6316110515;"ООО ""ЕПК-КУЗНИЦА""";302;332290.00
5408156204;"ООО ""ГЕРКУЛЕС-СИБИРЬ""";303;330963.33
6678093250;"ООО ""ЖЕЛЕЗНЫЙ АРГУМЕНТ""";304;330716.65
6658286617;"ООО ""УРАЛЬСКИЙ СТЕКОЛЬНЫЙ ЗАВОД""";305;328500.01
6439000706;"АО ""ПИВКОМБИНАТ ""БАЛАКОВСКИЙ""";306;327336.00
5003022562;"ООО ""ИЗВАРИНО ФАРМА""";307;321300.00
6670111211;"ООО ""КСМ""";308;320833.33
3814018958;"ООО ""СГБ""";309;317000.00
7719465590;"ООО ""ВМИК""";310;313333.32
4253002711;"ООО ""СИБИРЬ-ЭНЕРГО""";311;307425.00
6623049453;"АО ""УКБТМ""";312;306700.00
1650371043;"ООО ""ХАИР""";313;304420.38
6664002550;"ПАО ""УРАЛЬСКИЙ ЗАВОД РТИ""";314;300000.00
8602303769;"ООО ""ТД НОРД БИР""";315;296950.00
666600073221;ПШЕНИЦЫН ВЛАДИМИР ВИКТОРОВИЧ;316;296532.00
