inn;predpriyatie;mesto;summa
2705090529;"АО ""МНОГОВЕРШИННОЕ""";7;49523054.23
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;26;22560794.18
7321313819;"ООО ""ВОЛЖСКАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ""";128;2752597.00
6450087041;"ООО ""КОМПАНИЯ КЛАСС""";149;2107733.34
0267011229;"ООО ""БАШКИРСКАЯ МЕДЬ"", ООО ""БАШМЕДЬ""";200;1160750.00
4205051780;"ООО""АВЕКСИМА СИБИРЬ""";201;1152861.04
6618000220;"АО ""СВЯТОГОР""";207;1090000.00
6501178885;"ООО ""СЕРВИС КОМПАНИ""";213;991120.83
5604000700;"ПАО ""ГАЙСКИЙ ГОК""";222;859900.00
5407488528;"ООО ""ТЕХСНАБ""";223;845438.75
2360009475;"ООО ""СМАРТ-ЮГ""";227;827123.27
6674373867;"ООО ""АЛЬФАТРАНС""";229;808720.00
6627000770;"ПАО ""РЗ ОЦМ""";240;672357.00
3808197064;"ООО ""МС-ОФИСПРО""";247;631643.58
6671014316;"ООО ""РАЗВИТИЕ""";259;514041.67
6685101745;"ООО ""ВОСТОК""";274;464781.67
2543097461;"ООО ""АВРОРА СПГ ВЛАДИВОСТОК""";280;427440.00
6662080545;"ООО ""ЩИТ-СТРОЙ""";289;388000.00
6646012280;"ООО ""МИХАЙЛОВСКИЙ КАРЬЕР""";291;376166.67
0245960382;"ООО ""АТ""";294;366883.33
0100007151;"ООО ""СИББИР""";298;345709.00
4715029693;"ООО ""ТИМКЕН ОВК""";300;332700.00
6316110515;"ООО ""ЕПК-КУЗНИЦА""";302;332290.00
6658286617;"ООО ""УРАЛЬСКИЙ СТЕКОЛЬНЫЙ ЗАВОД""";305;328500.01
6670111211;"ООО ""КСМ""";308;320833.33
1658211250;"ООО ""СЕВЕР""";317;295850.01
6670207499;"ООО ""ЭНЕРГОЛИДЕР""";318;291666.67
6658487842;"ООО ""ЮНИСИЛА УРАЛ""";319;290000.00
6652018883;"АО ""АГРОФИРМА ""ПАТРУШИ""";323;273106.68
6670312670;"ООО ""ПТК ""ЭКОРЕЦИКЛИНГ""";324;272935.00
4307018566;"ООО ""АЛЬТЕРАН""";325;271500.00
6610003204;"АО ""ШЕМУР""";330;252000.00
7413026758;"ООО ""ИНВЕСТХИМАГРО""";345;194583.31
5405098804;"ООО ""ВЫСОКИЕ ОБОРОТЫ""";352;183010.00
7805766778;"ООО ""ЛИТС""";354;179166.67
662604962841;ЗЫРЯНОВА НАТАЛЬЯ ВАЛЕРЬЕВНА;357;176083.33
6316270332;"ООО ""ТД ""МЕТИМПРОМ""";360;173000.00
5405077963;"ООО ""АВИАКОМПОЗИТ""";361;171311.00
6670444299;"ООО ""НПП СМАРТПОЛИМЕР""";368;156016.67
6646014369;"ООО ""УДАРНИК""";373;139537.50
7734412811;"ООО ""СИБМОЛ""";389;113575.00
5440105726;"АО ПЛЕМЗАВОД ""МЕДВЕДСКИЙ""";393;103995.00
5509007368;"ООО ""КЕРАМИКА""";397;92150.00
5261058974;"ООО ""ХАЙДЖИН ТЕКНОЛОДЖИЗ""";408;77500.00
6679084844;"ООО ""ВИЯ""";420;65850.00
5405950881;"ООО ""НМ""";424;64440.00
661214316424;ПШЕНИЦЫНА ИРИНА ЕВГЕНЬЕВНА;432;57374.99
5918011446;"ООО ""ЭМС""";434;54000.00
6682022439;"ООО ""ЛОДЖИКРУФ-УРАЛ"";";436;53200.00
3808226075;"ООО ""СИБМЕТУПАК""";437;53166.67
5427107812;"ООО ПК ""ИНВЕСТСТРОЙПРОЕКТ""";439;47800.01
5410003420;"ООО ""ЦЕХ ШТАМПОВКИ""";449;42000.00
7842186870;"ООО ""НОРД ВЕСТ""";450;41900.00
1121022547;"ООО ""ПАЛЛЕТ СЕВЕР""";453;40800.00
1684017410;"ООО ""КОМПРЕССОР СЕРВИС""";454;40600.00
2456011468;"ООО ""НММКК""";456;34375.00
7451205807;"ООО ""ПРОМИНЖИНИРИНГ""";462;30000.00
6658456643;"ООО ""КИСЛОРОДМОНТАЖ""";463;29900.00
665801787312;ОБУХОВ КОНСТАНТИН ГЕННАДЬЕВИЧ;466;25833.33
5501236824;"ООО ""СТРОЙТРАСТ""";468;24824.00
6685030519;"ООО ТД ""ФПК""";470;23666.67
4345323627;"ООО ""СТТ-СТРОЙ""";471;22000.00
6625040150;"ООО ""АЛЬТАИР""";474;19450.00
5410778210;"ООО ""ПМК""";475;18570.00
667323156718;АФАНАСЬЕВ АЛЕКСЕЙ ВАЛЕРЬЕВИЧ;481;8333.34
245305206479;КОЗЛОВА ЕЛЕНА АЛЕКСАНДРОВНА;482;8000.00
5902066062;"ООО ""ФЛАМЕНГО""";484;6958.33
6623029538;"АО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД""";485;6200.00
666102855642;МИХАЙЛОВ ОЛЕГ ВАДИМОВИЧ;486;5916.66
9702030651;"ООО ""ПНЕВМОПРОГРЕСС""";490;2916.67
