inn;predpriyatie;mesto;summa;operaciy;poslednyaya_pokupka;tip
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";4;85331634.00;13;30.12.2025;юрлицо
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";5;84469047.92;22;24.12.2025;юрлицо
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";6;54653092.50;4;18.12.2025;юрлицо
2705090529;"АО ""МНОГОВЕРШИННОЕ""";7;49523054.23;4;28.11.2025;юрлицо
1658152572;"ООО ""МОНАТ ГРУПП""";8;45867867.00;1;06.11.2025;юрлицо
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";10;41788093.33;3;07.07.2025;юрлицо
7713085659;"АО ""ВБД""";14;38131051.98;2;31.10.2025;юрлицо
4715019631;"АО ""ТВСЗ""";15;34332708.34;2;30.06.2025;юрлицо
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";16;33543675.76;14;25.12.2025;юрлицо
6626002037;"АО ""УРАЛГИДРОМЕДЬ""";21;28080000.00;2;22.12.2025;юрлицо
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";22;26624850.73;10;16.12.2025;юрлицо
6310000160;"АО ""СМЗ""";23;25771354.80;2;10.09.2025;юрлицо
2706028675;"ООО ""АГМК""";25;23112355.00;5;29.12.2025;юрлицо
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;26;22560794.18;10;01.09.2025;ИП
6230051360;"ООО ""ЗАВОД ТЕХНО""";28;19154264.96;21;17.12.2025;юрлицо
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";31;18080156.62;1;02.09.2025;юрлицо
7706613770;"ООО ""РН-БУРЕНИЕ""";32;17627166.63;3;05.06.2025;юрлицо
7713748828;"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";33;17256988.33;6;07.08.2025;юрлицо
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";34;16923856.98;26;30.12.2025;юрлицо
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";36;16239120.00;2;09.09.2025;юрлицо
