inn;predpriyatie;mesto;summa;operaciy;poslednyaya_pokupka;tip
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";1;386778232.00;6;29.12.2025;юрлицо
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";2;268279274.16;1;03.07.2025;юрлицо
5103070023;"АО ""АПАТИТ""";3;125589515.74;87;18.12.2025;юрлицо
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";4;85331634.00;13;30.12.2025;юрлицо
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";5;84469047.92;22;24.12.2025;юрлицо
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";6;54653092.50;4;18.12.2025;юрлицо
2705090529;"АО ""МНОГОВЕРШИННОЕ""";7;49523054.23;4;28.11.2025;юрлицо
1658152572;"ООО ""МОНАТ ГРУПП""";8;45867867.00;1;06.11.2025;юрлицо
7708619320;"ПАО ""ОАК""";9;43942633.29;5;14.11.2025;юрлицо
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";10;41788093.33;3;07.07.2025;юрлицо
7406002523;"АО ""КАРАБАШМЕДЬ""";11;41179591.26;58;29.12.2025;юрлицо
1433000147;"АК ""АЛРОСА"" (ПАО)";12;38787753.71;29;04.12.2025;юрлицо
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";13;38131634.74;35;26.12.2025;юрлицо
7713085659;"АО ""ВБД""";14;38131051.98;2;31.10.2025;юрлицо
4715019631;"АО ""ТВСЗ""";15;34332708.34;2;30.06.2025;юрлицо
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";16;33543675.76;14;25.12.2025;юрлицо
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";17;31963909.58;5;31.12.2025;юрлицо
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";18;31176600.01;8;30.12.2025;юрлицо
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";19;29254453.20;8;31.08.2025;юрлицо
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";20;29032094.00;7;30.12.2025;юрлицо
6626002037;"АО ""УРАЛГИДРОМЕДЬ""";21;28080000.00;2;22.12.2025;юрлицо
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";22;26624850.73;10;16.12.2025;юрлицо
6310000160;"АО ""СМЗ""";23;25771354.80;2;10.09.2025;юрлицо
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";24;25172148.99;28;31.12.2025;юрлицо
2706028675;"ООО ""АГМК""";25;23112355.00;5;29.12.2025;юрлицо
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;26;22560794.18;10;01.09.2025;ИП
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";27;20788350.00;1;25.04.2025;юрлицо
6230051360;"ООО ""ЗАВОД ТЕХНО""";28;19154264.96;21;17.12.2025;юрлицо
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";29;18937514.99;7;12.12.2025;юрлицо
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";30;18455320.40;5;30.12.2025;юрлицо
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";31;18080156.62;1;02.09.2025;юрлицо
7706613770;"ООО ""РН-БУРЕНИЕ""";32;17627166.63;3;05.06.2025;юрлицо
7713748828;"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";33;17256988.33;6;07.08.2025;юрлицо
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";34;16923856.98;26;30.12.2025;юрлицо
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";35;16797800.42;10;30.12.2025;юрлицо
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";36;16239120.00;2;09.09.2025;юрлицо
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";37;16205676.15;18;19.11.2025;юрлицо
5607011852;"ООО ""МЕТАЛЕКС""";38;14499076.83;1;17.04.2025;юрлицо
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";39;13960916.66;7;11.12.2025;юрлицо
1674002165;"ООО ""СОЛЛЕРС АЛАБУГА""";40;13732820.00;1;14.04.2025;юрлицо
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";41;13283347.59;28;04.12.2025;юрлицо
2462004363;"АО ""КЗСК""";42;12243009.41;4;30.12.2025;юрлицо
4823006703;"ПАО ""НЛМК""";43;12212588.32;10;29.12.2025;юрлицо
5433188577;"ООО ""ЗТИ СИБИРЬ""";44;11579389.67;7;18.12.2025;юрлицо
7802118578;"ООО ""ОПХ""";45;11511245.50;2;08.09.2025;юрлицо
3321005528;"АО ""ЛЕККО""";46;11321735.49;1;13.10.2025;юрлицо
4345465597;"ООО ПК ""КИРОВ ТАЙР""";47;11142541.66;14;26.12.2025;юрлицо
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";48;10773373.99;18;22.12.2025;юрлицо
6673092045;"АО ""ОКБ ""НОВАТОР""";49;10702029.07;3;07.11.2025;юрлицо
5024160154;"ООО ""ЗТИ-М""";50;10608240.00;1;13.11.2025;юрлицо
4216001565;"АО ""КФ""";51;10416666.67;1;19.03.2025;юрлицо
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";52;9463008.00;1;24.09.2025;юрлицо
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";53;9373726.64;6;30.12.2025;юрлицо
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";54;9096179.27;6;26.12.2025;юрлицо
6632001031;"АО ""СЗФ""";55;8920403.14;7;29.08.2025;юрлицо
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";56;8919708.00;1;07.10.2025;юрлицо
6603014413;"ООО ""ПСО ""ТЕПЛИТ""";57;8481464.83;12;26.12.2025;юрлицо
7447010227;"АО ""ЧЭМК""";58;8415510.81;9;02.12.2025;юрлицо
6672326854;"ООО ""СЖАТЫЙ ВОЗДУХ""";59;7697811.18;34;25.11.2025;юрлицо
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";60;7653701.38;9;24.12.2025;юрлицо
2536314387;"ООО ""ГЛОБАЛ ИНЖИНИРИНГ ГРУПП""";61;7647884.93;4;10.11.2025;юрлицо
6612001971;"ФГУП ""ПО ""ОКТЯБРЬ""";62;7613070.97;11;23.12.2025;юрлицо
5604009196;"АО""РИФАР""";63;7397201.33;8;30.12.2025;юрлицо
1646027023;"АО ""ТРАКЬЯ ГЛАСС РУС""";64;7349773.33;6;04.12.2025;юрлицо
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";65;7343976.50;2;23.12.2025;юрлицо
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";66;7336479.99;4;03.12.2025;юрлицо
6685126161;"ООО ""АРДЕНА""";67;7311598.33;1;15.04.2025;юрлицо
