mesto,inn,naimenovanie,summa_bez_nds,operaciy,pervaya_pokupka,poslednyaya_pokupka,tip
1,9717088118,"ООО ""РТ-ИНЖИНИРИНГ""",386778232.00,6,29.04.2025,29.12.2025,юрлицо
2,2623026057,"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""",268279274.16,1,03.07.2025,03.07.2025,юрлицо
3,5103070023,"АО ""АПАТИТ""",125589515.74,87,17.02.2025,18.12.2025,юрлицо
4,5607019523,"АО ""УРАЛЬСКАЯ СТАЛЬ""",85331634.00,13,25.08.2025,30.12.2025,юрлицо
5,4501129676,"АО "" НПО ""КУРГАНПРИБОР""",84469047.92,22,04.02.2025,24.12.2025,юрлицо
6,3851004128,"ООО ""КНАУФ ГИПС БАЙКАЛ""",54653092.50,4,02.04.2025,18.12.2025,юрлицо
7,2705090529,"АО ""МНОГОВЕРШИННОЕ""",49523054.23,4,28.03.2025,28.11.2025,юрлицо
8,1658152572,"ООО ""МОНАТ ГРУПП""",45867867.00,1,06.11.2025,06.11.2025,юрлицо
9,7708619320,"ПАО ""ОАК""",43942633.29,5,13.02.2025,14.11.2025,юрлицо
10,4028001072,"АО ""КАЛУГАГЛАВСНАБ""",41788093.33,3,03.06.2025,07.07.2025,юрлицо
11,7406002523,"АО ""КАРАБАШМЕДЬ""",41179591.26,58,31.01.2025,29.12.2025,юрлицо
12,1433000147,"АК ""АЛРОСА"" (ПАО)",38787753.71,29,16.01.2025,04.12.2025,юрлицо
13,7202116628,"АО ""СИБУРТЮМЕНЬГАЗ""",38131634.74,35,24.02.2025,26.12.2025,юрлицо
14,7713085659,"АО ""ВБД""",38131051.98,2,21.04.2025,31.10.2025,юрлицо
15,4715019631,"АО ""ТВСЗ""",34332708.34,2,31.03.2025,30.06.2025,юрлицо
16,7714626332,"АО ""ЭЙЧ ЭНД ЭН""",33543675.76,14,09.01.2025,25.12.2025,юрлицо
17,8703009509,"АО ""РУДНИК КАРАЛЬВЕЕМ""",31963909.58,5,31.03.2025,31.12.2025,юрлицо
18,7707727918,"ООО ""УРАЛМАШ НГО ХОЛДИНГ""",31176600.01,8,30.01.2025,30.12.2025,юрлицо
19,5607015014,"ООО ""АККЕРМАНН ЦЕМЕНТ""",29254453.20,8,28.01.2025,31.08.2025,юрлицо
20,6607000556,"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""",29032094.00,7,28.03.2025,30.12.2025,юрлицо
21,6626002037,"АО ""УРАЛГИДРОМЕДЬ""",28080000.00,2,21.07.2025,22.12.2025,юрлицо
22,7447141540,"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""",26624850.73,10,29.05.2025,16.12.2025,юрлицо
23,6310000160,"АО ""СМЗ""",25771354.80,2,17.07.2025,10.09.2025,юрлицо
24,7702691545,"ООО ""ЛАБ ИНДАСТРИЗ""",25172148.99,28,26.03.2025,31.12.2025,юрлицо
25,2706028675,"ООО ""АГМК""",23112355.00,5,31.03.2025,29.12.2025,юрлицо
26,740400188249,ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ,22560794.18,10,27.01.2025,01.09.2025,ИП
27,2434000335,"АО ""ПОЛЮС КРАСНОЯРСК""",20788350.00,1,25.04.2025,25.04.2025,юрлицо
28,6230051360,"ООО ""ЗАВОД ТЕХНО""",19154264.96,21,13.01.2025,17.12.2025,юрлицо
29,5913001268,"АО ""МЕТАФРАКС КЕМИКАЛС""",18937514.99,7,20.03.2025,12.12.2025,юрлицо
30,1651000010,"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",18455320.40,5,14.08.2025,30.12.2025,юрлицо
31,4704052309,"ООО ""РОКВУЛ-СЕВЕР""",18080156.62,1,02.09.2025,02.09.2025,юрлицо
32,7706613770,"ООО ""РН-БУРЕНИЕ""",17627166.63,3,04.02.2025,05.06.2025,юрлицо
33,7713748828,"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""",17256988.33,6,21.01.2025,07.08.2025,юрлицо
34,6646009256,"АО ""ПРОМСОРТ-УРАЛ""",16923856.98,26,01.08.2025,30.12.2025,юрлицо
35,4725001168,"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""",16797800.42,10,10.02.2025,30.12.2025,юрлицо
36,7802849641,"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""",16239120.00,2,26.08.2025,09.09.2025,юрлицо
37,1654040701,"АО ""ЭССЕН ПРОДАКШН АГ""",16205676.15,18,15.01.2025,19.11.2025,юрлицо
38,5607011852,"ООО ""МЕТАЛЕКС""",14499076.83,1,17.04.2025,17.04.2025,юрлицо
39,8603093017,"АО ""ТМК НГС-НИЖНЕВАРТОВСК""",13960916.66,7,12.03.2025,11.12.2025,юрлицо
40,1674002165,"ООО ""СОЛЛЕРС АЛАБУГА""",13732820.00,1,14.04.2025,14.04.2025,юрлицо
41,3123342289,"ООО ""ТЕХНО ЭНЕРДЖИ""",13283347.59,28,22.01.2025,04.12.2025,юрлицо
42,2462004363,"АО ""КЗСК""",12243009.41,4,31.03.2025,30.12.2025,юрлицо
43,4823006703,"ПАО ""НЛМК""",12212588.32,10,09.01.2025,29.12.2025,юрлицо
44,5433188577,"ООО ""ЗТИ СИБИРЬ""",11579389.67,7,27.02.2025,18.12.2025,юрлицо
45,7802118578,"ООО ""ОПХ""",11511245.50,2,14.08.2025,08.09.2025,юрлицо
46,3321005528,"АО ""ЛЕККО""",11321735.49,1,13.10.2025,13.10.2025,юрлицо
47,4345465597,"ООО ПК ""КИРОВ ТАЙР""",11142541.66,14,07.03.2025,26.12.2025,юрлицо
48,6441025673,"ООО ""ЦЕМЕНТУМ ВОЛГА""",10773373.99,18,28.04.2025,22.12.2025,юрлицо
49,6673092045,"АО ""ОКБ ""НОВАТОР""",10702029.07,3,24.03.2025,07.11.2025,юрлицо
50,5024160154,"ООО ""ЗТИ-М""",10608240.00,1,13.11.2025,13.11.2025,юрлицо
51,4216001565,"АО ""КФ""",10416666.67,1,19.03.2025,19.03.2025,юрлицо
52,4631002737,"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""",9463008.00,1,24.09.2025,24.09.2025,юрлицо
53,1655283577,"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""",9373726.64,6,08.05.2025,30.12.2025,юрлицо
54,7705739450,"ООО ""НЕСТЛЕ РОССИЯ""",9096179.27,6,25.02.2025,26.12.2025,юрлицо
55,6632001031,"АО ""СЗФ""",8920403.14,7,18.02.2025,29.08.2025,юрлицо
56,5036074848,"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""",8919708.00,1,07.10.2025,07.10.2025,юрлицо
57,6603014413,"ООО ""ПСО ""ТЕПЛИТ""",8481464.83,12,29.01.2025,26.12.2025,юрлицо
58,7447010227,"АО ""ЧЭМК""",8415510.81,9,10.01.2025,02.12.2025,юрлицо
59,6672326854,"ООО ""СЖАТЫЙ ВОЗДУХ""",7697811.18,34,09.01.2025,25.11.2025,юрлицо
60,7452075043,"ООО ""ПРОМТЭКС-ЭНЕРГО""",7653701.38,9,03.03.2025,24.12.2025,юрлицо
61,2536314387,"ООО ""ГЛОБАЛ ИНЖИНИРИНГ ГРУПП""",7647884.93,4,04.03.2025,10.11.2025,юрлицо
62,6612001971,"ФГУП ""ПО ""ОКТЯБРЬ""",7613070.97,11,24.02.2025,23.12.2025,юрлицо
63,5604009196,"АО""РИФАР""",7397201.33,8,31.03.2025,30.12.2025,юрлицо
64,1646027023,"АО ""ТРАКЬЯ ГЛАСС РУС""",7349773.33,6,03.04.2025,04.12.2025,юрлицо
65,7705598512,"ООО ""СИРИАЛ ПАРТНЕРС РУС""",7343976.50,2,23.09.2025,23.12.2025,юрлицо
66,1646031132,"ООО ""АЛАБУГА-ВОЛОКНО""",7336479.99,4,14.04.2025,03.12.2025,юрлицо
67,6685126161,"ООО ""АРДЕНА""",7311598.33,1,15.04.2025,15.04.2025,юрлицо
68,7448000013,"АО ""ЧЦЗ""",7304000.00,1,12.02.2025,12.02.2025,юрлицо
69,6664006956,"АО ""ЗКИ""",7252855.49,6,31.03.2025,19.12.2025,юрлицо
70,7455010284,"ООО ""АЛЬКОР""",7241412.13,8,31.03.2025,15.12.2025,юрлицо
71,6635000195,"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""",7082535.19,23,21.01.2025,22.12.2025,юрлицо
72,5838013374,"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""",7051080.78,19,13.03.2025,24.12.2025,юрлицо
73,6671097930,"ООО ""СТИЛ АРМОР""",7040000.00,4,18.04.2025,11.12.2025,юрлицо
74,1650157635,"ООО ""КАМАЗ-ЭНЕРГО""",6722083.33,1,22.01.2025,22.01.2025,юрлицо
75,7805059867,"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""",6628400.00,3,01.08.2025,04.09.2025,юрлицо
76,7702583250,"ООО ""ЛЛК-ИНТЕРНЕШНЛ""",6570800.00,2,30.07.2025,13.08.2025,юрлицо
77,7435006346,"АО ""АГК""",6444476.41,8,06.02.2025,15.12.2025,юрлицо
78,7724729390,"ФБУ ""ФУ БХУХО""",6308000.00,1,29.08.2025,29.08.2025,юрлицо
79,8602060555,"ПАО ""СУРГУТНЕФТЕГАЗ""",6115270.00,3,14.01.2025,30.06.2025,юрлицо
80,7204205739,"ООО ""ТЭО""",6039426.00,3,30.10.2025,22.12.2025,юрлицо
81,4205081463,"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""",6018666.67,10,23.01.2025,07.11.2025,юрлицо
82,5911029807,"ПАО ""УРАЛКАЛИЙ""",5848561.98,21,20.03.2025,26.12.2025,юрлицо
83,0270007455,"АО ""УЧАЛИНСКИЙ ГОК""",5788712.00,9,24.02.2025,16.10.2025,юрлицо
84,7814370998,"ООО  ""ГИПЕРТЕХНОЛОДЖИ """,5449347.34,6,31.03.2025,09.12.2025,юрлицо
85,4221000630,"АО ""ОРГАНИКА""",5344118.84,5,01.04.2025,17.11.2025,юрлицо
86,5918218070,"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""",5255760.00,2,01.07.2025,30.12.2025,юрлицо
87,8603087285,"ООО ""ННПО""",5154255.00,1,30.06.2025,30.06.2025,юрлицо
88,6324079869,"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""",5144807.67,4,18.02.2025,08.10.2025,юрлицо
89,5916015580,"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""",5102116.44,7,07.07.2025,22.12.2025,юрлицо
90,6438007280,"ООО ""РУСАГРО-АТКАРСК""",5058650.00,1,17.02.2025,17.02.2025,юрлицо
91,5003026493,"ООО ""ГАЗПРОМ БУРЕНИЕ""",4987500.00,2,18.02.2025,18.02.2025,юрлицо
92,6664003916,"АО ""НИЗМК""",4943679.02,17,14.01.2025,10.12.2025,юрлицо
