inn;predpriyatie;sayt;mesto
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";https://uralsteel.com;4
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";https://kurganpribor.ru;5
1658152572;"ООО ""МОНАТ ГРУПП""";https://monatgroup.ru;8
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";https://kgs.kaluga.ru;10
7713085659;"АО ""ВБД""";https://wbd.ru;14
4715019631;"АО ""ТВСЗ""";https://tvsz.ru;15
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";https://knauf.ru;22
6310000160;"АО ""СМЗ""";https://smw.ru;23
2706028675;"ООО ""АГМК""";https://golden-team.ru;25
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";https://rwl.ru;31
7706613770;"ООО ""РН-БУРЕНИЕ""";https://rosneft.ru;32
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";https://baltika.ru;36
5607011852;"ООО ""МЕТАЛЕКС""";https://metal-x.ru;38
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";https://uprt-nv.ru;39
2462004363;"АО ""КЗСК""";https://sibur.ru;42
5433188577;"ООО ""ЗТИ СИБИРЬ""";https://zti.ru;44
7802118578;"ООО ""ОПХ""";https://heinekenrussia.ru;45
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";https://holcim.ru;48
4216001565;"АО ""КФ""";https://kfw.ru;51
6632001031;"АО ""СЗФ""";https://sfap.ru;55
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";https://chelyabinsk.jsprav.ru;60
5604009196;"АО""РИФАР""";https://rifar.ru;63
1646027023;"АО ""ТРАКЬЯ ГЛАСС РУС""";https://sisecam.com;64
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";https://ru.ceair.com;65
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";https://rosatom-composites.ru;66
7435006346;"АО ""АГК""";https://rmk-group.ru;77
7204205739;"ООО ""ТЭО""";https://teo.ecotko.ru;80
5911029807;"ПАО ""УРАЛКАЛИЙ""";https://uralkali.com;82
6664003916;"АО ""НИЗМК""";https://psaonline.ru;92
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";https://sib-gurman.ru;95
4715026815;"ООО ""РСХ""";https://rshb.ru;100
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";https://slenergo.ru;106
6623005777;"ПАО ""УХП""";https://ucp.ru;112
6685148334;"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""";https://gotek.ru;113
5401232181;"ООО ""СИБЭЛЕКТРОПРИВОД""";https://ssep.ru;118
7413000630;"АО ""КМЭЗ""";https://kmez.ru;120
7819301797;"ООО ""БСХ БЫТОВЫЕ ПРИБОРЫ""";https://bsh-group.ru;125
9705101614;"ПАО ""ЛК ""ЕВРОПЛАН""";https://lk.europlan.ru;126
5403232532;"ОАО ""НОВОСИБХОЛОД""";https://novosibholod.ru;127
7447295501;"ООО ""ВИНТКОМПЛЕКТ""";https://vintkomplekt.ru;135
7447208347;"ООО ""СЕРВИС-КОМПЛЕКТ""";https://service-kit.ru;138
6623129116;"ООО ""СКАНДИПАКК АЛАБУГА""";https://scandipakk.com;140
6315526630;"АО ""ЖИГУЛЕВСКОЕ ПИВО""";https://samarabeer.ru;143
6663005798;"ПАО ""УРАЛМАШЗАВОД""";https://uralmash-kartex.ru;154
2465072918;"ООО ""ЛМЗ ""СКАД""";https://skad.ru;164
6674116330;"АО ""ППЭА ""СИВАР""";https://sivar.ru;168
0277077282;"ООО ""БГК""";https://bgkrb.ru;169
7702513119;"ООО ""МОНОЛИТ-СТРОЙ""";https://latat.org;175
6611000252;"АО ""ИРБИТСКИЙ ХИМФАРМЗАВОД""";https://ihfz.ru;177
1648041464;"ООО ""ПОДВЕСКА""";https://sokolov.ru;180
5921002018;"АО ""ЧМЗ""";https://auto.market.omk.ru;182
7838387574;"ООО ""ПОСМ С-З""";https://posm-spb.ru;185
4214002316;"ПАО ""РАСПАДСКАЯ""";https://raspadskaya.com;186
7708508323;"ООО ""ОМИА УРАЛ""";https://omyalgol.com;187
6686054167;"ООО ""АМЕРТЕНД""";https://amertend.ru;192
6652028306;"АО ""УГМ""";https://uralgidromash.ru;193
2454003302;"АО ""ЛЕСОСИБИРСКИЙ ЛДК № 1""";https://segezha-group.com;199
6679069719;"ООО ТЗК ""РАЙВАЛ""";https://moscow.rival-laser.ru;202
7017012254;"АО ""СИБАГРО""";https://sibagrogroup.ru;203
7536187339;"ООО ""ЗБК""";https://zbk-service.ru;204
