inn;predpriyatie;sayt;itog
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";https://rte.ru;название совпало
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";https://magnus-prom.ru;подтверждён
5103070023;"АО ""АПАТИТ""";https://www.phosagro.ru;название совпало
7708619320;"ПАО ""ОАК""";https://uacrussia.ru;подтверждён
7406002523;"АО ""КАРАБАШМЕДЬ""";https://karmed.ru;название совпало
1433000147;"АК ""АЛРОСА"" (ПАО)";https://alrosa.ru;название совпало
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";https://sibur.ru;название совпало
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";https://goldpro.ru;название совпало
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";https://www.uralmash-ngo.com;название совпало
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";https://akkermann.ru;подтверждён
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";https://vsmpo.ru;название совпало
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";https://lab-industries.ru;название совпало
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";https://polyus.com;название совпало
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";https://metafrax.ru;название совпало
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";https://sibur.ru;название совпало
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";https://tehnonrg.ru;подтверждён
4823006703;"ПАО ""НЛМК""";https://nlmk.com;название совпало
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";https://izvarino-pharma.ru;название совпало
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";https://www.nestle.ru;название совпало
7448000013;"АО ""ЧЦЗ""";https://zinc.ru;подтверждён
6664006956;"АО ""ЗКИ""";https://uralceramica.ru;подтверждён
7455010284;"ООО ""АЛЬКОР""";https://alikor.com;название совпало
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";https://new.kamaz-energo.ru;подтверждён
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";https://kirovets-ptz.com;название совпало
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";http://lukoil-masla.ru;название совпало
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";https://www.surgutneftegas.ru;название совпало
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";https://www.sibcem.ru;название совпало
7814370998;"ООО  ""ГИПЕРТЕХНОЛОДЖИ """;https://hyptec.ru;подтверждён
4221000630;"АО ""ОРГАНИКА""";https://organica-nk.ru;название совпало
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";https://akkermann.ru;подтверждён
8603087285;"ООО ""ННПО""";https://nnpo.net;название совпало
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";https://xn--80ab3alkpp.xn--p1ai;название совпало
5916015580;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";https://nytva-maslo.ru;название совпало
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";https://www.burgaz.ru;название совпало
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";https://grkb.ru;название совпало
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";https://sibur.ru;название совпало
6686095452;"ООО ""СИНЕРГИЯ""";https://synergy.ru;название совпало
5405125896;"ООО ""ИНТЕРПАК""";https://interpacknsk.ru;название совпало
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";https://el5-energo.ru;подтверждён
5905018998;"АО ""СИБУР-ХИМПРОМ""";https://sibur.ru;название совпало
3528006408;"АО ""ЧФМК""";https://www.cfmk.ru;название совпало
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";https://www.uralelektromed.ru;подтверждён
7743696750;"АО ""ГРАСИС""";https://grasys.ru;подтверждён
6665002150;"АО ""КУМЗ""";https://kumz.ru;название совпало
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";https://sibur.ru;название совпало
6685147531;"ООО ""СПЕЦЦЕМЕНТСЕРВИС""";https://spec-cement.ru;название совпало
1651031226;"ООО ""ПРЕКАБ""";https://precab.ru;название совпало
8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";https://nng.gazprom-neft.ru;название совпало
8602067092;"ПАО ""ЮНИПРО""";https://unipro.energy;название совпало
7453101232;"ООО ""ЧЕЛИНДЛИЗИНГ""";https://chelindleasing.ru;подтверждён
1651057721;"ООО ""АЙ-ПЛАСТ""";https://iplast.com;подтверждён
7705183476;"ООО ""АРНЕСТ ЮНИРУСЬ""";https://www.unirusgroup.ru;название совпало
3325011410;"АО ""МИЛМОНД""";https://hfoods.ru;название совпало
