inn;predpriyatie;sayt;priznak;ves;godnost;ssylka_dokazatelstva;citata;sam_sebya;kak_vzyat
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";https://rte.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;РТ-Инжиниринг | ЕРС-подрядчик в строительстве и горно-металлургической отрасли | ООО «РТ-Инжиниринг» Политика конфиденци;только название, ИНН не найден
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";https://magnus-prom.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://magnus-prom.ru/contacts/;"е офисы компании в Ставропольском крае MAGNUS (ООО &quot;Компрессор-Техцентр&quot;), ИНН: 2623026057, г. Ставрополь, ул. Северный обход 4 На карте +7";;ИНН на странице сайта
5103070023;"АО ""АПАТИТ""";https://www.phosagro.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;Фосагро | ФосАгро - один из ведущих мировых производителей фосфорсодержащих удобрений и апатитового концентрата;только название, ИНН не найден
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";https://uralsteel.com;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";https://kurganpribor.ru;сайт не открылся;0;негоден;;;;главная не открылась
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";https://www.knauf.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
1658152572;"ООО ""МОНАТ ГРУПП""";https://monatgroup.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7708619320;"ПАО ""ОАК""";https://uacrussia.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://uacrussia.ru/ru/investors/open-information/;Банковские реквизиты ПАО «ОАК» для оплаты расходов по изготовлению копий документов: ИНН 7708619320 р/с 40702810800020105988 в ПАО Сбербанк к/с 30101;;ИНН на странице сайта
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";https://kgs.kaluga.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7406002523;"АО ""КАРАБАШМЕДЬ""";https://karmed.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;"АО ""Карабашмедь"" — официальный сайт";только название, ИНН не найден
1433000147;"АК ""АЛРОСА"" (ПАО)";https://alrosa.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;АЛРОСА | Корпоративный сайт;только название, ИНН не найден
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";https://sibur.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «сибуртюменьгаз», и имени предприятия нет в домене — это сайт группы
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";https://logikamoloka.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";https://goldpro.ru;домен принадлежит группе, а не этому юрлицу;1;сайт группы;;;Copy of золотые проекты | «Золотые Проекты - Management company» Войти Защита персонал;название совпало, но сайт зовёт СЕБЯ «Copy of золотые проекты | «Золотые Проекты - Management company» Войти», а не «рудник каральвеем», и имени предприятия нет в домене — это сайт группы
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";https://www.uralmash-ngo.com;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;;только название, ИНН не найден
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";https://akkermann.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://akkermann.ru/bankovskie-rekvizity-i-dogovory/;с 30101810600000000601 в Оренбургском отделении N8623 Банк ПАО СБЕРБАНК БИК 045354601 ИНН 5607015014 КПП 560701001 ОКПО 36362871 ОКАТО 53420000000 ОГР;;ИНН на странице сайта
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";https://vsmpo.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;ВСМПО-АВИСМА | Корпорация ВСМПО-АВИСМА | Корпорация ВСМПО-АВИСМА — зарегистрированная торговая марка;только название, ИНН не найден
6310000160;"АО ""СМЗ""";https://www.smw.ru;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";https://lab-industries.ru;название предприятия совпало целиком, ИНН на сайте не указан;2;годен;;;LAB Industries | LAB INDUSTRIES Политика об обработке персональных данных -->;только название, ИНН не найден
2706028675;"ООО ""АГМК""";https://agmk.uz;домен из поиска, ни ИНН, ни названия на нём нет;1;кандидат;;;;ни ИНН, ни названия
