inn;predpriyatie;sayt;mesto
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";https://rte.ru;1
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";https://magnus-prom.ru;2
5103070023;"АО ""АПАТИТ""";https://www.phosagro.ru;3
7708619320;"ПАО ""ОАК""";https://uacrussia.ru;9
7406002523;"АО ""КАРАБАШМЕДЬ""";https://karmed.ru;11
1433000147;"АК ""АЛРОСА"" (ПАО)";https://alrosa.ru;12
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";https://sibur.ru;13
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";https://goldpro.ru;17
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";https://www.uralmash-ngo.com;18
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";https://akkermann.ru;19
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";https://vsmpo.ru;20
