inn;predpriyatie;nazvanie_na_karte;adres;telefon;dobavochnyy;vid_nomera;nomer_ne_lichnyy;sayt_iz_kartochki;ssylka;prinadlezhnost;chem_proverena
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";Компрессор-Техцентр;Батайская ул., 21А, село Верхнерусское;+7 (968) 266-29-76;;мобильный;;https://magnus-prom.ru/ | https://wa.me/79624510301?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5;https://yandex.ru/maps/org/kompressor_tekhtsentr/1126417689/;подтверждена;сайт из карточки совпал с подтверждённым magnus-prom.ru
7708619320;"ПАО ""ОАК""";Объединённая авиастроительная корпорация;Скаковая ул., 5, стр. 3, Москва;+7 4959261420;;городской;да;https://uacrussia.ru/ru/;https://yandex.ru/maps/org/obyedinyonnaya_aviastroitelnaya_korporatsiya/166695373870/;подтверждена;сайт из карточки совпал с подтверждённым uacrussia.ru
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";Уралмаш Нефтегазовое Оборудование Холдинг;просп. 60-летия Октября, 21, корп. 4, Москва;+7 4957830569;;городской;да;http://www.uralmash-ngo.com/;https://yandex.ru/maps/org/uralmash_neftegazovoye_oborudovaniye_kholding/1005949570/;подтверждена;регион адреса совпал с регионом по ИНН (Москва)
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";Аккерманн Цемент;Оренбургская область, посёлок Аккермановка;+7 8005505602;;городской;да;http://www.akkermann.ru/ | https://max.ru/id5607015014_bot;https://yandex.ru/maps/org/akkermann_tsement/153594084927/;подтверждена;сайт из карточки совпал с подтверждённым akkermann.ru
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";Jacobs Douwe Egberts Rus;Ленинградская область, Ломоносовский район, Виллозское городское поселение, территория Северная часть производственной з;+7 8003332255;;городской;да;https://www.jacobsdouweegberts.com/;https://yandex.ru/maps/org/jacobs_douwe_egberts_rus/14285998064/;подтверждена;регион адреса совпал с регионом по ИНН (Ленинградская область)
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";ТМК НГС-Нижневартовск;Ханты-Мансийский автономный округ — Югра, Нижневартовский район, городское поселение Излучинск;+7 3466654340;;городской;да;http://uprt-nv.ru/;https://yandex.ru/maps/org/tmk_ngs_nizhnevartovsk/163902650331/;подтверждена;регион адреса совпал с регионом по ИНН (Ханты-Мансийский автономный округ)
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";Фармстандарт-Лексредства;2-я Агрегатная ул., 1А/18, Курск;+7 4712340313;;городской;да;http://pharmstd.ru/;https://yandex.ru/maps/org/farmstandart_leksredstva/1237011937/;подтверждена;регион адреса совпал с регионом по ИНН (Курская область)
7452075043;"ООО ""ПРОМТЭКС-ЭНЕРГО""";Промтэкс-энерго;ул. Танкистов, 148, Челябинскэтаж цокольный;+7 3512473750;;городской;да;;https://yandex.ru/maps/org/promteks_energo/236489399971/;подтверждена;регион адреса совпал с регионом по ИНН (Челябинская область)
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";Алабуга-волокно;Республика Татарстан (Татарстан), муниципальное образование Елабуга, Особая экономическая зона Алабуга, улица Ш-2, 11/9;+7 4951980123;;городской;да;https://rosatom-composites.ru/company/alabugavolokno;https://yandex.ru/maps/org/alabuga_volokno/1374109993/;подтверждена;регион адреса совпал с регионом по ИНН (Республика Татарстан)
7448000013;"АО ""ЧЦЗ""";Челябинский цинковый завод;Свердловский тракт, 24, Челябинск;+7 3517990009;;городской;да;http://www.zinc.ru/;https://yandex.ru/maps/org/chelyabinskiy_tsinkovy_zavod/1310784911/;подтверждена;сайт из карточки совпал с подтверждённым zinc.ru
6635000195;"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""";Свеза;Свердловская область, посёлок городского типа Верхняя Синячиха;+7 3434697318;;городской;да;http://sveza.ru/;https://yandex.ru/maps/org/nao_sveza_verkhnyaya_sinyachikha/1127113166/;подтверждена;регион адреса совпал с регионом по ИНН (Свердловская область)
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";Тракторный завод;просп. Стачек, 47АВ, Санкт-Петербургкабинет 615;+7 8123634695;;городской;да;https://kirovets-ptz.com/;https://yandex.ru/maps/org/peterburgskiy_traktorny_zavod/189249869031/;подтверждена;регион адреса совпал с регионом по ИНН (Санкт-Петербург)
7724729390;"ФБУ ""ФУ БХУХО""";ФУБХиУХО;ул. Садовники, 4А, Москва;+7 4996167726;;городской;да;;https://yandex.ru/maps/org/federalnoye_upravleniye_po_bezopasnomu_khraneniyu_i_unichtozheniyu_khimicheskogo_oruzhiya_pri_ministerstve_promyshlennosti_i_torgovli_rossiyskoy_federatsii/1548435553/;подтверждена;регион адреса совпал с регионом по ИНН (Москва)
7814370998;"ООО  ""ГИПЕРТЕХНОЛОДЖИ """;Hyper Technology;Приморский просп., 137, корп. 2, Санкт-Петербургпомещение 22Н;+7 8123362633;;городской;да;http://hyptec.ru/;https://yandex.ru/maps/org/hyper_technology/47609464665/;подтверждена;сайт из карточки совпал с подтверждённым hyptec.ru
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";Аккерманн;Пермский край, Горнозаводскпромзона;+7 3426937355;;городской;да;https://www.akkermann.ru/ | https://max.ru/id5607015014_bot;https://yandex.ru/maps/org/gornozavodsktsement/1021961547/;подтверждена;сайт из карточки совпал с подтверждённым akkermann.ru
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";Томскнефтехим;Кузовлевский тракт, 2, стр. 238, Томск;+7 3822702070;;городской;да;https://www.sibur.ru/TomskNeftehim;https://yandex.ru/maps/org/tomskneftekhim/137599413280/;подтверждена;регион адреса совпал с регионом по ИНН (Томская область)
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";ЭЛ5-Энерго;Павловская ул., 7, стр. 1, Москва;+7 4955393131;;городской;да;http://el5-energo.ru/;https://yandex.ru/maps/org/el5_energo/1709849676/;подтверждена;сайт из карточки совпал с подтверждённым el5-energo.ru
