inn;predpriyatie;company_id;procedure_id;nomer;predmet;vid;sekciya;summa;data;stadiya;ssylka
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;797509;349915;"Выполнение работ по внедрению DLP систем контроля нецелевого расхода рабочего времени и предотвращения утечки (кражи) конфиденциальной информации для нужд ООО ""РТ-Инжиниринг""";закупка;Торговый портал;;2022-08-23;completed;https://etpgpb.ru/procedure/tender/price_request/349915-vypolnenie-rabot-po-vnedreniyu-dlp-sistem-kontrolya-netselevogo-rashoda-rabochego-vremeni-i-predotvrascheniya-ute/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;830147;371575;Поставка компьютерного оборудования для собственных нужд ООО «РТ-Инжиниринг»;закупка;Торговый портал;;2022-10-19;completed;https://etpgpb.ru/procedure/tender/price_request/371575-postavka-kompyuternogo-oborudovaniya-dlya-sobstvennyh-nuzhd-ooo-rt-inzhiniring/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;830171;371637;Поставка графических станций для собственных нужд ООО «РТ-Инжиниринг»;закупка;Торговый портал;;2022-10-19;completed;https://etpgpb.ru/procedure/tender/price_request/371637-postavka-graficheskih-stantsiy-dlya-sobstvennyh-nuzhd-ooo-rt-inzhiniring/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;872124;393929;Приобретение квадрокоптера Mavic 3 Cine Premium Combo для проведения панорамной съемки строительных объектов;закупка;Торговый портал;;2022-12-09;completed;https://etpgpb.ru/procedure/tender/price_request/393929-priobretenie-kvadrokoptera-mavic-3-cine-premium-combo-dlya-provedeniya-panoramnoy-semki-stroitelnyh-obektov/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1527437;762858;Закупка услуг по технической поддержке программного обеспечения Primavera;закупка;Торговый портал;;2025-04-21;completed;https://etpgpb.ru/procedure/tender/price_request/762858-zakupka-uslug-po-tehnicheskoy-podderzhke-programmnogo-obespecheniya-primavera/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1594259;791702;Услуги по созданию проектного портала;закупка;Торговый портал;;2025-06-20;completed;https://etpgpb.ru/procedure/tender/price_request/791702-uslugi-po-sozdaniyu-proektnogo-portala/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1629091;807855;Выполнение работ по построению автоматической системы газового пожаротушения серверного помещения;закупка;Торговый портал;;2025-07-23;completed;https://etpgpb.ru/procedure/tender/price_request/807855-vypolnenie-rabot-po-postroeniyu-avtomaticheskoy-sistemy-gazovogo-pozharotusheniya-servernogo-pomescheniya/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1678112;833293;Выполнение работ по построению системы удалённого доступа (VPN);закупка;Торговый портал;;2025-09-16;completed;https://etpgpb.ru/procedure/tender/price_request/833293-vypolnenie-rabot-po-postroeniyu-sistemy-udalyonnogo-dostupa-vpn/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1697087;843475;Выполнение работ по проектированию и внедрению системы программного обеспечения и мобильного приложения для строительного контроля;закупка;Торговый портал;;2025-10-04;completed;https://etpgpb.ru/procedure/tender/price_request/843475-vypolnenie-rabot-po-proektirovaniyu-i-vnedreniyu-sistemy-programmnogo-obespecheniya-i-mobilnogo-prilozheniya-dlya/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1734146;860649;Приобретение графических станций для организации рабочих мест ;закупка;Торговый портал;;2025-11-08;completed;https://etpgpb.ru/procedure/tender/price_request/860649-priobretenie-graficheskih-stantsiy-dlya-organizatsii-rabochih-mest/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1734160;860655;Поставка компьютерного оборудования для организации рабочих мест ;закупка;Торговый портал;;2025-11-08;completed;https://etpgpb.ru/procedure/tender/price_request/860655-postavka-kompyuternogo-oborudovaniya-dlya-organizatsii-rabochih-mest/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1734164;860657;Приобретение услуг хостинга, IP-телефонии и антивирусной защиты;закупка;Торговый портал;;2025-11-08;completed;https://etpgpb.ru/procedure/tender/price_request/860657-priobretenie-uslug-hostinga-ip-telefonii-i-antivirusnoy-zaschity/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1751606;868199;Приобретение оборудования для широкоформатной печати (А0);закупка;Торговый портал;;2025-11-22;completed;https://etpgpb.ru/procedure/tender/price_request/868199-priobretenie-oborudovaniya-dlya-shirokoformatnoy-pechati-a0/
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";10235;1798522;888104;Приобретение оборудования для широкоформатной печати (А0) ;закупка;Торговый портал;;2026-01-17;completed;https://etpgpb.ru/procedure/tender/price_request/888104-priobretenie-oborudovaniya-dlya-shirokoformatnoy-pechati-a0/
