inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
5103070023;"АО ""АПАТИТ""";14;3;0;0;обойдено
6310000160;"АО ""СМЗ""";12;2;0;0;обойдено
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";20;7;0;0;обойдено
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";15;1;0;0;обойдено
4823006703;"ПАО ""НЛМК""";20;5;0;0;обойдено
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";20;6;0;1;1 карточек не снялось — перезапросить
6635000195;"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""";18;5;0;1;1 карточек не снялось — перезапросить
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";2;1;1;0;обойдено
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";8;1;0;0;обойдено
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";7;7;7;0;обойдено
1651057721;"ООО ""АЙ-ПЛАСТ""";14;3;0;0;обойдено
4205064482;"ООО ПО ""ТОКЕМ""";8;1;0;0;обойдено
8608053875;"ООО ""КОГАЛЫМ НПО-СЕРВИС""";1;1;0;0;обойдено
7838387574;"ООО ""ПОСМ С-З""";11;1;1;0;обойдено
5904199692;"ООО ""ИНКАБ""";5;2;0;0;обойдено
6315376946;"ПАО ""Т ПЛЮС""";20;12;0;0;обойдено
7708117908;"АО ""ЦЕМРОС""";10;0;0;0;обойдено
7417011270;"ООО ""ГРУППА ""МАГНЕЗИТ""";1;1;0;0;обойдено
4401006864;"НАО ""СВЕЗА КОСТРОМА""";14;6;0;0;обойдено
5606001611;"ООО ""ММСК""";8;2;0;0;обойдено
5902181202;"АО ""ПЕРМАЛКО""";12;2;0;0;обойдено
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";18;7;0;0;обойдено
6664002550;"ПАО ""УРАЛЬСКИЙ ЗАВОД РТИ""";3;1;0;0;обойдено
1646020116;"АО ""ПОЛИМАТИЗ""";4;1;0;0;обойдено
