inn;predpriyatie;vsego;vzyato;chuzhih;pochemu
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";0;0;0;обойдено
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";0;0;0;обойдено
5103070023;"АО ""АПАТИТ""";174;174;0;обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";0;0;0;обойдено
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";0;0;0;обойдено
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";0;0;0;обойдено
2705090529;"АО ""МНОГОВЕРШИННОЕ""";0;0;0;обойдено
1658152572;"ООО ""МОНАТ ГРУПП""";0;0;0;обойдено
7708619320;"ПАО ""ОАК""";0;0;0;обойдено
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";0;0;0;обойдено
7406002523;"АО ""КАРАБАШМЕДЬ""";0;0;0;обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";0;0;0;обойдено
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";0;0;0;обойдено
7713085659;"АО ""ВБД""";0;0;0;обойдено
