inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
5103070023;"АО ""АПАТИТ""";10;0;0;0;обойдено
6310000160;"АО ""СМЗ""";11;1;0;0;обойдено
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";10;0;0;0;обойдено
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";10;0;0;0;обойдено
4823006703;"ПАО ""НЛМК""";10;0;0;0;обойдено
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";10;0;0;0;обойдено
6673092045;"АО ""ОКБ ""НОВАТОР""";10;0;0;0;обойдено
6612001971;"ФГУП ""ПО ""ОКТЯБРЬ""";12;2;0;0;обойдено
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";11;1;0;0;обойдено
7448000013;"АО ""ЧЦЗ""";4;1;0;0;обойдено
6635000195;"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА""";10;0;0;0;обойдено
5838013374;"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""";10;0;0;0;обойдено
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";17;6;0;0;обойдено
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";12;2;1;0;обойдено
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";10;0;0;0;обойдено
