inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
2705090529;"АО ""МНОГОВЕРШИННОЕ""";8;3;0;0;обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";16;3;0;0;обойдено
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";2;1;0;0;обойдено
7706613770;"ООО ""РН-БУРЕНИЕ""";20;15;1;0;обойдено
6673092045;"АО ""ОКБ ""НОВАТОР""";15;7;2;1;1 карточек не снялось — перезапросить
6612001971;"ФГУП ""ПО ""ОКТЯБРЬ""";12;2;0;0;обойдено
7448000013;"АО ""ЧЦЗ""";1;1;0;0;обойдено
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";8;5;0;0;обойдено
8603087285;"ООО ""ННПО""";16;10;0;0;обойдено
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";14;2;1;0;обойдено
