inn;predpriyatie;pochemu
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";обойдено
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";обойдено
5103070023;"АО ""АПАТИТ""";обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";обойдено
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";обойдено
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";обойдено
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";обойдено
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";обойдено
2705090529;"АО ""МНОГОВЕРШИННОЕ""";обойдено
1658152572;"ООО ""МОНАТ ГРУПП""";обойдено
7708619320;"ПАО ""ОАК""";обойдено
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";обойдено
7406002523;"АО ""КАРАБАШМЕДЬ""";обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";обойдено
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";обойдено
7713085659;"АО ""ВБД""";обойдено
4715019631;"АО ""ТВСЗ""";обойдено
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";обойдено
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";обойдено
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";обойдено
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";обойдено
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";обойдено
