inn;predpriyatie
0266028780;"ООО ""ИТЦ СНХРС"""
1660033036;"ООО ""ГАЗПРОМ СЖИЖЕННЫЙ ГАЗ"""
5258000780;"ОАО Хладокомбинат ""Заречный"""
0522018698;"ООО ""Союз"" (ИНН 0522018698)"
6168000080;"ОАО ""Хладокомбинат № 3"""
4028026750;"ООО ""Холодильник"""
0273018416;"ОАО ""Уфимский железобетонный завод-2"""
6404001667;"ООО ""САНДУГАЧ"""
3015087458;"ООО ""ЛУКОЙЛ-ЭКОЭНЕРГО"""
7729099008;"ОАО ""Московский хладокомбинат № 14"""
6714027560;"ООО ""Витамин"""
5904103841;"ЗАО ""Пермрыба"""
6325002019;"ОАО ""Сызранский мясокомбинат"""
0326567162;"ООО ""ИРОКИНДА"""
4205242400;"ЗАО ""Капролактам Кемерово"""
6319002765;"ООО ""Иннэкс"""
1624008838;"АО ""Казанский МЭЗ"""
1834100340;"АО ""МИЛКОМ"""
0275074279;"АО ""УАПО"""
1828017887;"ООО ""СПЕЦТЕХСЕРВИС"""
0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА"""
1608010251;"ООО ""Апастовский молочный комбинат"""
2801018275;"ОАО "" Амургаз"""
2309051942;"ООО ""ЛУКОЙЛ-ЮГНЕФТЕПРОДУКТ"""
2427000415;"ЗАО ""НАЗАРОВСКОЕ"""
7740000100;"АО ""СГ-ТРАНС"""
6206002034;"ООО ""МУКОМОЛ"""
057100600670;Алибеков Ш. М.
0278156201;"ООО  ""БитумОйл"""
5805012417;"ООО ""ГПК Сердобский"""
3808065646;"МУП ""ИРКУТСКАВТОДОР"""
7713016180;"АО ""Меридиан"""
1501000010;"ОАО ""Победит"""
6625035086;"АО ""СГ-Инвест"""
1315012925;"АО ""Агрофирма ""Октябрьская"""
2309095298;"ООО ""РН-КРАСНОДАРНЕФТЕГАЗ"""
7715057618;"АО ""БРПИ"""
1215027621;"АО ""ЙОШКАР-ОЛИНСКИЙ МЯСОКОМБИНАТ"""
1651057270;"ООО ""ПЭСТ"""
5249001499;"АО ""Дзержинскхолод"""
6325027623;"ООО ""ТЕРМИНАЛ ГАЗ"""
5190908693;"АО ""НОРЕБО РУ"""
9104003524;"АО ""АГРОФИРМА ЧЕРНОМОРЕЦ"""
7453068000;"ООО ""Арктика-Сервис"""
4025423372;"ООО ""НОВАЯ БАЗА"""
5918838116;"ООО ""ЭЛЕКТРОТЯЖМАШ-ПРИВОД"""
7701024482;ОАО ХЛАДОКОМБИНАТ-13
7725334109;"ООО ""ДИЭКСПО"""
0541030620;"ОАО ""Денеб"""
2126000147;"АО ""АККОНД"""
5250037524;"ООО ""ГЭС - НН"""
4218019913;"ООО  ""Сибнефтехим"""
5904100590;"ОАО ПХ ""Созвездие"""
4329008459;"ООО ""Зверохозяйство ""Вятка"""
2460083169;"АО ""КРЭВРЗ"""
7724294870;"ОАО ""Мосрыбокомбинат"""
3447006030;"ВОАО ""ХИМПРОМ"""
1121003135;"АО ""СЛПК"""
4219000048;"АО  ""ЦОФ ""Абашевская"""""
3435801192;"ОАО ""ЭКТОС-ВОЛГА"""
0278042388;"ООО ""СПК БЕТОН"""
2210005457;"ЗАО ""СМК"""
7710498263;"ООО ""НК ""ЮГРАНЕФТЕПРОМ"""
7811038047;"АО ""НЕВСКАЯ КОСМЕТИКА"""
7710291237;"ЗАО ""Фирма ""ПРОДСНАБ 93"""
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА"
7718013802;"ОАО ""ТД ""ПРЕОБРАЖЕНСКИЙ"""
3127000021;"АО ""Комбинат КМАруда"""
7817323403;"ООО ""Санкт-Петербургский Хладокомбинат №7"""
5042151160;"ООО ""СПХК"""
3325008054;"ЗАО ""Перспектива"" (ИНН 3325008054)"
6608004641;"ФГУП ""УЭМЗ"""
7713070229;"ОАО ""ВЕГЕТТА"""
6367020355;"АО ""САМАРА-АЙС"""
7203330198;"ООО ""МегРусНефть"""
7718013714;"АО ""ЧМПЗ"""
9701189914;"АО ""РЕВОЛТ"""
2724152185;"ООО ""ТЗК-АЭРО"""
7733312123;"ООО ""ВСИК"""
8603120013;"ООО ""Техгаз"" (ИНН 8603120013)"
9102070194;"АО ""КРЫМТЭЦ"""
1644026144;"ООО ""Промышленная экология"""
4214000693;"АО   ""ТРМЗ"""
5609061432;"АО ""ПО ""СТРЕЛА"""
4909021566;"АО ""ОМГГК"""
5703008860;"ОАО ""Мценский литейный завод"""
5610029842;"ЗАО ""Газпром нефть Оренбург"""
8609000900;"АО ""Негуснефть"""
7017150776;"ООО ""БСК ""ГРАНД"""
2801163890;"ООО ""Соя АНК"""
7717133960;"ПАО НК ""РУССНЕФТЬ"""
1428009578;"ООО Рудник ""Дуэт"""
6670022392;"ООО ""Пневмотехника"""
5031075380;"ООО ""ГЛОБУС"" (ИНН 5031075380)"
7825133660;"ООО ""ПЕНОПЛЭКС СПБ"""
8904045666;"ЗАО ""НОРТГАЗ"""
5249000858;"АО ""АВИАБОР"""
8904095427;"ООО ""СЕВЕРНЕФТЕГАЗПРОМ"""
1834034714;"ООО ""БУРОВЫЕ СИСТЕМЫ"""
5914024719;"ООО ""НСХ АЗИЯ ДРИЛЛИНГ"""
4706002688;"АО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ"""
6314026931;"ООО ""Доверие"""
5835093290;"ЗАО ""ТехГазСервис"""
8904007910;"АО ""НУМРГ"""
