inn;predpriyatie
1609013424;"ООО ""АРЧА"""
0260002024;"""Дюртюлинский комбинат молочных продуктов"""
5836602550;"ООО ТК ""Конкурент"""
6625006078;"АО ""Первоуральскгаз"""
0265025836;"ООО ""Октябрьское УТТ"""
1841017491;"ООО ""ВОСТОЧНЫЙ"""
7802849641;"ООО ""ПК ""БАЛТИКА"""
3523001117;"ОАО ""ЧеМол"""
0274053773;"ОАО ""Уралтранснефтепродукт"""
0541000382;"ОАО ""Махачкалинский мясокомбинат"""
8300004226;"АО ""АРКТИКНЕФТЬ"""
5020037784;"АО ""АБ ИНБЕВ ЭФЕС"""
4710002063;"ОАО ""ЛЗ ""Белкозин"""
7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ"""
3528081483;"ООО ""УПРАВЛЕНИЕ СЕВЕРГАЗ"""
7300000029;"ОАО ""УАЗ"""
8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ"""
4345000295;"ЗАО ""КИРОВМОЛКОМБИНАТ"" (ЗАО ""КМК"")"
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ"""
1826001360;"ОАО ""Удмуртский хладокомбинат"""
1911000014;"АО ""КОММУНАРОВСКИЙ РУДНИК"""
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ"""
4221000630;"АО  ""Органика"""
5907016890;"АО ""КАМТЭКС-ХИМПРОМ"""
7802071707;"АО ""КОМПРЕССОР"""
5214008285;"ООО ""МК ""Ильиногорское"""
9106002678;"АО ""Бром"""
4213009781;"ООО ""Мариинский спиртовой комбинат"""
8603089934;"АО ""САМОТЛОРНЕФТЕГАЗ"""
7736036626;"АО ""РИТЭК"""
4253000827;"ООО ""ШАХТА ""ЕСАУЛЬСКАЯ"""
3905078834;"ООО ""ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО"""
6453163766;"ООО ""РУСАГРО-САРАТОВ"""
7728276053;"ООО ""Промконсервы"""
1648033456;"АО ""ЗМК"" (ИНН 1648033456)"
0274964487;"ООО ""АМИОЙЛ"""
0326567162;"ООО ""ИРОКИНДА"""
8609002880;"ОАО ""Варьеганнефть"""
8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ"""
5835011964;"ОАО ""Пензахолод"""
6730008003;"ОАО ""Айсберг"" (ИНН 6730008003)"
1653005126;"АО ""НЭФИС КОСМЕТИКС"""
4312138386;"ОАО ""ЗМУ КЧХК"""
5260112442;"ООО ""Айс-Оптима 7"""
7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ"""
2222000936;"АО ""АСД"""
0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА"""
