inn;predpriyatie;tip;marka_model;zavodskoy_nomer;sreda;data;nomer_zaklucheniya;vyvod;srok_do;sila;klass;istochnik;ssylka;citata
1609013424;"ООО ""АРЧА""";ресивер;ASS-0,056;716;;05.02.2026;16-ТУ-676754-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676754-2026;ЗАКЛЮЧЕНИЕ № 2455ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-0,056, зав.№ 716, рег.№ 43-07/0022, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район,
1609013424;"ООО ""АРЧА""";ресивер;А200М1;715;;05.02.2026;16-ТУ-676763-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676763-2026;ЗАКЛЮЧЕНИЕ № 2454ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-А200М1, зав.№ 715, рег.№ 43-07/0018, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район
1609013424;"ООО ""АРЧА""";ресивер;А200М;714;;05.02.2026;16-ТУ-676768-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676768-2026;ЗАКЛЮЧЕНИЕ № 2450ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-А200М, зав.№ 714, рег.№ 43-07/0020, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район,
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;713;;05.02.2026;16-ТУ-676782-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676782-2026;ЗАКЛЮЧЕНИЕ № 2448ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 713, рег.№ 43-07/0021, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;712;;04.02.2026;16-ТУ-673872-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-673872-2026;ЗАКЛЮЧЕНИЕ № 2447ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 712, рег.№ 43-07/0019, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;711А;;04.02.2026;16-ТУ-673879-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-673879-2026;ЗАКЛЮЧЕНИЕ № 2446ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 711А, рег.№ 43-07/0017, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский райо
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;2714;;29.01.2026;16-ТУ-664510-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664510-2026;"ЗАКЛЮЧЕНИЕ № 2481ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ 2714, поз.№ К№4; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал"
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;1790;;29.01.2026;16-ТУ-664513-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664513-2026;"ЗАКЛЮЧЕНИЕ № 2482ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ 1790, поз.№ К№5; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал"
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;;;29.01.2026;16-ТУ-664516-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664516-2026;"ЗАКЛЮЧЕНИЕ № 2461ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ б/н, поз. № К№3; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал"
1609013424;"ООО ""АРЧА""";компрессор;NF-811;820101;;29.01.2026;16-ТУ-664528-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664528-2026;"ЗАКЛЮЧЕНИЕ № 2458ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки NF-811, зав. № 820101, поз. № К№2; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Б"
