inn;predpriyatie;tip;marka_model;zavodskoy_nomer;sreda;data;srok_do;status_sroka;sila;klass;istochnik;ssylka;citata
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-100/8;342;;23.05.2022;24.03.2025;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31942-2022;Компрессор 4ВМ10-100/8, зав.№342, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-100/8;286;;23.05.2022;24.03.2025;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31944-2022;"""Компрессор 4ВМ10-100/8, зав.№286, установленный в помещении компрессорной станции"""
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-100/8;217;;23.05.2022;24.03.2025;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31945-2022;Компрессор 4ВМ10-100/8, зав.№217, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-120/9;1279;;23.05.2022;24.03.2025;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31946-2022;Компрессор 4ВМ10-120/9, зав.№1279, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-120/9;590;;23.05.2022;23.05.2025;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31948-2022;Компрессор 4ВМ10-120/9, зав.№590, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4М10-100/8;286;;27.12.2017;18.12.2020;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53725-2017;компрессор 4М10-100/8 зав. № 286, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4М10-100/8;342;;27.12.2017;18.12.2020;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53745-2017;компрессор 4М10-100/8 зав. № 342, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-120/9;1279;;27.12.2017;18.12.2020;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53760-2017;компрессор 4ВМ10-120/9 зав. № 1279, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4М10-100/8;217;;27.12.2017;18.12.2020;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53767-2017;компрессор 4М10-100/8 зав. № 217, установленный в помещении компрессорной станции
0255010527;"АО ""БЕЛЗАН""";компрессорная станция;4ВМ10-120/9;590;;27.12.2017;18.12.2020;истёк;1;надзорная запись: заключение ЭПБ;"ООО ""НПП УРАЛНЕФТЕГАЗДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53772-2017;компрессор 4ВМ10-120/9 зав. № 590, установленный в помещении компрессорной станции
