inn;predpriyatie;sayt;itog
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;подтверждён
1328006189;"ООО ""Мордовбитум""";http://mordovbitum.ru;название совпало
1644011638;"АО ""ТАТОЙЛГАЗ""";https://tatoilgas.ru;название совпало
1651057270;"ООО ""ПЭСТ""";https://pestenergo.ru;подтверждён
1834034714;"ООО ""БУРОВЫЕ СИСТЕМЫ""";https://drilling-systems.ru;название совпало
2128701370;"ЗАО ""Промтрактор-Вагон""";https://promtraktor-vagon.inni.info;подтверждён
2455024746;"ООО ""КДВ Минусинск""";https://about.kdv-group.com;название совпало
2460083169;"АО ""КРЭВРЗ""";https://kr-evrz.ru;название совпало
2511000090;"АО ""КИСЛОРОД""";https://aokislorod.ru;подтверждён
3329051460;"АО ""ВПО ""ТОЧМАШ""";https://vpotochmash.ru;подтверждён
4214000693;"АО ""ТРМЗ""";http://www.trmz.ru;название совпало
4702002704;"ГБУЗ ЛО ""ВОЛХОВСКАЯ МБ""";https://vmbvolhov.ru;подтверждён
