inn;sayt;stranic_prosili;stranic_otvetili;pocht;telefonov;lyudey;kak;pochemu
0264015786;https://www.belkamneft.ru;10;10;4;2;0;обычно;обойдено
0276051595;https://kislorod.ru;10;10;3;3;0;обычно;обойдено
0277046541;https://peton.ru;11;11;2;3;0;обычно;обойдено
0278042388;https://spkbeton.ru;6;6;1;5;0;обычно;обойдено
0278156201;https://bitum-oil.ru;3;3;1;1;0;обычно;обойдено
0306218607;https://dolomit.nlmk.com;11;11;5;0;0;обычно;обойдено
0541030620;https://deneb.ru;5;5;2;2;0;обычно;обойдено
0545001919;https://dagdizel.ru;5;5;1;2;0;обычно;обойдено
0908003197;https://urgok.ru;1;1;1;1;0;обычно;обойдено
1215027621;https://joshkar-olinskij-mjasokombinat-kokshajskij-proezd.clients.site;1;1;0;1;0;обычно;обойдено
1328006189;http://mordovbitum.ru;11;1;1;1;0;обычно;обойдено
1428009578;https://rudnik-duet.ru;4;4;4;4;0;обычно;обойдено
1435263092;https://voskhod-saratov.ru;6;6;0;2;0;обычно;обойдено
1501000010;https://ao-pobedit.ru;3;3;20;19;0;обычно;обойдено
1624008838;http://kazanmez.ru;4;1;0;1;0;обычно;обойдено
1644011638;https://tatoilgas.ru;2;2;0;0;0;без проверки сертификата;обойдено
1644026144;https://promecology.spb.ru;8;8;2;4;0;обычно;обойдено
1651057270;https://pestenergo.ru;11;11;6;11;0;обычно;обойдено
1653008462;https://aromatcosmetic.ru;5;5;9;2;0;обычно;обойдено
1660033036;https://sg.gazprom.ru;11;10;5;4;0;обычно;обойдено
1834034714;https://drilling-systems.ru;1;1;1;1;0;обычно;обойдено
2128701370;https://promtraktor-vagon.inni.info;1;1;0;0;0;обычно;обойдено
2130006695;https://promtraktor.clients.site;1;1;0;1;0;обычно;обойдено
2308152747;https://strojexp.ru;1;1;1;1;0;обычно;обойдено
2309175666;https://www.projectservice.ru;3;3;1;2;0;обычно;обойдено
2427000415;https://nazarovskoe.ru;4;4;1;1;0;обычно;обойдено
2434012309;http://priiskgold.ru;4;1;1;1;0;обычно;обойдено
2455024746;https://about.kdv-group.com;11;11;1;0;0;обычно;обойдено
2460083169;https://kr-evrz.ru;6;6;6;14;0;обычно;обойдено
2461124065;https://fakel-tomskaja-ulitsa.clients.site;1;1;0;1;0;обычно;обойдено
2511000090;https://aokislorod.ru;4;4;1;1;0;обычно;обойдено
2517001325;https://pgok.ru;1;1;0;0;0;без проверки сертификата;обойдено
2605013094;https://zaman-mebel.ru;2;2;0;1;0;обычно;обойдено
2801273170;https://amurskij-vtormet.clients.site;1;1;0;1;0;обычно;обойдено
3015087458;https://ekoenergo.lukoil.ru;7;7;3;10;0;обычно;обойдено
3017025584;https://agzsgazprom.ru;6;6;2;41;0;обычно;обойдено
3127000021;https://kmaruda.ru;1;1;1;0;0;обычно;обойдено
