inn;predpriyatie;sayt;chto_naydeno;znachenie;chelovek;dolzhnost;ssylka;citata;prinadlezhnost_sayta
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;почта;belkamneft@belkam.com;;;https://www.belkamneft.ru/;Официальный сайт компании АО «Белкамнефть» им. А.А. Волкова belkamneft@belkam.com Задать вопрос +7 (3412) 911-730 +7 (3412) 911-630 Горячая линия “Антикоррупция” (3412) 911-661 Остав;
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;почта;kudryavtsevany@belkam.com;;;https://www.belkamneft.ru/about/vacance/;публика Контактная информация специалист по подбору персонала Кудрявцева Надежда тел.83412606728 эл.почта:kudryavtsevany@belkam.com Обязанности выполнение работ по текущему и капитальному ремонту нефтяных скважин I и II категории сложности;
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;почта;kudryavtsvevany@belkam.com;;;https://www.belkamneft.ru/about/vacance/;кая Республика Контактная информация Кудрявцева Надежда Юрьевна тел. +73412606728 +79821178001 эл.почта: kudryavtsvevany@belkam.com Обязанности эксплуатация (ТР, ТО) систем отопления, водоснабжения, канализации, тепловой сети производствен;
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;почта;kudryavtsevany@bekkam.com;;;https://www.belkamneft.ru/about/vacance/;орождения на территории УР Регион Удмуртская Республика Контактная информация +73412606728 +79821178001 kudryavtsevany@bekkam.com Обязанности сварка труб диаметром от 32 до 1020 (основные диаметры 57-219), сварка различных металлоконстру;
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;телефон;+73412606728;;;https://www.belkamneft.ru/about/vacance/;Регион Удмуртская Республика Контактная информация специалист по подбору персонала Кудрявцева Надежда тел.83412606728 эл.почта:kudryavtsevany@belkam.com Обязанности выполнение работ по текущему и капитальному ремонту нефтяны;
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";https://www.belkamneft.ru;телефон;+79821178001;;;https://www.belkamneft.ru/about/vacance/;помощь. Регион Удмуртская Республика Контактная информация Кудрявцева Надежда Юрьевна тел.+73412606728 +79821178001 эл.почта: kudryavtsevany@belkam.com Обязанности -Производить оценку рисков и ограничений, определяющих раб;
0276051595;"ООО ""Кислород""";https://kislorod.ru;почта;info@kislorod.ru;;;https://kislorod.ru/;-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail info@kislorod.ru Адрес Москва ул. Брянская, д. 32, стр. 6 БЕСПЛАТНАЯ гостевая парковка! Киевская / Киевская / К;
0276051595;"ООО ""Кислород""";https://kislorod.ru;телефон;+78003330814;;;https://kislorod.ru/;ывы Сертификаты Новости Наша команда Это интересно Статьи Вопрос-ответ Производители (бренды) 8-800-333-08-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail inf;
0276051595;"ООО ""Кислород""";https://kislorod.ru;телефон;+74993223966;;;https://kislorod.ru/;тересно Статьи Вопрос-ответ Производители (бренды) 8-800-333-08-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail info@kislorod.ru Адрес Москва ул. Брянская, д. 32,;
0276051595;"ООО ""Кислород""";https://kislorod.ru;почта;mail@kislorod.ru;;;https://kislorod.ru/contacts/;сская Режим работы магазина: Пн-Пт: 10.00-18.00 Сб: 11.00-17.00 Вс: выходной +7 (812) 385 59 66 mail@kislorod.ru +7 (812) 385 59 66 mail@kislorod.ru На карте О компании Магазины Отзывы Сертификаты Новости;
0276051595;"ООО ""Кислород""";https://kislorod.ru;телефон;+78123855966;;;https://kislorod.ru/contacts/;.м. Садовая ст.м. Спасская Режим работы магазина: Пн-Пт: 10.00-18.00 Сб: 11.00-17.00 Вс: выходной +7 (812) 385 59 66 mail@kislorod.ru +7 (812) 385 59 66 mail@kislorod.ru На карте О компании Магазины Отзывы Серт;
0276051595;"ООО ""Кислород""";https://kislorod.ru;почта;info@o2-spb.ru;;;https://kislorod.ru/company/otzyvy/;"я более не повторялась. &#13; А Вам хотели бы сделать особое предложение. Просим связаться с нами по эл.почте info@o2-spb.ru или позвонить на номер 8-800-333-08-14&#13; &#13; С уважением,&#13; администрация магазина&#13; Центр КИСЛОРО";
0277046541;"ООО ""НИП НГ ""Петон""";https://peton.ru;телефон;+73472468709;;;https://peton.ru/;для жителей регионов своего присутствия Подробнее Холдинг Проекты Тендеры Карьера Пресс-центр Уфа +7 (347) 246-87-09 Москва +7 (495) 980-27-18 Корпоративный университет © 2014 - 2026 НИПИ НГ ПЕТОН Политика конфиденциа;
