marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
А59-500;А59500;А59-500;КЦ-Ц;да;291;1;компрессорная станция;регулярка;Техническое устройство: Электродвигатель взрывозащищенного исполнения: тип EX 140-4 зав. № 382322, техн. № ВВ-2, инв. № 304422. Опасный производственный объект (ОПО): Площадка промысловой компрессорно;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-41804-2025
ГП-2;ГП2;ГП-2;К-Ц;да;237;1;компрессорная станция;регулярка;Техническое устройство: Клапан предохранительный DN50 PN40 зав.№ 6447, тех.№ 2-282, инв.№ 387319 Опасный производственный объект (ОПО): Участок комплексной подготовки газа ГП-2 Бованенковского нефтега;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-940364-2026
А59-50021;А5950021;А59-50021;КЦ-Ц;да;222;1;компрессорная станция;регулярка;Техническое устройство: Насос плунжерный НРЛ 0,32-160 СГУ-2, зав. №31, тех.50Н-1 №3 Инвентарный номер: 307131 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции Юбилейно;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-33851-2025
ГП-9;ГП9;ГП-9;К-Ц;да;87;1;компрессорная станция;регулярка;Сосуд, работающий под давлением Пылеуловитель тех. № П-1 №1, зав. № 44464, рег. № 9-55 Инвентарный номер: 113619 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции ГП-9 ;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-62832-2025
GLa 13.8;GLA13.8;GLa 13.8;Л Ц.Ц;да;80;1;ресивер;провайдер+регулярка;Заключение экспертизы промышленной безопасности на техническое устройство Ресивер поз. 6, зав. № 3, рег. № 9898 (Об. 348, цех № 5, ПУ, ООО «Газпром нефтехим Салават»);https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-475686-2025
АФЭН 6;АФЭН6;АФЭН 6 | АФЭН-6;К Ц;да;70;1;воздуходувка;регулярка;ЦДНГ-15, куст 554: Нагнетательная арматура, всего 1 шт.: АФЭН 65х21 скв. №1020, зав. №25697.;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-01166-2021
ГП-1;ГП1;ГП-1;К-Ц;да;70;1;компрессорная станция;регулярка;Техническое устройство: Емкость сбора, хранения и выдачи жидких, газообразных продуктов и их смесей (Е-1), зав. № 405И, рег. № 1-72 Инвентарный номер: 457921 Опасный производственный объект (ОПО): Пло;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-86304-2025
ВА180М12 УХЛ1;ВА180М12УХЛ1;ВА180М12 УХЛ1 | ВА180М12УХЛ1;КЦКЦ КЦ;нет;69;1;не машина;провайдер;«Площадка компрессорной станции Сосногорского ЛПУ МГ» рег. № А25-00251-0618, класс опасности ОПО II - Взрывозащищённый электродвигатель «ВА180М12 УХЛ1» зав. № 10320015, ст. №5035, место установки фили;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-16377-2019
ГП-3;ГП3;ГП-3;К-Ц;да;63;1;компрессорная станция;регулярка;Техническое устройство: Электродвигатель взрывозащищенного исполнения: тип W3G205TCO1 зав. № 531, техн. № АВО масла В-5 ГПА 31, инв. № 113135 Опасный производственный объект (ОПО): Площадка промыслово;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-42424-2025
58900.06-01;58900.0601;58900.06-01;Ц.Ц-Ц;да;62;1;ресивер;провайдер+регулярка;Ресивер 58900.06-01» зав.№889, рег.№215;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-944902-2026
