seriya;princip;vid;vstrech;innov;ssylok;ssylki;citata
К-500-61-1;центробежный;компрессор;673;27;195;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-12964-2018 | https://monitor-pb.ru/conclusion/75-%D0%A2%D0%A3-407870-2025 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36091-2022;133 0266008329 есть К-500-61-1 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 18.10.2016 заключение ЭПБ № 41-ТУ-32729-201
ЦК-135/8;центробежный;компрессор;529;34;218;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-774066-2026 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-21788-2014 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06969-2024;3012 1102054991 есть ЦК-135/8 | 171ГПА-2 центробежная среда не названа 27.12.2022 заключение ЭПБ № 49-ТУ-85375-2022 Центробежный компрессор ЦК-135/8 
К-250-61-5;центробежный;компрессор;498;50;217;https://www.roseltorg.ru/procedure/B2609251109508/1 | https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-16472-2020 | https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-22059-2019;108 0263009557 есть К-250-61-5 центробежная среда не названа 04.07.2019 заключение ЭПБ № 41-ТУ-27969-2019 центробежный компрессор К-250-61-5 поз.1 htt
К-1500-62-2;центробежный;компрессор;471;15;151;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-351343-2025 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-08417-2020 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-32520-2019;120 0266008329 есть К-1500-62-2 центробежная по серии среда не названа 18.09.2015 заключение ЭПБ № 41-ТУ-34837-2015 Маслохолодильник, поз. 51-3/1, зав.
К250-61-5;центробежный;компрессор;469;33;172;https://www.tender.pro/api/tender/1174988/view_public | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-13316-2019 | https://zakupki.mos.ru/need/5692898;1603 0270007455 есть К 250-61-5 центробежная по серии среда не названа 09.08.2017 заключение ЭПБ № 56-ТУ-10425-2017 компрессор типа К 250-61-5 (ст. №1)
К-500-61-5;центробежный;компрессор;356;21;94;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-14459-2020 | https://monitor-pb.ru/conclusion/75-%D0%A2%D0%A3-388561-2025 | https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-08286-2015;2301 0277014204 есть К-500-61-5, центробежная среда не названа 15.03.2018 заключение ЭПБ № 41-ТУ-12022-2018 центробежный компрессор К-500-61-5, тех.№2/
К-250-61-2;центробежный;компрессор;307;26;109;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-07982-2023 | https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-22070-2019 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-07192-2022;1020 0268004714 есть К-250-61-2 | М-2/4, | Р-10/2, центробежная среда не названа 15.11.2024 заключение ЭПБ № 41-ТУ-74750-2024 Центробежный компрессор К
К-345-92-1;центробежный;компрессор;282;11;106;https://www.tender.pro/api/tender/581585/view_public | https://www.tender.pro/api/tender/493374/view_public | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-264692-2022;125 0266008329 есть К-345-92-1 центробежная по серии среда не названа 18.09.2015 заключение ЭПБ № 41-ТУ-34865-2015 Маслофильтр, компрессор К-345-92-1 
К-905-61-1;центробежный;компрессор;280;10;87;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34769-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34407-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34812-2015;134 0266008329 есть К-905-61-1 центробежная среда не названа 18.09.2015 заключение ЭПБ № 41-ТУ-34734-2015 Холодильник промежуточный, зав. №789, 1 ступ
КТК-12;центробежный;компрессор;271;8;111;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-10556-2014 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00496-2017 | https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-795507-2026;4442 1651000010 есть КТК-12,5/35 центробежная среда не названа 23.04.2024 заключение ЭПБ № 43-ТУ-09819-2024 ЗАКЛЮЧЕНИЕ № 3901/03-23 ЭКСПЕРТИЗЫ ПРОМ
