inn;naimenovanie_obekta;klass_opasnosti;reg_nomer;ssylka;citata
0255010527;Сеть газопотребления АО «БелЗАН»;III;;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-669672-2026;дрес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПОСеть газопотребления АО «БелЗАН» Рег №ОПО/ класс опасности А41-00239-0003/III класс опасности Эксплуатирующая организация:
0255010527;Площадка производства АО «БелЗАН»;III;;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-658063-2026;ес ОПО: 452002, РБ, г. Белебей, ул. Сыртлановой, 1А Наименование ОПО «Площадка производства АО «БелЗАН» Рег. №ОПО/ класс опасности А41-00239-0001/III класс опасности Эксплуатирующая организация
0255010527;Сеть газопотребления биологических очистных сооружений АО «БелЗАН»;III;;https://monitor-pb.ru/conclusion/13-%D0%97%D0%A1-471838-2025;ортостан, Белебеевский район, г. Белебей, река Усень Наименование ОПО Сеть газопотребления биологических очистных сооружений АО «БелЗАН» Рег №ОПО/ класс опасности А41-00239-0007/III класс опасности Эксплуатирующая организация:
0256006322;"""Цехи сталепроволочного производства""";II;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-78779-2023;"""Цехи сталепроволочного производства"" Рег № ОПО А41-00238-0003 | Заключение экспертизы № 2023/182.ТУ промышленной безопасности"
0256006322;"""Площадка складского хозяйства""";III;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-79012-2023;"""Площадка складского хозяйства"" Рег № ОПО А41-00238-0017 | Заключение экспертизы № 2023.172/ПД промышленной безопасности"
0256006322;Цех по производству проката;III;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-63306-2023;Цех по производству проката Рег № ОПО А41-00238-0010 | Заключение экспертизы № 2023/150.ТУ промышленной безопасности
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 830;I;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-962386-2026;для хранения уксусной кислоты поз. Е23/1, зав.№У-07-6254, рег. №105 (Площадка производства АО «ПОЛИЭФ», корпус 830)
0258005638;Сеть газопотребления АО «ПОЛИЭФ», корпус 702;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-911756-2026;GICD-FG-20171, 50-AGICD-FG-20172, 50-AGICD-FG-20173), рег. №1729-702 (Сеть газопотребления АО «ПОЛИЭФ», корпус 702)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 103;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-911782-2026;трубопровод от 2PD-101 в РР-45005 (линия РР-41105), рег. № 2988-103 (Площадка производства АО «ПОЛИЭФ», корпус 103)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 816;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-911815-2026;сооружение Трубопровод усиленных вод (В12), рег. №5356-816 (Площадка производства АО «ПОЛИЭФ», корпус 816)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 105;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-911853-2026;от BV-4403 в 2ТМ-403 (линия ТР-34084-350/250-1S1/P4M), рег.№726-105 (Площадка производства АО «ПОЛИЭФ», корпус 105)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 101;;;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-911829-2026;о Емкость промывочной жидкости поз. 1TD-303, зав. № 5580, рег. № 221 (Площадка производства АО «ПОЛИЭФ», корпус 101)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 202;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-865281-2026;1B CWR 42286, 65 AG1B CWR 52206, 65 AG1B CWR 55208), рег. № 3432 202 (Площадка производства АО «ПОЛИЭФ», корпус 202)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 201;;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-865302-2026;1/2 A/B (линии 15 PS7M PDM 40103, 15 PS7M PDM 40113), рег. № 1589-201(Площадка производства АО «ПОЛИЭФ», корпус 201)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 817;;;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-844475-2026;ть хранения жидкого азота поз. VD 56201-A, зав. № 6675, рег. № 589-Н (Площадка производства АО «ПОЛИЭФ», корпус 817)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 714Б;;;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-813007-2026;Вертикальный напорный отстойник поз. О-1, заказ 57654 №1, рег. №400 (Площадка производства АО «ПОЛИЭФ», корпус 714Б)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 708;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-79806-2023;йство Вентилятор осевой типа PN-604-15G поз. RF58111-3-Е, зав. № б/н (Площадка производства АО «ПОЛИЭФ», корпус 708)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 707;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-79938-2023;ильтр-пресс, типа AUTOMAT 800, поз. ФП-700, зав. № FL00 FL00 С325041 (Площадка производства АО «ПОЛИЭФ», корпус 707)
0258005638;Площадка производства АО «ПОЛИЭФ», корпус 829;;;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-79962-2023;ническое устройство Бурак поз. Е19, зав. № 2 заказ 54680, рег. № 265 (Площадка производства АО «ПОЛИЭФ», корпус 829)
