razdel;adres;centrobezhnost_dokazana;chego_ne_hvataet;chelovek;chem_dokazano;chto_za_data;chto_za_data_cheloveka;data;data_dokazatelstva;data_sobytiya_cheloveka;data_zakluchenia;data_zakupki;direktor;dolzhnost;dostupnost_kontakta;dozvon_est;est;inn;istochnik;istochnik_cheloveka;istochnik_kontakta;kogda_planiruet;kontakt_bez_imeni;kontaktov_vsego;kto;kto_vnes;luchshaya_pochta;lyudej_s_telefonom;lyudej_tehnicheskih;lyudej_vsego;lyudi_podrobno;marki;mashina_dokazana;na_ploshchadke;napravlenie;novost;novost_ssylka;obekt;oborudovanie_iz_bazy;okved;osnovanie_cheloveka;otkuda_rekvizity;planiruet;pochta_cheloveka;pochta_predpriyatiya;pokupaet;pometka;pometki_vse;predpriyatie;prioritet;prioritet_pochemu;proverok_nadzora;proverok_nadzora_2025_2026;region;rol_cheloveka;s_telefonom;sayt;segment;sostoyanie;sostoyaniy;sreda;sreda_dokazana;sreda_mashiny;srok_sluzhby;ssylka;ssylka_na_cheloveka;ssylka_na_istochnik;ssylka_na_kontakt;status_egrul;tehnicheskih_lyudey;tekst;telefon_cheloveka;telefon_predpriyatiya;telefony_predpriyatiya;tip_mashiny;tipy_mashin;v_baze_obzvona;vakansii;vazhnost_pokupki;vid_kontakta;vid_nomera;vnutrenniy_nomer;vodokanal;vodokanal_segment;vyruchka_rub;vyruchka_vodokanala;vyvod_ekspertizy
ФАКТ;;;;;ЭТП ГПБ: организация в выгрузке по нашему предмету;когда мы это увидели;;;;;;;;;;;;0268000188;ЭТП ГПБ;;;;;;;;;;;;;;;;;;;не установлено;;;;;;;;;;;;;;;;;;;;;есть на площадке;;;;среда не названа;;;;;;;;;;;;не установлен;;;;;;;;;;;;
ФАКТ;;;;;план 2220648283 позиция 73, сумма 968 666,67 ₽;когда планируют разместить закупку;;08.2023;;;;;;;;;;0268000188;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;ТВ 80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2f15bf83-70e9-447b-bbc7-27e95155186b_ae8d9e8a-378b-49a6-8481-f848ac6ee31e&infoGuid=2f15bf83-70e9-447b-bbc7-27e95155186b;;;;;;Капитальный ремонт турбокомпрессора ТВ 80-1,6 (1шт.);;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2230715339 позиция 87, сумма 1 516 313,33 ₽;когда планируют разместить закупку;;10.2024;;;;;;;;;;0268000188;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;ТВ 80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=04d36057-8418-4e00-aa5e-5d69811d2b57_5264bb60-ef39-4546-b3b3-e726bca026f0&infoGuid=04d36057-8418-4e00-aa5e-5d69811d2b57;;;;;;выполнение работ по капитальному ремонту турбокомпрессора ТВ 80-1,6 (1 шт.);;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2220648283 позиция 69, сумма 1 262 400,67 ₽;когда планируют разместить закупку;;07.2023;;;;;;;;;;0268000188;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;КВ-3/8;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2f15bf83-70e9-447b-bbc7-27e95155186b_5aefb0f9-664b-409a-9d55-5c0265a91f7d&infoGuid=2f15bf83-70e9-447b-bbc7-27e95155186b;;;;;;Компрессорная установка КВ-3/8 (дизельный компрессор);;;;тип не установлен;;;;;;;;;;;;
ФАКТ;;;;;план 2250838295 позиция 58, сумма 11 667 490,00 ₽;когда планируют разместить закупку;;07.2026;;;;;;;;;;0268000188;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;ТВ80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;планирует;;;;воздух;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=c0a62d22-68a8-4d9a-9e76-316763e04839_f757d3f0-9294-45a1-a507-a35138ea8abe&infoGuid=c0a62d22-68a8-4d9a-9e76-316763e04839;;;;;;Выполнение работ по «Замене шкафов управления воздуходувками ТВ80-1,6 (160 кВт) и силовых шкафов РУ-0,4кВ (инв.№712103) в производственно-вспомогательном здании цеха БОС»;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;процедура 32616233383;дата процедуры;;24.07.2026;;;;;;;;;;0268000188;РТС-тендер;;;;;;;;;;;;;ТВ80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;покупает;;;;воздух;;https://www.rts-tender.ru/poisk/id/l32616233383-1/;;;;;;Выполнение работ по «Замене шкафов управления воздуходувками ТВ80-1,6 (160 кВт) и силовых шкафов РУ-0,4кВ (инв.№712103) в производственно-вспомогательном здании цеха БОС»;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;процедура 32312677258;дата процедуры;;28.08.2023 07:00;;;;;;;;;;0268000188;Росэлторг;;;;;;;;;;;;;ТВ 80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;покупает;;;;среда не названа;;https://www.roseltorg.ru/procedure/32312677258/1;;;;;;Капитальный ремонт турбокомпрессора ТВ 80-1,6 (1шт.);;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;процедура 32414070654;дата процедуры;;22.10.2024 07:00;;;;;;;;;;0268000188;Росэлторг;;;;;;;;;;;;;ТВ 80-1,6;;;;;;машина;;;;;;;;;;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;;;;;;;;покупает;;;;среда не названа;;https://www.roseltorg.ru/procedure/32414070654/1;;;;;;выполнение работ по капитальному ремонту турбокомпрессора ТВ 80-1,6 (1 шт.);;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;процедура 32616233383;дата процедуры;;2026-07-24;;;;;;;;;;0268000188;ЭТП ГПБ;;;;;;;;;;;;;ТВ80-1,6;;;;;;машина;;;;;;;;;;;МУП СТЕРЛИТАМАКВОДОКАНАЛ;;;;;;;;;;покупает;;;;воздух;;https://etpgpb.ru/procedures/etp/1274479-vypolnenie-rabot-po-zamene-shkafov-upravleniya-vozduhoduvkami-tv80-16-160-kvt-i-silovyh-shkafov-ru-04kv-inv-712103-v-proizvodstvenno-vspomogatelnom-zdanii-tseh;;;;;;Выполнение работ по «Замене шкафов управления воздуходувками ТВ80-1,6 (160 кВт) и силовых шкафов РУ-0,4кВ (инв.№712103) в производственно-вспомогательном здании цеха БОС»;;;;центробежная;;;;;;;;;;;;
ФАКТ;;;;;план 2220627918 позиция 25, сумма 3 065 000,00 ₽;когда планируют разместить закупку;;02.2023;;;;;;;;;;2204079002;план закупки 223-ФЗ, ЕИС;;;;;;;;;;;;;ТВ 80-1.6-01.УЗ;;;;;;машина;;;;;;;;;;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКИЕ ПРОМЫШЛЕННЫЕ ВОДЫ""";;;;;;;;;;планировал;;;;среда не названа;;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7_1ddfaa5c-3ba8-4fac-ba67-250cbcf4fa24&infoGuid=daffeaf9-8be9-427d-b02a-9e8b652a7ad7;;;;;;Приобретение турбокомпрессора ТВ 80-1.6-01.УЗ;;;;центробежная;;;;;;;;;;;;
