marka;fakty;sreda;pochemu;uverennost
АКВ-12-III;1;воздух;АКВ в маркировке означает агрегат компрессорный воздушный.;высокая
HE221W;1;воздух;Турбокомпрессор Holset HE221W предназначен для наддува воздухом двигателя внутреннего сгорания.;высокая
K1700-61-2;1;воздух;В контексте прямо указано 'ВОЗДУШНОГО КОМПРЕССОРА K 1700-61-2'.;высокая
ВП-0,9/0,8;1;воздух;В контексте прямо указано 'воздушного компрессора К 1500-62-2', а кислородная станция работает на атмосферном воздухе.;высокая
К-1700-62-2;1;воздух;В контексте прямо указано 'Компрессор воздушный центробежный' и место работы — установка получения кислорода.;высокая
Н-1000-31-2;1;газ;Обозначение Н-1000 характерно для центробежных нагнетателей природного газа.;средняя
КС-201/1;1;газ;Контекст говорит о системе подачи буферного газа в компрессорных агрегатах Siemens на газоперерабатывающем заводе.;высокая
КС-201/2;1;газ;Контекст говорит о системе подачи буферного газа в компрессорных агрегатах Siemens на газоперерабатывающем заводе.;высокая
К64;1;не ясно;Марка «К64» является обозначением водовода и не позволяет определить среду компрессорной машины.;низкая
АНК1Э-65Х21;1;не ясно;Марка АНК1Э — это арматура (фонтанная/нагнетательная), к компрессорному оборудованию отношения не имеет.;низкая
К1ХЛ;1;не ясно;Марка К1ХЛ — это климатическое исполнение арматуры, а не отдельная машина со своей рабочей средой.;низкая
АФК1Э;1;не ясно;Марка АФК1Э — это арматура, к компрессорному оборудованию отношения не имеет.;низкая
RC6B;1;газ;Компрессор RC6B эксплуатируется на площадке газоперерабатывающего завода.;высокая
КС-3/2;1;газ;Контекст говорит об установке центробежных компрессоров на КС-3/2 Лянторского м/р, что характерно для газовой среды.;высокая
2BC4;1;газ;Компрессор Clark 2BC4 эксплуатируется на площадках переработки попутного нефтяного газа.;высокая
С-101В;1;газ;Компрессор Clark 5M8-6 (тех. № С-101В) эксплуатируется на площадках переработки попутного нефтяного газа и дожимной компрессорной станции.;высокая
С-101А;1;газ;Компрессор Clark 5M8-6 (тех. № С-101А) эксплуатируется на площадках переработки попутного нефтяного газа и дожимной компрессорной станции.;высокая
НК-200/370;1;не ясно;Марка НК-200/370 — это насос, а не компрессор, определить его среду из контекста невозможно.;низкая
НЦ-01/1;1;не ясно;Марка НЦ-01/1 — технологическая позиция насоса, для неё среда не указана.;низкая
АСЦЛ-20-24Г-Л-У2;1;не ясно;Марка АСЦЛ-20-24Г — это насос, находящийся на складе метанола, но его точная рабочая среда не указана.;низкая
К-201/Б-4;1;газ;Адсорбер К-201/Б-4 находится в отделении осушки газа.;высокая
К-201/А-1;1;газ;Адсорбер эксплуатируется на объекте компрессорной станции, что подразумевает работу с газом.;средняя
К-201/А-2;1;газ;Адсорбер эксплуатируется на объекте компрессорной станции, что подразумевает работу с газом.;средняя
К-201/А-3;1;газ;Адсорбер эксплуатируется на объекте компрессорной станции, что подразумевает работу с газом.;средняя
К-201/А-4;1;газ;Адсорбер эксплуатируется на объекте компрессорной станции, что подразумевает работу с газом.;средняя
С-102В;1;газ;Компрессор Clark 553B6 эксплуатируется на площадках переработки попутного нефтяного газа.;высокая
С-102А;1;газ;Компрессор Clark 553B6 эксплуатируется на площадках переработки попутного нефтяного газа.;высокая
ВТ-0193.06;1;не ясно;Марка 'ВТ' в контексте внутрипромысловых трубопроводов не является общеизвестным обозначением компрессорной машины.;низкая
К-42;1;не ясно;Марка 'К-42' в контексте внутрипромысловых трубопроводов не является общеизвестным обозначением компрессорной машины.;низкая
ВТ-0042.05М;1;не ясно;Марка 'ВТ' в контексте внутрипромысловых трубопроводов не является общеизвестным обозначением компрессорной машины.;низкая
К-42-Б;1;не ясно;Марка 'К-42-Б' в контексте внутрипромысловых трубопроводов не является общеизвестным обозначением компрессорной машины.;низкая
ТВ80-1,8-01-УЗ;1;воздух;ТВ — это общеизвестное обозначение турбовоздуходувки, а в контексте прямо указано «турбокомпрессора» без упоминания газа.;высокая
ТВ42-1,4М1-01.УЗ;1;воздух;ТВ — это общеизвестное обозначение турбовоздуходувки, а в контексте прямо указано «турбокомпрессора» без упоминания газа.;высокая
КЦ101/2;1;газ;Обозначение 'КЦ' означает компрессор центробежный, а контекст 'нефтегаз' указывает на работу с попутным газом.;средняя
К380-103-3;1;газ;Центробежный компрессор в подразделении 'нефтегаз' используется для сжатия природного или попутного газа.;средняя
КС101/3;1;газ;Обозначение 'КС' в контексте установки переработки попутного нефтяного газа (УППНГ, КССГ) указывает на газовую среду.;средняя
К890-121/1;1;газ;Центробежный компрессор в подразделении 'нефтегаз' используется для сжатия природного или попутного газа.;средняя
К890-121/3;1;газ;Центробежный компрессор в подразделении 'нефтегаз' используется для сжатия природного или попутного газа.;средняя
КЦ-102;1;газ;Компрессор установлен на площадке газоперерабатывающего завода (УПГ), среда однозначно газ.;высокая
А12;1;газ;Нагнетатель в цеху компрессорной станции (КС) предприятия 'Газпром трансгаз' работает на природном газе.;высокая
А14;1;газ;Нагнетатель в цеху компрессорной станции (КС) предприятия 'Газпром трансгаз' работает на природном газе.;высокая
ГTK-10-4;1;газ;ГТК — это газотурбинный компрессор, а в контексте указан газоперекачивающий агрегат и магистральный газопровод.;высокая
ГTK-10;1;газ;ГТК — это газотурбинный компрессор, в контексте указан газоперекачивающий агрегат для магистрального газопровода.;высокая
RF-2BB-36;1;газ;В контексте прямо указано: нагнетатель природного газа типа RF-2BB-36.;высокая
16U16;1;газ;Установлен на компрессорной станции магистральных газопроводов (ЛПУМГ), это нагнетатель природного газа.;высокая
НЦ16/76-1,44;1;газ;НЦ — это нагнетатель центробежный, используется на КС магистральных газопроводов для перекачки газа.;высокая
АА-168;1;газ;Это ротор для центробежного нагнетателя НЦ с газоперекачивающей станции.;высокая
ПТУ-938;1;газ;Это ротор для центробежного нагнетателя НЦ с газоперекачивающей станции.;высокая
НЦ235-21-1;1;газ;НЦ — это нагнетатель центробежный для магистрального транспорта газа на КС 'Газпром трансгаз'.;высокая
ТКА11;1;газ;ТКА — это турбокомпрессорный агрегат на компрессорной станции магистрального газопровода (СОГ КС, ЛПУ МГ).;высокая
ТКА12;1;газ;ТКА — это турбокомпрессорный агрегат на компрессорной станции магистрального газопровода (СОГ КС, ЛПУ МГ).;высокая
ТКА13;1;газ;ТКА — это турбокомпрессорный агрегат на компрессорной станции магистрального газопровода (СОГ КС, ЛПУ МГ).;высокая
Ю9222;1;газ;Инвентарный номер Ю9222 относится к укрытию турбокомпрессора ТК на Южно-Балыкском ГПЗ, перерабатывающем попутный нефтяной газ.;высокая
ТК-901/2;1;газ;Компрессор центробежный 4ГЦ2 на ДКС Южно-Балыкского ГПЗ прямо указан в контексте трубопровода газа отбензиненного.;высокая
Ю9242;1;газ;Инвентарный номер Ю9242 относится к укрытию турбокомпрессора ТК-901/2 на ГПЗ, чья рабочая среда — газ.;высокая
RPA-70;1;газ;Холодильный турбокомпрессор 8 RPA-70 работает в составе установки переработки газа на ГПЗ, сжимая газообразный хладагент.;высокая
Т-102/1;1;газ;Позиция Т-102/1 относится к трубопроводу газа нефтяного на Тюменской компрессорной станции Нижневартовского ГПЗ.;высокая
Е-801;1;газ;КЦ-101 — это компрессорный цех на Белозерном ГПЗ, отводящий дренаж в ёмкость Е-801, рабочая среда — газ.;средняя
31F3099-03;1;газ;Компрессор 3-М-1 установлен на площадке производства бутадиена и изобутилена, то есть сжимает углеводородный газ.;высокая
31F3099-02;1;газ;Компрессор 2-М-1 установлен на той же площадке производства бутадиена, рабочая среда — углеводородный газ.;высокая
К-11;1;воздух;К-11 в контексте заводских цехов (Златоустовский МСК, цех 4) обычно обозначает общезаводской воздушный поршневой или центробежный компрессор.;низкая
СТД-1000;1;воздух;Турбокомпрессор ЦК-135/8 с электродвигателем СТД-1000 является типичным агрегатом для сжатия атмосферного воздуха.;средняя
240НМ2;1;оба;"Дизельный двигатель ЯМЗ 240НМ2 использует турбокомпрессор для наддува воздухом, но сам двигатель сжигает топливо; по контекстному списку комплектующих среда «оба».";низкая
ТГМ-6А;1;оба;Турбокомпрессор ТК 23С-01 на тепловозе ТГМ-6А служит для наддува воздухом дизеля, выхлопные газы которого вращают турбину.;высокая
ТК18В-47;1;оба;Турбокомпрессор ТК18В-47 тепловоза ТГМ-6Д является агрегатом газотурбинного наддува дизеля, работая на выхлопных газах и воздухе.;высокая
