inn;predpriyatie;fakty;sreda;pochemu;uverennost
9702013720;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ЭКСПЛУАТАЦИИ ОБЪЕКТОВ НАЗЕМНОЙ КОСМИЧЕСКОЙ";1;не ясно;В записи упоминаются только турбокомпрессоры без указания рабочей среды;низкая
9704210635;ЧМНГ;1;не ясно;Указан ручной нагнетатель крановой смазки и сведений о сжатии воздуха или газа нет;низкая
9715450519;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ АРГУС""";1;воздух;В контексте прямо указана поставка воздушного турбокомпрессора;высокая
8901016850;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХАРП-ЭНЕРГО-ГАЗ""";1;не ясно;В контексте указаны только турбокомпрессоры без уточнения марки оборудования и сжимаемой среды.;низкая
8901017607;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;1;воздух;Турбокомпрессор ДВС предназначен для подачи сжатого атмосферного воздуха в цилиндры двигателя.;средняя
8901025333;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ПРОТИВОПОЖАРНАЯ СЛУЖБА ЯМАЛО-НЕНЕ";1;воздух;Турбокомпрессор предназначен для двигателя транспортного средства ТРЭКОЛ и сжимает атмосферный воздух.;средняя
8901030855;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЛЕХАРДЭНЕРГО""";1;воздух;Турбокомпрессор марки Cummins предназначен для наддува атмосферного воздуха в двигатель.;средняя
8901039537;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ОБСКОЙ";1;не ясно;В тексте отсутствует информация о назначении, марках компрессоров и рабочей среде.;низкая
8904002359;"АО ""АРКТИКГАЗ""";1;не ясно;В контексте указана только поставка ЗИП для центробежных компрессоров без уточнения сжимаемого газа или марки.;низкая
8904006963;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АВТОМОБИЛЬНОГО ТРАНСПОРТА МУНИЦИПА;1;воздух;Турбокомпрессор для автотранспорта используется для подавления и наддува атмосферного воздуха в двигатели.;средняя
8912001990;"ОАО ""Севернефтегазпром""";1;не ясно;В наименовании устройства не указаны модель компрессора и его рабочая среда.;низкая
9102057281;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ КРЫМ «ВОДА КРЫМА»;1;воздух;В тексте прямо указано, что турбокомпрессор является воздушным.;высокая
9102170826;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ КРЫМ ""КРЫМСКОЕ МЕЖОТР";1;не ясно;В контексте отсутствует информация о сжимаемой среде и типе турбокомпрессора.;низкая
7810442793;«ГСП-Механизация»;1;воздух;Турбокомпрессор двигателя CAT сжимает атмосферный воздух.;высокая
7810474820;ГСП-СЕРВИС;1;воздух;Автомобильный турбокомпрессор Volkswagen сжимает атмосферный воздух для наддува двигателя.;высокая
7839395419;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";1;не ясно;Обозначение ТК-2 не позволяет однозначно определить сжимаемую среду.;низкая
7901111534;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНС;1;воздух;Турбокомпрессор автотракторного двигателя ЯМЗ подает сжатый атмосферный воздух в цилиндры.;высокая
8604048754;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГАНСКТРАНСТЕПЛОСЕРВИС""";1;воздух;Турбокомпрессор серии TPS предназначен для наддува двигателей атмосферным воздухом.;высокая
8606013108;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";1;не ясно;В записи отсутствуют марка турбокомпрессора и указание на конкретный технологический процесс.;низкая
8703000993;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА БИЛИБИНСКОГО;1;воздух;Турбокомпрессор дизель-генератора обеспечивает подачу воздуха в двигатель.;средняя
8703010889;Стенмикс ОКО;1;воздух;Турбокомпрессор двигателя погрузочно-доставочной машины сжимает атмосферный воздух.;средняя
8801011136;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ЭВЕНКИЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ""ИЛИМПИЙС";1;воздух;Турбокомпрессор для двигателей Caterpillar 3512 и 3516 сжимает атмосферный воздух.;высокая
8901014564;"ООО ""ЯРГЕО""";1;не ясно;В описании отсутствует марка центробежного компрессора и тип сжимаемого газа.;низкая
7718925407;"ООО ""СМУ-12 МОСМЕТРОСТРОЯ""";1;не ясно;Недостаточно данных о марке машины и рабочей среде.;низкая
7718957575;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬНЕГОРСКИЙ ГОК""";1;не ясно;По записи невозможно определить модель оборудования и сжимаемую среду.;низкая
7718965329;Государственное бюджетное учреждение города Москвы «Жилищник района Бо;1;воздух;Турбокомпрессор Cummins 4045055 предназначен для подачи воздуха наддува в двигатель.;высокая
7719841157;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМАТИЗАЦИЯСИСТЕМЫТЕХНОЛОГ";1;не ясно;В наименовании отсутствуют данные о модели машины и рабочей среде.;низкая
7719895794;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА ИЗ;1;воздух;Турбокомпрессор двигателя сжимает атмосферный воздух для системы питания ДВС.;средняя
7720800660;Государственное бюджетное учреждение города Москвы «Жилищник района Ко;1;воздух;Турбокомпрессор двигателя нагнетает атмосферный воздух в цилиндры ДВС.;средняя
7724654924;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТГРУПП-ЭНЕРДЖИ""";1;воздух;Турбокомпрессоры ABB служат для подачи атмосферного воздуха наддува в двигатели.;средняя
7724790726;СпецПромПоставка (Москва);1;воздух;Турбокомпрессор автомобильного двигателя Фольксваген сжимает атмосферный воздух.;средняя
7725727149;АКЦИОНЕРНОЕ ОБЩЕСТВО «СИТИМАТИК»;1;воздух;Турбокомпрессор двигателя спецтехники BOMAG предназначен для сжатия атмосферного воздуха.;средняя
7725815123;"ГБУ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""";1;не ясно;Запись не содержит конкретной марки оборудования и сведений о среде.;низкая
7731143889;Государственное бюджетное учреждение города Москвы Футбольный клуб «Ст;1;воздух;Автомобильный турбокомпрессор 28200-4A480 сжимает атмосферный воздух для двигателя.;высокая
