inn;predpriyatie;chto_u_nih;moy_yarlyk;citata;ssylka;pochemu
5053005918;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";центробежная | не установлен | центробежный насос, не компре / воздух;вихревая или роторная воздуходувка, принцип не центробежный;мониторинг цен в электронной форме на воздуходувки вихревые;https://www.roseltorg.ru/procedure/ATOM17092500149/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5038011064;Муниципальное автономное общеобразовательное учреждение гимназия «Тара;центробежная / воздух;садовый инструмент, не машина;Поставка товаров (воздуходувки);https://zakupki.mos.ru/need/5719753;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5029100455;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА ДЛЯ ОБУЧ";центробежная / воздух;садовый инструмент, не машина;Закупка воздуходувки (корпус 1);https://zakupki.mos.ru/need/5051533;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7816157457;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4619495;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5948016787;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕМУЛЛИНСК";центробежная / воздух;садовый инструмент, не машина;Воздуходувка, мойка высокого давления;https://zakupki.mos.ru/auction/10204158;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7817006891;АДМИНИСТРАЦИЯ КОЛПИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;центробежная | не установлен / воздух;садовый инструмент, не машина;84.11.22;ссылки нет: факт «организация есть в выгрузке площадки», отдельной страницы у него не существует;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6827002774;АДМИНИСТРАЦИЯ ГОРОДА МИЧУРИНСКА ТАМБОВСКОЙ ОБЛАСТИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки - измельчителя;https://www.roseltorg.ru/procedure/0164300012723000085/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7813130369;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕО;центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4302397;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7813046452;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""МУЗ";центробежная | поршневая или винтовая | тип не установлен |  / воздух;садовый инструмент, не машина;Выполнение работ по ремонту ручного бензоинструмента воздуходувка Stihl GB86 и Champion GBV 3275 для СПб ГБУК МДК ЦПКиО им. С.М. Кирова;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=fe0503e9-5617-41db-91a8-5f3411b1d372_e0253bf8-db99-47f5-8a7c-0b4df36c3196&infoGuid=fe0503e9-5617-41db-91a8-5f3411b1d372;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5024028815;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ИЛЬИНСКАЯ СРЕДН;центробежная | не установлен | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Поставка триммера и воздуходувки;https://zakupki.mos.ru/need/4725480;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7704177310;Казенное предприятие города Москвы «Выставка достижений народного хозя;центробежная | тип не установлен | не установлен | садовый и / воздух;садовый инструмент, не машина;"Поставка электроинструмента (аккумуляторные ранцевые воздуходувки) для нужд КП ""ВДНХ"".";https://zakupki.mos.ru/tender/30621464;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5020029409;МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ - ГИМНАЗИЯ №2;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5162855;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7826018029;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗ;центробежная | не установлен | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Поставка запасных частей для воздуходувки STIHL BG86 для нужд ГБУ ДО СШОР № 1 Адмиралтейского района в 2025 году;https://zakupki.mos.ru/need/5435020;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7743104059;Государственное бюджетное учреждение города Москвы «Жилищник Молжанино;центробежная | центробежный насос, не компрессор / воздух;садовый инструмент, не машина;Воздуходувка Makita EB7660TH;https://www.roseltorg.ru/procedure/SP9297371/3;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5034043562;"Муниципальное бюджетное учреждение культуры ""Ильинский социально-культ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки для содержания хоккейной коробки;https://zakupki.mos.ru/need/4733318;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5906034209;"ООО ""МГМ"" (ИНН 5906034209)";центробежная | поршневая или винтовая | тип не установлен |  / воздух;центробежный насос, не компрессор;Запрос цен на центробежный насос 1Д 800 – 56 (id918360);https://www.tender.pro/api/tender/918360/view_public;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7801136126;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка садовой техники: кустореза и воздуходувки;https://zakupki.mos.ru/need/5273978;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7701113894;Государственное бюджетное образовательное учреждение дополнительного о;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Воздуходувка Makita DUB362Z;https://zakupki.mos.ru/auction/9795088;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5009049056;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ДОМОДЕДОВО ""ЦЕНТР";центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Приобретение оборудования и инвентаря для плоскостных сооружений (воздуходувка);https://zakupki.mos.ru/need/89845;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5049012260;"МБОУ ""СОШ № 4 Г. ШАТУРЫ""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4921157;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7715037562;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка YOMI CF-01 для компьютера аккумуляторная, мини пылесос для автомобиля 6000 mAh;https://zakupki.mos.ru/auction/10183743;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2902057930;"АО ""СПО ""АРКТИКА""";центробежная | не установлен / воздух;пневмонагнетатель или растворонасос, не машина;смеситель-пневмонагнетатель СО-241Н;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=8600c542-f4ab-41f7-82d8-7f4df69972f0_fb948d8a-1444-4119-afcb-150891099233&infoGuid=8600c542-f4ab-41f7-82d8-7f4df69972f0;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5050055371;"МКУ ЩМР МО ""ХТУ ПО СОЦИАЛЬНОЙ СФЕРЕ""";центробежная / воздух;садовый инструмент, не машина;Поставка бензинового триммера и воздуходувки;https://zakupki.mos.ru/need/4059598;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7822004956;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СПОРТИВНАЯ ШК;центробежная / воздух;садовый инструмент, не машина;Поставка триммера и воздуходувки для нужд СПБ ГБУ СШОРСВС им. В.Ф.Краевского в 2022 году;https://zakupki.mos.ru/need/3944668;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5042055628;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/6026107;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6730012070;АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА;центробежная | не установлен / воздух;садовый инструмент, не машина;84.11.35;ссылки нет: факт «организация есть в выгрузке площадки», отдельной страницы у него не существует;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
0274019476;ГБУЗ РКБ им.Г.Г.Куватова;центробежная | тип не установлен | не установлен | услуга ил / воздух;услуга или чужая техника, не наша машина;Поставка компрессорного масла для компрессорной станции AIRMILS HOSPITAIR G MVA8 SM12 и Kaeser SM13;https://www.tektorg.ru/44-fz/procedures/742509;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7734519995;Государственное бюджетное учреждение культуры города Москвы «Московски;центробежная / воздух;садовый инструмент, не машина;"Воздуходувка, ""АэроМир"" 580Вт";https://zakupki.mos.ru/auction/10210075;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7715488558;Государственное бюджетное учреждение города Москвы «Жилищник района От;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Воздуходувка GREENWORKS GD60ABK4 60V;https://www.roseltorg.ru/procedure/SP9774445/2;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
4603005648;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКПРОДУКТ""";центробежная / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Поставка воздуходувки роторной для нужд ООО «КурскПродукт»;https://www.roseltorg.ru/procedure/32413280495/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7125026705;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЕРВИС""";центробежная | не установлен / воздух;садовый инструмент, не машина;Оказание услуг по ремонту агрегатов бензинового триммера и воздуходувки;https://zakupki.mos.ru/need/4532100;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7826719867;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://www.roseltorg.ru/procedure/0372200268723000009/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7816158161;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/6081134;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5075027030;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОХОРОННОЕ ДЕЛО""";центробежная / воздух;садовый инструмент, не машина;Поставка пил, триммера и воздуходувки;https://zakupki.mos.ru/need/5395243;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
0276947078;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОРЗЕЛЕНХОЗ"" ГОРОДСКОГО ОКРУГА ГОР";центробежная / воздух;садовый инструмент, не машина;Поставка мотокосы, воздуходувки;https://www.roseltorg.ru/procedure/0301600005222000055/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5051005670;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | садовый инструмент, не машина | центробежный  / воздух;центробежный насос, не компрессор;Насос центробежный насос IML Big Discovery DY350T-M Самовсасывающий для бассейна с префильтром;https://zakupki.mos.ru/auction/9684082;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
