inn;predpriyatie;pometka;tipy_mashin;sreda;marki;sostoyaniy;vyvod_ekspertizy;data_zakluchenia;vyruchka_rub;chistaya_pribyl;ssch;ball_prioriteta;okved;oborudovanie_po_okved;region;adres;status_egrul;direktor;sayt;pochta;telefony_iz_bazy;telefony_predpriyatiya;lyudej_v_baze;tehnicheskih;lyudej_iz_faylov;tehnicheskie_lyudi;lyudi_iz_faylov;proverok_nadzora;v_baze_obzvona;segment;novost;novost_ssylka;chego_ne_hvataet;faktov_centrobezhnyh;sostoyaniya_po_faktam;ssylki_na_istochniki;citaty_dokazatelstv;daty_faktov;marki_iz_faktov;sreda_po_faktam;moy_prioritet;vazhnost_pokupki;dostupnost_kontakta;prioritet_pochemu;lyudi_moi_vsego;lyudi_moi_podrobno
2124014112;ГУП ЧУВАШСКОЙ РЕСПУБЛИКИ БОС МИНСТРОЯ ЧУВАШИИ;покупали ранее;центробежная | тип не установлен | не установлен | садовый инструмент, не машина;воздух;BLK 50 | ERB-100 | АИР 30;1;;;1100000000.0;-98 млн руб.;;83;37.00 Сбор и обработка сточных вод;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Гене;Чувашская Республика - Чувашия;429965, Чувашская Республика - Чувашия, г. о. город Новочебоксарск, г. Новочебоксарск, ул.;Действующая компания;Николаев Сергей Георгиевич;http://bos21.ru;bospc29@mail.ru;+7 835 274-13-58 | +7 835 274-34-20 | +7 835 274-34-80 | +7 883 527-41-35 | +7 962 599-18-30 | +7 967 470-58-51;+7 835 274-34-20 | +7 835 274-34-80 | +7 835 274-13-58 | +7 967 470-58;0;0;0;;;;1;;;;телефон предприятия, сайт, технический человек;5;планировал | покупает;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=f3ac505a-53e8-4a80-a807-df24bfcfdd41_d14cdcd6-9765-4fe9-9ab3-802ef6104b4b&infoGuid=f3ac505a-53e8-4a80-a807-df24bfcfdd41 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=83791130-f32d-4b20-b90a-c6b00489158e_4aac89bc-80be-4d24-acc7-f4d23704f659&infoGuid=83791130-f32d-4b20-b90a-c6b00489158e | https://etpgpb.ru/procedures/price_request/679189-postavka-vihrevoy-promyshlennoy-vozduhoduvki/ | https://etpgpb.ru/procedures/price_request/683454-postavka-vozduhoduvki-ruts-erb-100-s-dvigatelem-air-30-kvt-ili;"план 2240793897 позиция 132, сумма 300 000,00 ₽ ;; процедура 679189 ;; процедура 683454 ;; процедура 650541";05.2025 | 2024-08-14 | 2024-10-23 | 2024-11-02;ERB-100 | АИР 30;воздух;810;81;0;важность:покупают +40 | важность:воздух +25 | важность:доказательство свежее +10 | важность:крупное предприятие +6;0;
4223057424;"ООО ""ОФ ""Коксовая""";имеют;центробежная | поршневая или винтовая | тип не установлен | не установлен;воздух;GM-130L | GM-150S | HDP-2,6М | ML75 | PTD 306 | А68-02714 | ВВН 2-50 | ГИСЛ 62У-1;2;соответствует;30.01.2024;;;;;;;;;;;of-k.ru;koks.info@of-k.ru;8(3846)67-02-53 | 8-903-994-13-38;;1;0;1;;Бойко Татьяна Сергеевна (Управляющий тендером);5;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;13;есть;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-671434-2026 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-23037-2024 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-08321-2025 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-04488-2017 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07657-2018 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-14648-2020 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-33542-2019 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-01655-2022 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-02555-2024 | https://monitor-pb.ru/conclusion/68-%D0%A;"заключение ЭПБ № 42-ТУ-671434-2026 ;; заключение ЭПБ № 68-ТУ-23037-2024 ;; заключение ЭПБ № 68-ТУ-08321-2025 ;; заключение ЭПБ № 68-ТУ-04488-2017 ;; заключение ЭПБ № 68-ТУ-07657-2018 ;; заключение ЭПБ № 68-ТУ-14648-2020 ;; заключение ЭПБ № 68-ТУ-33542-2019 ;; заключение ЭПБ № 68-ТУ-01655-2022 ;; заключение ЭПБ № 68-ТУ-02555-2024 ;; заключение ЭПБ № 68-ТУ-23221-2022 ;; заключение ЭПБ № 68-ТУ-05899-2019 ;; заключение ЭПБ № 68-ТУ-01862-2021 ;; заключение ЭПБ № 68-ТУ-53207-2023";02.02.2021 | 03.02.2026 | 06.03.2017 | 07.07.2020 | 13.07.2022 | 17.02.2023 | 18.03.2025 | 19.12.2019 | 22.03.2019 | 25.;GM-130L | ЭШ-6380 | А68-02714 | HDP-2,6М | GM-150S | ШН-250-34 | А68-02714 | GM-130L | GM-150S | ЭО-6С | ГИСЛ 62У-1 | GM-130L | GM-150S | ДО 080 | ВВН 2-50 | HDP-2,6М | GM-150S | PTD 306 | ШН-250-34 |;воздух;805;80;5;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:доказательство свежее +10 | доступность:мобильный номер (учтён;1;Бойко Татьяна Сергеевна | Управляющий тендером | 8(3846)67-02-53 | 8-903-994-13-38 | снабжение | Tender.pro
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";имеют;центробежная | тип не установлен | не установлен | паровая турбина, не компрессо;воздух;VDA 358 | А-20 | АНГА-1700 | В3800В/10СТ | ВОК-79.2 | К-165 | К-172 | К-19;1;не в полной мере | не соответствует | соответствует;31.10.2023;770300000000;;;52;24.10.3;Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции ;Вологодская;Вологодская обл, г Череповец, ул Мира, д 30;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ МЕНЕДЖМЕНТ""";severstal.com;zakaz@severstal.com;+7 (800) 505-31-75 | +74957754951 | +74959267766 | +78202530880 | 84704168000;"[""+7 (8202) 53-09-00"", ""+7 (8202) 53-09-15 (факс)"", ""8 800 200 69 39"",";1;0;0;;;186;1;новостные;;;технический человек;25;есть;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%9F-13804-2022 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-05445-2025 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00858-2025 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00496-2017 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00500-2017 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00503-2017 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-25440-2024 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-17576-2020 | https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00739-2024 | https://monitor-pb.ru/conclusion/28-%D0%A2;"заключение ЭПБ № 28-ТП-13804-2022 ;; заключение ЭПБ № 28-ТУ-05445-2025 ;; заключение ЭПБ № 28-ТУ-00858-2025 ;; заключение ЭПБ № 28-ТУ-00496-2017 ;; заключение ЭПБ № 28-ТУ-00500-2017 ;; заключение ЭПБ № 28-ТУ-00503-2017 ;; заключение ЭПБ № 28-ТУ-25440-2024 ;; заключение ЭПБ № 28-ТУ-17576-2020 ;; заключение ЭПБ № 28-ТУ-00739-2024 ;; заключение ЭПБ № 28-ТУ-21130-2021 ;; заключение ЭПБ № 28-ТУ-21131-2021 ;; заключение ЭПБ № 28-ТУ-01390-2021 ;; заключение ЭПБ № 28-ТУ-01392-2021 ;; заключение ЭПБ № 28";01.02.2021 | 03.06.2025 | 04.08.2016 | 05.08.2022 | 09.01.2025 | 12.11.2024 | 13.12.2021 | 14.03.2018 | 14.10.2022 | 15.;КТК-12,5/35, | К-19 | К-41;воздух | среда не названа;800;80;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:доказательство свежее +10;0;
3811185573;"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";имеют;центробежная | поршневая или винтовая | тип не установлен;воздух;21А280-7-3 | 2А110-7-2 | А280 | М6/1, | М6/2, | М6/3, | М6/4,;1;соответствует;31.01.2024;;;;;;;;;;;yantacom.ru;up@yanta.info;;;0;0;0;;;84;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;2;есть;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01032-2024 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01033-2024;"заключение ЭПБ № 67-ТУ-01032-2024 ;; заключение ЭПБ № 67-ТУ-01033-2024";31.01.2024;;воздух;800;80;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:доказательство свежее +10;0;
4632001366;"ОАО ""Курскхлеб""";имеют;центробежная;воздух;;1;соответствует;03.04.2024;;;;;;;;;;;kurskhleb.ru;kurskhleb@mail.ru;;;0;0;0;;;8;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;1;есть;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-03882-2024;заключение ЭПБ № 07-ТУ-03882-2024;03.04.2024;;воздух;800;80;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:доказательство свежее +10;0;
5404037541;"ООО  ""ГОФ Анжерская""";имеют;центробежная | вентилятор или дымосос;воздух;BB 68C | RDH 710 | А60-07553 | ВД-12,5 | ВДН-12,5 | ВУ 3.1 | ВУ 3.2 | ТВ-80-1,6;1;соответствует;29.05.2025;;;;;;;;;;;;gof16@mail.ru;;;0;0;0;;;4;нет;;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владел;5;есть;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15278-2024 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15353-2025 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-09983-2019 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-56107-2023 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-06221-2021;"заключение ЭПБ № 68-ТУ-15278-2024 ;; заключение ЭПБ № 68-ТУ-15353-2025 ;; заключение ЭПБ № 68-ТУ-09983-2019 ;; заключение ЭПБ № 68-ТУ-56107-2023 ;; заключение ЭПБ № 68-ТУ-06221-2021";20.03.2023 | 21.05.2019 | 23.05.2024 | 25.03.2021 | 29.05.2025;RDH 710 | BB 68C | ЦН-11 | А60-07553 | ТВ-80-1,6 | ВДН-12,5 | Ц 4-70 | ВУ 3.1 | ТВ-80-1,6 | ВД-12,5 | Ц4-70 | ВУ 3.1;воздух;800;80;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:доказательство свежее +10;0;
2124009521;"ПАО ""ХИМПРОМ""";имеют;центробежная | центробежная по серии | поршневая или винтовая | тип не установле;воздух;205ГП 30/8 | 205ГП 30/80 | 205ГП-30/8 | 205ГП30/8 | 205ГП6/18 | 22ФУ-200 | 2ГМ4 | 2ГМ4-15/25;2;соответствует;31.10.2017;13500000000.0;847 млн руб.;;57;20.13 Производство прочих основных неорганических химических веществ;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Гене;Чувашская Республика - Чувашия;429965, Чувашская Республика - Чувашия, г. Новочебоксарск, ул. Промышленная, д. 101;Действующая компания;;himprom.com;himprom@himprom.com;(8352) 73 57 58 | (8352) 73-50-59 | (8352) 73-51-22 | (8352) 73-51-23 | (8352) 73-51-32 | (8352) 73-51-37;+7 835 273-55-55 | +7 835 273-55-73 | +7 835 273-53-90 | +7 835 274-02;99;26;86;Молостовкин Сергей Юрьевич (Консультации по техническим вопросам по телефону) | Журавлев Евгений Владимирович (Консультации по техническим вопросам, доб. 67-39) | Алексеев Даниил Валерьевич (Консультации по техническим вопросам по телефону) | Никифоров Виктор Иванович (Консультации по техническим вопросам) | Коморная Наталья Алексеевна (Контактное лицо по техническим вопросам: Коморная Наталья Алексеевна) | Кудряшова Лариса Вячеславовна (эксперт отдела технического надзора, СУН);Сергеева Оксана Анатольевна (ведущий инженер ТОиР по теплотехнике ОТО и Р ЭО и КИП и А | ведущий специалист по теплотехнике ОТО и Р ЭО и КИП и А) | Иванов Александр Олегович (начальник отдела технического обслуживания и ремонта энергооборудования и КИП и А) | Кудряшова Лариса Вячеславовна (ведущий инженер Сектора ТН ОГМ | начальник отдела технического обслуживания и ремонта энергооборудования и КИП и А | эксперт отдела технического надзора | эксперт отдела технического надзора, СУН) | Громов Александр Петрович (менеджер проекта) | Матвеев Николай Сергеевич (Эксперт ОТОиРТО | менеджер проекта) | Лудин Олег Александрович (ведущий инженер ТОиР по компрессорному оборудованию | ведущий специалист по сервисному обслуживанию | начальник отдела организации сервисного ремонта);45;1;новостные;строительство метанолового завода мощностью 1 млн тонн в год;https://vk.com/wall-163528332_537;;98;есть | покупает;https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-286551-2023 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-286552-2023 | https://monitor-pb.ru/conclusion/21-%D0%A2%D0%9F-852856-2026 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-287973-2023 | https://monitor-pb.ru/conclusion/21-%D0%A2%D0%A3-815445-2026 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-287979-2023 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-287980-2023 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-03518-2021 | https://monitor-pb.ru/conclusion/44-%D0%A2%D0%A3-03519-2021 | https://monitor-pb.ru/conclusion/44;"заключение ЭПБ № 44-ТУ-286551-2023 ;; заключение ЭПБ № 44-ТУ-286552-2023 ;; заключение ЭПБ № 21-ТП-852856-2026 ;; заключение ЭПБ № 44-ТУ-287973-2023 ;; заключение ЭПБ № 21-ТУ-815445-2026 ;; заключение ЭПБ № 44-ТУ-287979-2023 ;; заключение ЭПБ № 44-ТУ-287980-2023 ;; заключение ЭПБ № 44-ТУ-03518-2021 ;; заключение ЭПБ № 44-ТУ-03519-2021 ;; заключение ЭПБ № 44-ТУ-12914-2017 ;; заключение ЭПБ № 44-ТУ-12926-2017 ;; заключение ЭПБ № 44-ТУ-12934-2017 ;; заключение ЭПБ № 44-ТУ-12949-2017 ;; процедура CO";01.11.2024 | 01.12.2020 | 02.03.2023 | 02.05.2023 | 02.11.2024 | 03.06.2024 | 03.09.2025 | 03.10.2025 | 04.05.2022 | 04.;К-905-61-1 | ЦК-135/8 | КТК-12,5/35 | КТК12,5/35 | К-905 | КТК 12.5/35 | КТК 12,5/35 | К-905 | ЦК-135/8 | КТК12,5 | К-19 | И50А | И-20А | ТК18Н-02;воздух | газ или иная среда | среда не названа;780;71;70;важность:покупают +40 | важность:воздух +25 | важность:крупное предприятие +6 | доступность:техническая роль +25 | доступность:мобильный номер (учтён ;86;"Сергеева Оксана Анатольевна | ведущий инженер ТОиР по теплотехнике ОТО | 8-960-314-72-92 | техническая | Tender.pro ;; Иванов Александр Олегович | начальник отдела технического обслуживан | 73-55-55 (62-41) | 8-937-390-40-13 | техническая | Tender.pro ;; Кудряшова Лариса Вячеславовна | ведущий инженер Сектора ТН ОГМ | начальн | (8352) 73-55-49 | 8-909-304-56-55 | техническая | Tender.pro ;; Громов Александр Петрович | менеджер проекта | +7(8352) 73-67-03 | +7(908) 300-31-32 | техническая | Tender.pro ;; Матвеев Николай Сергеевич | Эксперт ОТОиРТО | менеджер проекта | +7 (8352) 73-55-55 | +7 (8352) 73-55-55 доб. 65-54 | +7 (958) 679-80-07 | +7(8352) 73-63-34 | +7(8352) 73-63-34 (доб. 6554) | "
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""";имеют;центробежная | центробежная по серии;воздух;12М1-В1.У2-Н, | ЗТВ-150-1,12, | К 250-61-5, | К-250-6-61-5 | ТГ 150-1,12, | ЦНВ 800/1,6,;1;соответствует;29.12.2022;7700000000.0;115 млн руб.;254 человека +12;25;20.13 Производство прочих основных неорганических химических веществ;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода ;Республика Татарстан;423570, Республика Татарстан, м. р-н Нижнекамский, г. п. город Нижнекамск, г. Нижнекамск, ;Действующая компания;;nktu.tatneft.ru;nktu@nktu.ru;+7 855 524-01-11 | +7 855 524-01-74 | +7 855 524-01-91 | +7 855 534-02-60 | +7 855 549-73-42;+7 855 534-02-60 | +7 855 524-01-11 | +7 855 524-01-91 | +7 855 524-01;0;0;0;;;7;1;;;;технический человек;80;есть;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-317527-2023 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02090-2015 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-27668-2020 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-317509-2023 | https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-72808-2025 | https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-72817-2025 | https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-72826-2025 | https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-72845-2025 | https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-72887-2025 | https://monitor-pb.ru/conclusion/16-%D0%;"заключение ЭПБ № 43-ТУ-317527-2023 ;; заключение ЭПБ № 43-ТУ-02090-2015 ;; заключение ЭПБ № 53-ТУ-27668-2020 ;; заключение ЭПБ № 43-ТУ-317509-2023 ;; заключение ЭПБ № 16-ТУ-72808-2025 ;; заключение ЭПБ № 16-ТУ-72817-2025 ;; заключение ЭПБ № 16-ТУ-72826-2025 ;; заключение ЭПБ № 16-ТУ-72845-2025 ;; заключение ЭПБ № 16-ТУ-72887-2025 ;; заключение ЭПБ № 16-ТУ-72963-2025 ;; заключение ЭПБ № 16-ТУ-73062-2025 ;; заключение ЭПБ № 16-ТУ-73088-2025 ;; заключение ЭПБ № 16-ТУ-73307-2025 ;; заключение ЭПБ № ";03.02.2023 | 07.12.2020 | 09.01.2023 | 09.02.2023 | 09.04.2015 | 13.03.2019 | 14.07.2025 | 15.02.2023 | 15.03.2019 | 15.;К-250-6-61-5 | К 250-61-5, | ЦНВ 800/1,6, | ЗТВ-150-1,12, | ТГ 150-1,12, | 12М1-В1.У2-Н,;воздух | среда не названа;760;76;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:крупное предприятие +6;0;
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";покупали ранее;центробежная | тип не установлен | не установлен;воздух;1Г 22-80-2В | ВК-12М | ТВ 300 | ТВ 300-1,6М | ТВ-175-1,6 | ТВ-300 | ТВ-300-1,6 | ТВ-300-1,6М;2;;;3300000000.0;-195,9 млн руб.;;57;37.00 Сбор и обработка сточных вод;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода ;Красноярский край;663302, Красноярский край, г. о. город Норильск, г. Норильск, ул. Нансена, д. 18А;Действующая компания;Борисевич Евгений Николаевич;http://mupkosnorilsk.ru;+lev1909@rambler.ru;+7 391 922-48-42 | +7 391 924-48-42 | +7 391 928-48-82 | +7 391 934-01-04 | +7 391 934-02-40 | +7 913 526-76-93;+7 391 924-48-42 | +7 391 922-48-42 | +7 391 934-02-40 | +7 391 928-48;1;0;0;;;;1;;;;телефон предприятия, сайт;11;планировал | планирует | покупает;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=1c59debb-7bce-49a0-919f-cb263e959249_dd255896-11e0-448f-98c3-60aee708eda6&infoGuid=1c59debb-7bce-49a0-919f-cb263e959249 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=999f9278-bda7-4c2a-aa2f-b15b99ede3de_b0d5e309-b0b0-4bc0-90a2-4d59ff53a14d&infoGuid=999f9278-bda7-4c2a-aa2f-b15b99ede3de | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=38967ba4-fad1-42f1-96e8-3dc1ff7fd9df_0dc8fc82-a419-4414-832a-50943fe53612&infoGuid=38967ba4-fad1-42f1-96e8-3dc1ff7fd9df | https://zakupki;"план 2190401144 позиция 83, сумма 1 245 206,35 ₽ ;; план 2180328881 позиция 233, сумма 1 245 206,35 ₽ ;; план 2200474948 позиция 48, сумма 1 015 862,10 ₽ ;; план 2190401144 позиция 336, сумма 1 015 862,10 ₽ ;; план 2230733910 позиция 52, сумма 708 526,81 ₽ ;; план 2220643668 позиция 276, сумма 708 526,81 ₽ ;; план 2230733910 позиция 89, сумма 718 463,27 ₽ ;; план 2220643668 позиция 442, сумма 718 463,27 ₽ ;; план 2250860929 позиция 342, сумма 619 047,62 ₽ ;; план 2250860929 позиция 368, сумма 8 ";04.2023 | 06.2026 | 07.2026 | 10.2023 | 11.2019 | 11.2020 | 24.07.2026;ТВ 300 | 1Г 22-80-2В | ТВ-300 | ВК-12М | ТВ 300-1,6М | ТВ-300-1,6М | ТВ-175-1,6 | ТВ-300-1,6;воздух | среда не названа;760;76;0;важность:планируют покупать +35 | важность:воздух +25 | важность:доказательство свежее +10 | важность:крупное предприятие +6;0;
4205072099;"ООО ""ХИМПРОМ""";имеют;центробежная | центробежный насос, не компрессор;воздух;А1000У-0,2 | А1000У-0.2;1;не в полной мере | соответствует;30.11.2021;3200000000.0;25,6 млн руб.;;83;20.13 Производство прочих основных неорганических химических веществ;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Рентген-детекторы и рен;Кемеровская область - Кузбасс;650021, Кемеровская область - Кузбасс, г. Кемерово, ул. 1-я Стахановская, д. 35, офис 215;Действующая компания;;http://himprom42.ru | http://extream.ru;shitikova.e@sibhimprom.ru | info@himprom42.ru | kemhimprom@yandex.ru | info@sibhimprom.ru;;+7 384 257-05-52 | +7 385 257-05-52 | +7 384 236-47-34 | +7 905 968-83;0;0;0;;;19;1;;;;телефон предприятия, сайт, технический человек;6;есть;https://monitor-pb.ru/conclusion/42-%D0%97%D0%A1-516177-2025 | https://monitor-pb.ru/conclusion/42-%D0%97%D0%A1-513885-2025 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-00728-2018 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-00735-2018 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-11709-2022 | https://monitor-pb.ru/conclusion/68-%D0%97%D0%A1-11708-2022;"заключение ЭПБ № 42-ЗС-516177-2025 ;; заключение ЭПБ № 42-ЗС-513885-2025 ;; заключение ЭПБ № 68-ТУ-00728-2018 ;; заключение ЭПБ № 68-ТУ-00735-2018 ;; заключение ЭПБ № 68-ТУ-11709-2022 ;; заключение ЭПБ № 68-ЗС-11708-2022";02.12.2025 | 06.04.2022 | 19.01.2018;;воздух;760;76;0;важность:срок службы истёк +30 | важность:воздух +25 | важность:уже есть +15 | важность:крупное предприятие +6;0;
