inn;predpriyatie;razryad;pochemu;tip_mashiny;sreda;kak_uznali_sredu;marki;citata;chem_dokazano;ssylka_na_istochnik;sostoyanie;strok_faktov;lyudej_u_menya
7712025390;АО ГИПРОКИСЛОРОД;A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;"Услуги ТО, ШМР и ПНР центробежных компрессоров CENTAC 5СПС800МХ5 на проекте ""Строительство станции разделения воздуха на базе ВРУ КдАдАрж-14/14"" г. Тула";процедура ГП804321;https://etpgpb.ru/procedures/etp/148286-uslugi-to-shmr-i-pnr-tsentrobezhnyh-kompressorov-centac-5sps800mh5-na-proekte-stroitelstvo-stantsii-razdeleniya-vozduha-na-baze-vru-kdadarzh-14-14-g-tula/;покупает;12;11
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух и газ названы оба;сказано прямо в тексте;;установка газотурбинная ГТН-16М-1, зав.№ 25802 с центробежным нагнетателем 2Н-16-76-1,44М1 зав. №25802, ТПО и ТПА топливного газа, пускового газа и газа с уплотнений, систем смазки и пожаротушения, системы воздухозабора ГПА, системы отвода отработанных газов, ;заключение ЭПБ № 27-ТУ-03801-2021;https://monitor-pb.ru/conclusion/27-%D0%A2%D0%A3-03801-2021;есть;9;8
2801091892;АО Амурские коммунальные системы;A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Турбокомпрессор (воздуходувка) (ЕБ);план 2170255359 позиция 174, сумма 2 822 372,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a85a9f09-75e9-4c21-9bdf-dbed9ff42740_a9504fc9-bf30-da59-818e-386ea7c94fa5&infoGuid=a85a9f09-75e9-4c21-9bdf-dbed9ff42740;планировал;9;8
2235003211;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ;A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Поставка Турбовоздуходувки RAETTS на аэродинамических подшипниках;ТЭК-Торг: процедура 0117300056124000024;https://www.tektorg.ru/44-fz/procedures/11682632;покупает;2;1
0253019901;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АГИДЕЛЬВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Поставка турбокомпрессорной воздуходувки;ТЭК-Торг: процедура 0600600026822000002;https://www.tektorg.ru/44-fz/procedures/4521486;покупает;2;1
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух и газ названы оба;сказано прямо в тексте;150С-01/А,;Центробежная воздуходувка 151-07, зав.№ 121510024, техн.№ 150С-01/А, местонахождение: главная воздуходувка, УПН «Баяндыская», КЦДНГ-3, Баяндыское м-е, ТПП «ЛУКОЙЛ-Усинскнефтегаз» ООО «ЛУКОЙЛ-Коми», ОПО Объекты системы обустройства месторождения, сбора, подгото;заключение ЭПБ № 25-ТУ-02329-2022;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02329-2022;есть;1;0
3801072394;"ООО ""ААТЗ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Линия нитрозных газов от газовых холодильников – промывателей до турбокомпрессора и добавочный воздух из атмосферы (Л-8), рег. № 33008 об.1004 цех 33/36;заключение ЭПБ № 67-ТУ-06287-2014;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-06287-2014;есть;1;0
4205072099;"ООО ""ХИМПРОМ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;на сооружение - трубопровод воздуха из турбокомпрессора в теплообменник и на свечу рег.№39, «Площадка воздухоразделительной установки» (рег.№ А68-02398-0003, класс опасности IV) Местонахождение ОПО: 650021, г. Кемерово, ул. 1-я Стахановская, 35. Место установк;заключение ЭПБ № 42-ЗС-516177-2025;https://monitor-pb.ru/conclusion/42-%D0%97%D0%A1-516177-2025;есть;1;0
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;ЭФ-106;Центробежная воздуходувка марки ЭФ-106, технол. № 26, применяемое на опасном производственном объекте «Склад бестарного хранения муки», рег. № А01-00250-0002 (IV класс опасности), по адресу: 117420, г. Москва, ул. Наметкина, д. 10А, эксплуатируемое ОАО «КБК «Ч;заключение ЭПБ № 01-ТУ-04979-2018;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-04979-2018;есть;1;0
5404037541;"ООО  ""ГОФ Анжерская""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;ТВ-80-1,6 | ВД-12,5 | Ц4-70 | ВУ 3.1;"технические устройства: многоступенчатые воздуходувки ТВ-80-1,6 поз. 1571, 1572, 1573, 1574; вентиляторы дутьевые ВД-12,5 поз. 92, 93; центробежные электровентиляторы Ц4-70 № 8 (ВУ 3.1) поз. отм.+25, 0, Ц4-70 № 12 (ПУ-2)поз. отм.+4,5; центробежные вентиляторы ";заключение ЭПБ № 68-ТУ-09983-2019;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-09983-2019;есть;1;0
7704214548;"ООО""АФИПСКИЙ НПЗ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;К-301А | К-301В | К-302А | К-302В;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № ДТ-2АНПЗ-ТП-1-357-2025 на сооружение: Строительная конструкция фундамента воздуходувки К-301А, К-301В, К-302А, К-302В, КУВПМиВГ, применяемое на опасном производственном объекте ООО «Афипский НПЗ»;заключение ЭПБ № 23-ЗС-61725-2025;https://monitor-pb.ru/conclusion/23-%D0%97%D0%A1-61725-2025;есть;1;0
5445016903;"ООО ""НСК-ЭКСПЕРТ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;"документацию ""Техническое перевооружение опасного производственного объекта «Площадка главного корпуса ТЭЦ» ООО «Автозаводская ТЭЦ». «Установка турбокомпрессора сжатого воздуха» Монтаж турбокомпрессора с приводной паровой противодавленческой турбиной и установ";заключение ЭПБ № 60-ТП-27302-2021;https://monitor-pb.ru/conclusion/60-%D0%A2%D0%9F-27302-2021;есть;1;0
7402001769;"ОАО ""УФАЛЕЙНИКЕЛЬ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;К-25 | 2НСГ-0 | Н-2900 | ВГ-70;Компрессор К-25 Насос сжиженного газа 2НСГ-0,0695/20-2 Турбогазодувка ТГ-200-1,4 Турбогазодувка ТГ-200-1,4 Нагнетатель центробежный Н-2900 ВЕНТИЛЯТОР ВГ-70 ВОЗДУХОДУВКА ТВ-200-1.4;Фабрикант, процедура  (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/market/view.html?action=view_pdo&type=61&id=1427667;покупает;1;0
8107008649;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА КУДЫМКАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО К";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Приобретение турбокомпрессора воздушного с электродвигателем на общей фундаментной раме.;процедура 0356500001426006457;https://www.rts-tender.ru/poisk/id/l0356500001426006457-1/;покупает;1;0
4025020084;"МП ""ВОДОКАНАЛ""";A;A. тип и среда названы в тексте первоисточника;центробежная;воздух;сказано прямо в тексте;;Выполнение работ по монтажу турбокомпрессора № 7 на воздуходувной станции технологической линии № 2 очистных сооружений канализации;план 2210560701 позиция 50, сумма 447 663,44 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=456973b1-05f3-4db9-9ce3-244639e250c6_11575779-6030-41cd-9202-ec7f753c58b1&infoGuid=456973b1-05f3-4db9-9ce3-244639e250c6;планировал;1;0
2124009521;"ПАО ""ХИМПРОМ""";B;B. доказано маркой или серией машины;центробежная по серии;воздух;марка КТК12,5/35 однозначна по всему корпусу;КТК 12,5/35;Запрос цен на запчасти к компрессору КТК 12,5/35 в 1 квартале 2021 года (id475325);тендер 475325;https://www.tender.pro/api/tender/475325/view_public;покупает;110;98
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение RT223;RT223 | AB 29;ТУРБОКОМПРЕССОР V23099979 (Terberg RT223 71-51 AB 29) (id998595);тендер 998595;https://www.tender.pro/api/tender/998595/view_public;покупает;30;7
0277077282;"ООО ""БГК"" (ИНН 0277077282)";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TPS57-E01;TPS57-E01;"225444 Сервисное обслуживание турбокомпрессора TPS57-E01 для нужд Зауральской ТЭЦ филиала ООО ""БГК""";процедура 32616197030;https://www.rts-tender.ru/poisk/id/l32616197030-1/;покупает;18;17
2426003607;"ООО ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТВ-300-1,6-О2.У1;ТВ-300-1,6-О2.У1;Техническое устройство – турбокомпрессор ТВ-300-1,6-О2.У1-м зав. № 1800-08, хоз. № 1;заключение ЭПБ № 66-ТУ-12623-2022;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-12623-2022;есть;18;9
7404052938;АО Златмаш;B;B. доказано маркой или серией машины;центробежная по серии;воздух;провайдер разобрал обозначение К-25М;К-25М;Поставка компрессорной установки К-25М;тендер 237018;https://www.tender.pro/api/tender/237018/view_public;покупает;13;13
5503109356;"ООО ""ТГКом""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TPS57;TPS 57;Выполнение работ по сервисному обслуживанию турбокомпрессора TPS 57 F32;процедура 32312194174;https://www.roseltorg.ru/procedure/32312194174/1;покупает;12;11
4909047148;"ИА ПАО ""Магаданэнерго""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение Д-155А-5;Д-155А-5;Турбокомпрессор Komatsu к бульдозеру Komatsu Д-155А-5 6505-52-5410 Российская Федерация;процедура KIM000007250;https://www.roseltorg.ru/procedure/KIM000007250/5;покупает;12;12
7705581646;УК СОДРУЖЕСТВО;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТК30Н-26;ТК30Н-26;Ремонт турбокомпрессора ТК30Н-26 в объеме ТР-2 (id859221) (2-й этап торгов) (id881566);тендер 881566;https://www.tender.pro/api/tender/881566/view_public;покупает;11;10
3801079671;"ООО""ТРАНСНЕФТЬ - ВОСТОК""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение 4HK1-T;4HK1-T;Закупка турбокомпрессора двигатель 4HK1-T 8973628390;Сбербанк-АСТ, лот 22508905;;покупает;10;9
5190001619;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ОБРАЗОВАНИЯ ГОРОДА МУРМАНСКА ""ЦЕНТР ШКОЛЬНОГО ПИТАНИЯ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение BV45;BV45;Поставка турбокомпрессора Borg Warner BV45 в сборе;процедура 5174398;https://zakupki.mos.ru/need/5174398;покупает;9;0
5944202327;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ - ТРАНСКОМ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение Т-170;Т-170 | Д-180 | Д-160М;Турбокомпрессор Т-170 дв.Д-180, Д-160М;процедура 4911905;https://zakupki.mos.ru/need/4911905;покупает;8;6
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТКВ-1,2;ТКВ-1,2;Выполнение работ по ремонту фундаментов турбокомпрессоров ТКВ-1,2 на филиале ТЭЦ-6 в г. Братске;план 2210555771 позиция 1201, сумма 630 118,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a5ee6880-7b8b-4b6e-9933-62ee01c249a8_3cac75df-2b79-4a49-aca8-d0415c495019&infoGuid=a5ee6880-7b8b-4b6e-9933-62ee01c249a8;планировал;6;0
4253019916;ТрансАвто (ТопПром);B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение Т-25;Т-25;Турбокомпрессор для бульдозера ЧЕТРА Т-25 (id244679);тендер 244679;https://www.tender.pro/api/tender/244679/view_public;покупает;6;6
6633029960;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение А-140-Н56;А-140-Н56;Текущий ремонт турбокомпрессора ABB А-140-Н56;план 2230682103 позиция 27, сумма 1 180 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a8dfb649-db94-4f0b-8d17-8e22170e1fdb_831632cf-2c14-41d7-9d6d-ec62380453fd&infoGuid=a8dfb649-db94-4f0b-8d17-8e22170e1fdb;планировал;6;6
7714572888;АОСТНГ;B;B. доказано маркой или серией машины;центробежная по серии;воздух;провайдер определил по роду деятельности предприятия;К-20;"Поставка компрессоров К-20 для СЭМ-4 (производства Алтайлесмаш) (Этап 6.9.2 Лупинги 280/02) для нужд АО ""СТНГ""";ЭТП ГПБ, процедура ГП323034;https://etpgpb.ru/procedure/tender/etp/862098-postavka-kompressorov-k-20-dlya-sem-4-proizvodstva-altaylesmash-etap-6-9-2-lupingi-280-02-dlya-nuzhd-ao-stng/;покупает;5;4
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";B;B. доказано маркой или серией машины;центробежная;воздух;марка ТВ-50-1,6 однозначна по всему корпусу;ТВ-50-1,6;техническое устройство - Турбокомпрессор многоступенчатый ТВ-50-1,6 тех. № ВД-1, зав. № 454, применяемое на опасном производственном объекте («Площадка установки по производству инертного газа для сульфонатных присадок» № А01-10817-0010, II класса опасности) ф;заключение ЭПБ № 61-ТУ-31814-2019;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-31814-2019;есть;5;4
7327063643;"АО ""ТЕПЛИЧНОЕ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TPS48;TPS 48;Закупка в электронном магазине,участниками которой могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по техническому обслуживанию двух турбокомпрессоров АВВ типа TPS 48 F32;процедура 32616241397;https://www.rts-tender.ru/poisk/id/l32616241397-1/;покупает;4;4
3849067674;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦАВТОХОЗЯЙСТВО"" ГОРОДА ИРКУТСКА";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение Б10М;НШ-100А-3Л | Б10М;"Поставка насосов НШ-100А-3Л (бульдозеры Б10М 5132; 5138), турбокомпрессора (бульдозер 5132), свечей зажигания (бульдозер Б10М).";план 2220656374 позиция 60, сумма 123 220,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e0f86c86-58cd-4d55-a27f-6cf816dc4bd0_73e45799-2c9b-4a0d-8fcb-1a8844fa95e6&infoGuid=e0f86c86-58cd-4d55-a27f-6cf816dc4bd0;планировал;4;0
2466137893;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАССАЖИРРЕЧТРАНС""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ZR125/005;ZR125/005 | А45-1 | Е-11-0139;"ремонт турбокомпрессора ZR125/005 сер. № 05506/07/К двигателя 12V2000M72 т/х пр. А45-1 ""Красноярск"" (идент. № Е-11-0139)";план 2210556553 позиция 175, сумма 174 843,48 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0330d79e-d9b1-4ca2-8b8e-900f85658b9f_1b2fb678-69fc-4940-a100-b7b4adbb9b84&infoGuid=0330d79e-d9b1-4ca2-8b8e-900f85658b9f;планировал;4;0
