inn;predpriyatie;sostoyaniy;est;pokupaet;planiruet;lyudej_tehnicheskih;lyudej_s_telefonom;pochemu_vazhno
0277077282;"ООО ""БГК"" (ИНН 0277077282)";3;1;1;1;1;0;состояние доказано, а карточки нет
7327063643;"АО ""ТЕПЛИЧНОЕ""";2;;1;1;0;0;состояние доказано, а карточки нет
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";2;;1;1;0;0;состояние доказано, а карточки нет
4714004270;"ФГУП ""ФЭО""";2;1;1;;0;0;состояние доказано, а карточки нет
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";2;1;1;;1;2;состояние доказано, а карточки нет
0272927232;"АКЦИОНЕРНОЕ ОБЩЕСТВО МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ""";1;;1;;0;0;состояние доказано, а карточки нет
9728050571;ФЛ АО НПЦАП-ПОКОРПУС;1;;1;;0;0;состояние доказано, а карточки нет
2457058758;"ООО ""НН-СЕРВИС""";1;;1;;0;0;состояние доказано, а карточки нет
7816723776;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА СОПРОВОЖДЕНИЯ ПРОГРАММНЫХ КОМПЛЕКСОВ""";1;;1;;0;0;состояние доказано, а карточки нет
7731263174;"АО ""ГПТП ""Гранит""";1;;1;;0;0;состояние доказано, а карточки нет
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";1;1;;;0;0;состояние доказано, а карточки нет
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";1;1;;;0;0;состояние доказано, а карточки нет
7717609102;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС""";1;;1;;0;0;состояние доказано, а карточки нет
5007088701;Муниципальное учреждение «Синьковское благоустройство»;1;;1;;0;0;состояние доказано, а карточки нет
7718918689;"ООО ""КФ""Черемушки""";1;1;;;0;0;состояние доказано, а карточки нет
0245022178;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ МАШИННО- ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ"" РЕСПУБЛИКИ БАШ";1;;1;;0;0;состояние доказано, а карточки нет
7718560636;ПАО Группа Черкизово;1;;1;;37;74;состояние доказано, а карточки нет
5199000024;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИЧЕСКИЕ МОРСКИЕ ИНЖЕНЕРНО-ГЕОЛОГИЧЕСКИЕ ЭКСПЕДИЦИИ""";1;;1;;0;0;состояние доказано, а карточки нет
2466199794;"ООО ""Норникель - ЕРП""";1;;1;;0;0;состояние доказано, а карточки нет
5904297072;"ООО ""ПЕРМКОМПРЕССОРМАШ""";1;1;;;0;0;состояние доказано, а карточки нет
7704009700;"ФГУП ""РАДОН""";1;;1;;0;0;состояние доказано, а карточки нет
2801091892;АО Амурские коммунальные системы;0;;;;0;0;состояний ноль — возможно, так и задумано
5260000192;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬНЫЙ ТРАНСПОРТ""";0;;;;0;0;состояний ноль — возможно, так и задумано
3308004388;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДУГАЭНЕРГО""";0;;;;0;0;состояний ноль — возможно, так и задумано
2466137893;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАССАЖИРРЕЧТРАНС""";0;;;;0;0;состояний ноль — возможно, так и задумано
5438001381;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""ТОГУЧИНСКИЙ ЛЕСХОЗ""";0;;;;0;0;состояний ноль — возможно, так и задумано
7814448098;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";0;;;;0;0;состояний ноль — возможно, так и задумано
7204205739;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНСКОЕ ЭКОЛОГИЧЕСКОЕ ОБЪЕДИНЕНИЕ""";0;;;;0;0;состояний ноль — возможно, так и задумано
