inn;predpriyatie;sostoyaniy;est;pokupaet;planiruet;strok_faktov;lyudej;s_lichnym;tehnicheskih_s_lichnym;pochemu_vazhno
7718560636;ПАО Группа Черкизово;1;;1;;113;84;70;38;состояние доказано
2124009521;"ПАО ""ХИМПРОМ""";2;1;1;;110;98;21;12;состояние доказано
7704758153;ГК ЛокоТех;1;;1;;6;5;4;2;состояние доказано
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";2;1;1;;3;2;2;1;состояние доказано
7720613388;АО ЗТЗ;1;;1;;5;4;1;1;состояние доказано
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";3;1;1;1;6;0;0;0;состояние доказано
0277077282;"ООО ""БГК"" (ИНН 0277077282)";3;1;1;1;18;17;0;0;состояние доказано
0278039018;"АО ""ТРАНСНЕФТЬ - УРАЛ""";2;1;1;;11;10;0;0;состояние доказано
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБОРКЕ ГОРОДА""";2;;1;1;33;32;1;0;состояние доказано
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";2;;1;1;64;63;6;0;состояние доказано
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";2;1;1;;1;0;0;0;состояние доказано
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";2;1;1;;32;31;0;0;состояние доказано
7327063643;"АО ""ТЕПЛИЧНОЕ""";2;;1;1;4;4;0;0;состояние доказано
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";2;1;1;;1;0;0;0;состояние доказано
5501072598;"ООО ""РМЗ ""ГПН-ОНПЗ""""";2;1;1;;1;0;0;0;состояние доказано
7302040242;"АО ""ГНЦ НИИАР""";2;1;1;;8;8;0;0;состояние доказано
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";2;;1;1;20;19;5;0;состояние доказано
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";2;1;1;;1;0;0;0;состояние доказано
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";2;1;1;;12;11;0;0;состояние доказано
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";2;1;1;;30;7;1;0;состояние доказано
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";2;1;1;;3;3;0;0;состояние доказано
7702038150;"ГУП ""Московский метрополитен""";2;1;1;;3;2;0;0;состояние доказано
1117000011;"АО ""Боксит Тимана""";2;1;1;;6;5;0;0;состояние доказано
7019035722;"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";2;1;1;;1;0;0;0;состояние доказано
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";2;1;1;;5;0;0;0;состояние доказано
6317024749;"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""";2;1;1;;13;12;0;0;состояние доказано
4714004270;"ФГУП ""ФЭО""";2;1;1;;3;2;0;0;состояние доказано
0269034133;"ООО ""Туймазинское ГПП""";2;1;1;;8;7;0;0;состояние доказано
5254001230;"ФГУП ""РФЯЦ - ВНИИЭФ""";2;1;1;;30;29;0;0;состояние доказано
6320004728;"АО ""ТОАЗ""";2;1;1;;1;0;0;0;состояние доказано
5501085734;"ООО ""ПОЛИОМ""";2;1;1;;1;0;0;0;состояние доказано
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";2;1;1;;1;0;0;0;состояние доказано
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";2;1;1;;1;0;0;0;состояние доказано
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";2;1;1;;3;2;0;0;состояние доказано
2607018122;"ПАО ""ОГК-2""";2;1;1;;3;3;0;0;состояние доказано
4102009338;"АО ""СВРЦ""";2;1;1;;1;0;0;0;состояние доказано
4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";2;;1;1;1;0;0;0;состояние доказано
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";2;1;1;;9;8;0;0;состояние доказано
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";2;1;1;;5;4;0;0;состояние доказано
5904081443;"ПЕРМСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ КОММУНАЛЬНОЕ И ТЕПЛОВОЕ ХОЗЯЙСТВО""";2;;1;1;1;0;0;0;состояние доказано
3801079671;"ООО""ТРАНСНЕФТЬ - ВОСТОК""";2;1;1;;10;9;1;0;состояние доказано
5017046933;"МУП ""Истринская теплосеть""";2;;1;1;2;1;0;0;состояние доказано
5503109356;"ООО ""ТГКом""";2;1;1;;12;11;0;0;состояние доказано
2453013555;"АО ""ПО ЭХЗ""";2;1;1;;3;2;0;0;состояние доказано
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";2;1;1;;1;0;0;0;состояние доказано
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";2;1;1;;12;12;0;0;состояние доказано
5947009096;"государственное бюджетное профессиональное образовательное учреждение ""Строгановский колледж""";1;;1;;1;0;0;0;состояние доказано
7706415345;"ООО ""КДВ ВОСКРЕСЕНСК""";1;1;;;1;0;0;0;состояние доказано
1902017445;УБО;1;;1;;1;0;0;0;состояние доказано
5612002437;АО АК № 1825;1;;1;;1;0;0;0;состояние доказано
5403100293;"МОАО ""Авангард""";1;1;;;1;0;0;0;состояние доказано
4221011880;СИБЭЛЕКТРО (ГКК);1;;1;;19;7;0;0;состояние доказано
7716789300;Государственное бюджетное учреждение города Москвы «Жилищник Ярославского района»;1;;1;;1;1;0;0;состояние доказано
5615002820;ОКУ;1;;1;;1;0;0;0;состояние доказано
6629020796;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""Центротех""";1;;1;;2;2;0;0;состояние доказано
6027014114;ГАУК ПО НПЦ ПО ОХРАНЕ ПАМЯТНИКОВ;1;;1;;2;1;0;0;состояние доказано
7423000572;"ФГУП ""РФЯЦ - ВНИИТФ ИМ. АКАДЕМ. Е.И. ЗАБАБАХИНА""";1;;1;;2;2;0;0;состояние доказано
1646031132;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛАБУГА-ВОЛОКНО""";1;;1;;1;0;0;0;состояние доказано
7705581646;УК СОДРУЖЕСТВО;1;;1;;11;10;2;0;состояние доказано
7722692000;"АО ""ОРКК""";1;;1;;1;0;0;0;состояние доказано
6726024309;Золотая нива (ИК Арлан);1;;1;;7;6;0;0;состояние доказано
7810715360;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""МУЗЕЙНО-ВЫСТАВОЧНЫЙ ЦЕНТР""";1;;1;;3;2;0;0;состояние доказано
7805014746;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОЛЕСПОРТ""";1;;1;;1;0;0;0;состояние доказано
2311010502;ГБУЗ ККБ № 2;1;;1;;1;0;0;0;состояние доказано
7727656790;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;1;;1;;1;0;0;0;состояние доказано
5007088701;Муниципальное учреждение «Синьковское благоустройство»;1;;1;;1;0;0;0;состояние доказано
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";1;1;;;21;11;0;0;состояние доказано
5040088177;"МУК ДК ""РОДНИКИ""";1;;1;;1;0;0;0;состояние доказано
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";1;1;;;1;0;0;0;состояние доказано
6455010934;ГАУК СГАТД;1;;1;;5;4;1;0;состояние доказано
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";1;1;;;6;5;1;0;состояние доказано
7731084175;АО КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;1;;1;;9;8;1;0;состояние доказано
1660173241;"ООО ""ХИМПРОМПРОЕКТ""";1;1;;;1;0;0;0;состояние доказано
7712025390;АО ГИПРОКИСЛОРОД;1;;1;;12;11;3;0;состояние доказано
7707049388;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";1;;1;;24;23;4;0;состояние доказано
5008028127;"ФИЛИАЛ ""УЛЬЯНОВСКАЯ ДАМБА""";1;;1;;2;1;0;0;состояние доказано
7820013539;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АЛЕКСАНДРОВСКИЙ ДОМ КУЛЬТУРЫ""";1;;1;;1;0;0;0;состояние доказано
6321357797;"ООО ""СНХ-ИНЖИНИРИНГ""";1;1;;;1;0;0;0;состояние доказано
7402001769;"ОАО ""УФАЛЕЙНИКЕЛЬ""";1;;1;;1;0;0;0;состояние доказано
5199000024;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИЧЕСКИЕ МОРСКИЕ ИНЖЕНЕРНО-ГЕОЛОГИЧЕСКИЕ ЭКСПЕДИЦИИ""";1;;1;;66;0;0;0;состояние доказано
4312138386;"ОАО ""ЗМУ КЧХК""";1;1;;;1;0;0;0;состояние доказано
4407006010;"ООО ""СВИСС КРОНО""";1;1;;;90;11;0;0;состояние доказано
5038121282;"ООО ""ИТОГ""";1;1;;;1;0;0;0;состояние доказано
6317023569;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКИЙ РЕЧНОЙ ПОРТ""";1;;1;;1;0;0;0;состояние доказано
6665002150;АО КУМЗ;1;;1;;38;38;0;0;состояние доказано
5944202327;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ - ТРАНСКОМ""";1;;1;;8;6;1;0;состояние доказано
5902056593;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПЕРМСКОГО КРАЯ ""ЦЕНТР РАЗВИТИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА""";1;;1;;1;0;0;0;состояние доказано
