inn;predpriyatie;vakansii_hh;hh_popadaniy;est;marki;pokupaet;data_zakupki;srok_sluzhby;vyvod_ekspertizy;region;sayt;telefony_predpriyatiya;luchshaya_pochta;direktor;vyruchka_rub;lyudej_tehnicheskih;lyudi_podrobno;proverok_nadzora_2025_2026;chego_ne_hvataet
7017005289;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";начальник компрессорной станции;9;1;11ЛС60П | 11ЛС68П | PN 0,6 | PN 16,0 | PN 6,4 | PN 7,5 | PN 8,0 | АСН-10;1;2019-04-22;any | срок ИСТЁК;не в полной мере | соответствует;Томская;;;;;;0;;73;телефон предприятия, сайт, технический человек
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";начальник компрессорной станции;4;1;100ММ 21А | 2M 0 | 380В 112КГ | 380В 40КГ | 50ММ 32ММ | 5ММ 5.9КГ | 80М 100ММ | 8А 220В;1;30.10.2020 15:00;any;не в полной мере | соответствует;Москва;irao-generation.ru;"[""+7 (495) 664-76-80 (центральный)"", ""+7 (495) 664-76-84 (факс)""]";zachesa_ab@interrao.ru;;;0;;143;технический человек
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";начальник компрессорной станции;3;1;12Р1 | 12Р4 | 12Р5 | 16U16 | 18U19 | 700PN 8,0 | 757Р2 | CMO 1234RC;1;2021-11-25;any | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;;;;;;0;;167;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
6316031581;"ПАО ""НОВАТЭК""";"главный энергетик; начальник компрессорной станции";2;;;1;2019-03-25;;;Ямало-Ненецкий;novatek.ru;"[""+7 (495) 730 60 00 (единая справочная)"", ""+7 (495) 730 60 13 (связи с инвесторами)"", ""+7 (495) 721 22 07 (пресс-служба";ir@novatek.ru;;;0;;;технический человек
3460019060;КОНЦЕССИИ ВОДОСНАБЖЕНИЯ;начальник компрессорной станции;2;;ТВ-80-1,6 | УН 16.79СБ-01 | УН16.79СБ-01 | ЦHВ 800/1,6 | ЦНВ 800/1,6;1;2023-09-28;;;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
6603025045;"Акционерное общество ""Птицефабрика ""Рефтинская""";начальник компрессорной станции;2;;4TES-12Y-40P | 4Н-15,2-40Р | HSN 7471-75-40P;1;28.07.2026;;;Свердловская;;;;;;0;;27;телефон предприятия, сайт, технический человек
7536097029;"Общество с ограниченной ответственностью ""Удоканская медь""";начальник компрессорной станции;1;;VS 16-5;1;29.11.2025;;;Забайкальский край, пос. Новая Чара;udokancopper.ru;"[""8-800-550-90-89 (общий)"", ""8 (495) 645-00-45 (общий)"", ""8-800-550-04-54 (подбор персонала)"", ""8-800-550-98-45 (телефон";podbor@udokancopper.com;;;0;;;технический человек
3812100646;"ООО ""ГАЗПРОМ ДОБЫЧА ИРКУТСК""";начальник компрессорной станции;1;1;ГПА-16 | Л 13.11 | НС-250-3М | П-101.1 | П-101.2 | УПГ-102;1;2020-04-27;any;соответствует;Иркутская;;;;;;0;;;телефон предприятия, сайт, технический человек
7705035012;"ПАО ""Мосэнерго""";начальник компрессорной станции;1;1;400V 840W | ERAD 250-4 | ГГРУ-3500 | ПГУ-420 | ПТ-60-90/13 | ПТ-60/75-130, | РОУ 23/6 | Т-100-130;1;2024-07-29;any | не собирался | срок ИСТЁК | срок действует;не в полной мере | не соответствует | соответствует;;;;;;;0;;51;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
9102070194;"АО ""КРЫМТЭЦ""";"главный энергетик; начальник компрессорной станции";4;1;BE 100;;;;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
3905078834;"ООО ""ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО""";начальник компрессорной станции;3;1;MAW 11.0-01 | MAW 11.3-03 | MAW 12.3-04 | АВО 1-1 | АВО 1-1, | АВО 1-2, | ВЗ-104 | ВЗ-17;;;any;не в полной мере | не соответствует | соответствует;Санкт-Петербург;;;;;;0;"Еремин Александр Михайлович | машинист |  | графики РТН ;; Созинов Алексей Геннадьевич | машинист |  | графики РТН";178;телефон предприятия, сайт, технический человек
5260900725;"АО ""ТРАНСНЕФТЬ - ВЕРХНЯЯ ВОЛГА""";"главный энергетик; начальник компрессорной станции";2;1;PN 75 | PN 8,0 | PN 8.0 | ДN 500 | ЗЭ-75 | Н-21 | ОК-527 | РN 8,0;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7422000795;"ФГУП ""ПО ""МАЯК""";начальник компрессорной станции;1;1;103ВП-20/8 | 1ВУВ-45/150, | 2ВМ4-12/65, | ВШВ-3/100,;;;any;не в полной мере | соответствует;Челябинская область;po-mayak.ru;"[""+7 (35130) 3-31-05""]";vvkobyzev@rosatom.ru;;19900000000.0;0;;;технический человек
2703032881;"ООО ""РН-Комсомольский НПЗ""";начальник компрессорной станции;1;1;1TES-20-100 | 2АВГ-20-Ж-1,6-Б1 | 2ВМ4-13/36С | CP-1012 | CP-1012/1 | CW1S-1016 | FLG-1037/1 | FLG-1039;;;any | не собирался;не в полной мере | соответствует;;;;;;;0;;22;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7105515987;"АО ""НПО ""СПЛАВ"" им. А.Н. Ганичева""";начальник компрессорной станции;1;1;;;;any;не в полной мере | не соответствует | соответствует;;;;;;;1;Калашников Сергей Александрович | гл.энергетик |  | графики РТН;;телефон предприятия, сайт, телефон технического человека, реквизиты (ИНН нет в базе владельца)
8901025421;"АО ""ЯМАЛКОММУНЭНЕРГО""";начальник компрессорной станции;1;1;ITE 1900D | ВК-21 | КСВ-1,86 | ТВ-80-1,4-01.У3;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
5007101649;"ООО ""ГАЗПРОМ ТЕПЛОЭНЕРГО МО""";начальник компрессорной станции;1;1;ГМГ-1,5 | ДКВР-20/13, | ДКВР-4/13,;;;any;не в полной мере | соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
6623000680;"ПАО ""ЕВРАЗ""";начальник компрессорной станции;1;1;0МК-20/220М, | 2ГП-4/5, | К-1500 | К-1500-62-2 | К-1500-62-2, | К-250-61-5 | К-500 | К-500-61-1;;;any | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | не соответствует | соответствует;;;;;;;0;;135;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7703370008;"ПАО ""МЕЧЕЛ""";"главный энергетик; главный механик";3;;;1;2019-09-26;;;Москва;mechel.ru;"[""+7 (495) 221-88-88"", ""+7 (495) 221-88-00"", ""+7 (800) 700-95-50 (заказ металлопродукции)"", ""+7 (495) 921-17-27 (телефон";sales@mechelservice.ru;;;0;;;технический человек
1512010853;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕСТИЖ""";"главный инженер; главный механик";2;;;1;02.09.2024;;;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
1435029085;"ПАО ""ЛОРП""";главный механик;2;1;4DVK-65 | КВД 200/300;1;20.02.2025 03:00;;не в полной мере | соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";главный инженер;1;1;АХ-40-25-160-К | ПН-350-16-7-III, | Т-100-130 | ЭПБ-013-ГКС-ФС-НГРЭС | ЭПБ-2098/ЗС-2024 | ЭПБ-2428/ЗС-2025 | ЭПБ-2429/ЗС-2025 | ЭПБ-2430/ЗС-2025;1;28.07.2026;any | не указан | срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;не в полной мере | соответствует;;;;;;;0;;21;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
5022050558;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ХОЛСИМ (РУС) СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ;главный механик;1;;921CM06 | 921CM10 | BLT-150A | FER-312-AB33 | M132/160 | VML95 | ВК-6008;1;26.02.2025 13:59;;;Московская;cementum.ru;"[""+7 (495) 745-71-31 (центральный офис)"", ""+7 964 787 72 68 (Анна Ружицкая, руководитель исследовательского центра)"", ""+";anna.ruzhitskaya@cementum.ru;;;0;;;технический человек
7718560636;ПАО Группа Черкизово;главный механик;1;;120H0255 | 1LA5L | 1SAQ0205 | 4GE-23Y | 4H-15.2-40Р | 4HE-25Y | 4PES-15Y-40P | 4TES-12Y-40P;1;31.12.2020;;;;;;;;;37;"Резник Алексей Александрович | Главный энергетик | Начальник Теплотехни | +7 (8412) 21-00-55 доб.2-56-34 | Tender.pro ;; Селищев Сергей Михайлович | Инженер-Энергетик | 8-960-142-02-21 | Tender.pro ;; Симонов Андрей Дмитриевич | Начальник ОП «Копанищенское» (навозохран | +7 (473) 206-58-28 | +7 (473)  | Tender.pro ;; Алфёров Виктор Владимирович | Механик ОП «Копанищенское» (навозохранил | 8(920)426-95-08 | Tender.pro";;телефон предприятия, сайт, реквизиты (ИНН нет в базе владельца)
1433000147;"АК ""АЛРОСА"" (ПАО)";главный механик;1;1;DD-321-400, | ВД-3,3-900, | ГИТ-32 | ДЭН-160 | ДЭН-160ШМ | ДЭН160ШМ | КВ 10/10 | КВ12/12;1;30.12.2020;any | срок ИСТЁК;не в полной мере | не соответствует | соответствует;Саха (Якутия);alrosa.ru;"[""+7 (495) 620-92-50 (Москва, аппарат управления)"", ""+7 (41136) 3-00-30 (Мирный, Якутия)"", ""+7 (41136) 3-04-51 (Мирный, ";innovation@alrosa.ru;;;0;"Бортникова Вероника Валентиновна | ответственный сотрудник УМТС | +7 (41136) 99-000 (доб.47886)  | Tender.pro ;; Кочетова Жанна Викторовна | ответственный сотрудник УМТС | ответстве | 8 (41136) 99-000 (доб. 4-78-59 | Tender.pro ;; Мураткова Юлия Васильевна | ответственный сотрудник УМТС | 8(41136) 99-000 (доб.4-23-44)  | Tender.pro ;; Шелест Светлана Александровна |  | 8(41136) 99-000 (доб. 4-78-38) | Tender.pro";267;технический человек
7709973482;Золотой Актив;главный механик;1;;;1;29.04.2025;;;Москва;;;;;;0;;;телефон предприятия, сайт, технический человек
7814148471;"ООО ""ЛЕНТА""";главный инженер;4;1;РЦ-8023 | ТК-73 | ТК-83;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
3017025584;"ООО ""ГАЗПРОМ СЕТЬ АГЗС""";"главный инженер; главный энергетик";2;1;D891 | FAS 942;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7205011944;"АО ""СУЭНКО""";"главный инженер; главный энергетик";2;1;УГВ-2000;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
1831034040;"ПАО ""УДМУРТНЕФТЬ"" ИМ. В.И. КУДИНОВА";главный энергетик;2;1;АНК-65 | БН-1000 | ДНС-11 | Е-101 | ЖБР-1000 | Н-101/1,2 | Н-5,6 | Н-9,10;;;any | срок ИСТЁК;соответствует;;;;;;;0;;73;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
7812014560;"ПАО ""МегаФон""";главный энергетик;2;1;;;;any;соответствует;;;;;;;0;;;телефон предприятия, сайт, технический человек, реквизиты (ИНН нет в базе владельца)
