inn;predpriyatie;nomerov
1006004155;Сегежский ЦБК;1
1650032058;КАМАЗ;5
1656025681;Казанский пороховой завод;1
1910009769;СФМЗ (ЗАКУПКИ);1
2124009521;Химпром (Новочебоксарск);44
2127309097;ПО КТЗ;13
2130230898;ТД Транспортное машиностроение;49
2443005570;РУСАЛ Ачинск;1
3435051260;Валком-ПМ;1
3803100054;РУСАЛ Братск;1
3804039638;РУСАЛ ИТЦ;4
3809003787;СибВАМИ;1
3849096450;СИС;1
4205003440;АО КТК;1
4217191333;ЗИМ (ГКК);2
4220020218;ТопПром;13
4223119624;ЦОФ Краснокаменская (ГКК);1
5907001774;НПО ИСКРА;1
6229024796;Филиал Завод ТЕХНОФЛЕКС г. Учалы;6
6230054971;Филиал Завод Лоджикруф;5
6612005052;РУСАЛ Волгоград;7
6665002150;КУМЗ-Организатор;1
6670061296;Русская медная компания;1
7321316986;Завод ТехноНИКОЛЬ-Ульяновск;1
7417001747;Комбинат Магнезит;45
7456000761;Металлург г.Магнитогорск;1
7704758153;ГК ЛокоТех;1
7705880068;Русский Уголь;1
7718560636;ПАО Группа Черкизово;36
7720613388;АО ЗТЗ;1
7730248021;Филиал ИСО в г. Ачинск;2
7730248430;РУСАЛ Менеджмент (непрофильные активы);4
