inn;predpriyatie;ploshchadka;nomer_procedury;chto_nashli;predmet;ssylka;chto_delat
5001000066;АО КРИОГЕНМАШ;ЭТП ГПБ, поиск по словам;ГП631672;гелиевого компрессора;Закупка гелиевого компрессора;https://etpgpb.ru/procedure/tender/etp/1274009-zakupka-gelievogo-kompressora/;снять как доказательство воздушной машины
5001000066;АО КРИОГЕНМАШ;ЭТП ГПБ, поиск по словам;ГП164946;азотного компрессора;Заявка на закупку азотного компрессора Кавытка ;https://etpgpb.ru/procedure/tender/etp/479041-zayavka-na-zakupku-azotnogo-kompressora-kavytka/;снять как доказательство воздушной машины
7728171283;"ФГУП ""НПЦАП""";ЭТП ГПБ, поиск по словам;31807342123;Газовый компрессор;Газовый компрессор в комплекте с охладителем газа – 1 штука;https://etpgpb.ru/procedure/tender/etp/195856-gazovyy-kompressor-v-komplekte-s-ohladitelem-gaza-1-shtuka/;снять как доказательство воздушной машины
7207002582;АО СГ СЕВЕР;ЭТП ГПБ, поиск по словам;31908421898;холодильного компрессора;"Поставка поршневого холодильного компрессора и компрессорных агрегатов
";https://etpgpb.ru/procedure/tender/etp/280291-postavka-porshnevogo-holodilnogo-kompressora-i-kompressornyh-agregatov/;снять как доказательство воздушной машины
5042006211;ФКП НИЦ РКП;ЭТП ГПБ, поиск по словам;31604014209;аммиачного компрессора;Поставка запчастей для аммиачного компрессора;https://etpgpb.ru/procedure/tender/etp/67460-postavka-zapchastey-dlya-ammiachnogo-kompressora/;снять как доказательство воздушной машины
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ГП468188;азотного компрессора;Поставка запчастей для азотного компрессора;https://etpgpb.ru/procedure/tender/etp/1001452-postavka-zapchastey-dlya-azotnogo-kompressora/;снять как доказательство воздушной машины
5001000066;"АО ""КРИОГЕНМАШ""";ЭТП ГПБ, поиск по словам;ГП512528;кислородных компрессоров;Запрос предложений на поставку кислородных компрессоров;https://etpgpb.ru/procedure/tender/etp/40912-zapros-predlozheniy-na-postavku-kislorodnyh-kompressorov/;снять как доказательство воздушной машины
5001000066;"АО ""КРИОГЕНМАШ""";ЭТП ГПБ, поиск по словам;ГП533612;азотных компрессоров;"Пусконаладочные работы 
дожимающих азотных компрессоров
«Атлас Копко»";https://etpgpb.ru/procedure/tender/etp/1166137-puskonaladochnye-raboty-dozhimayuschih-azotnyh-kompressorov-atlas-kopko/;снять как доказательство воздушной машины
5001000066;АО КРИОГЕНМАШ;ЭТП ГПБ, поиск по словам;ГП714072;гелиевый компрессор;Запрос (ценовых) котировок на поршневой гелиевый компрессор ;https://etpgpb.ru/procedure/tender/etp/88018-zapros-tsenovyh-kotirovok-na-porshnevoy-gelievyy-kompressor/;снять как доказательство воздушной машины
5001071638;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;ЭТП ГПБ, поиск по словам;ГП001533;холодильному компрессору;Поставка  Запасных частей к холодильному компрессору   Sabroe  SAB 128 HM Mk4 №  137891;https://etpgpb.ru/procedure/tender/etp/307360-postavka-zapasnyh-chastey-k-holodilnomu-kompressoru-sabroe-sab-128-hm-mk4-137891/;снять как доказательство воздушной машины
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";ЭТП ГПБ, поиск по словам;ГП147088;холодильного компрессора;Проектирование, изготовление, поставка, выполнение ШМР, ПНР блока холодильного компрессора К-1240С, лот №11П;https://etpgpb.ru/procedure/tender/etp/566108-proektirovanie-izgotovlenie-postavka-vypolnenie-shmr-pnr-bloka-holodilnogo-kompressora-k-1240s-lot-11p/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;32110705161;газовых компрессоров;"Поставка запасных частей для газовых компрессоров для нужд АО ""Газпром добыча Томск""";https://etpgpb.ru/procedure/tender/gaz/171680-postavka-zapasnyh-chastey-dlya-gazovyh-kompressorov-dlya-nuzhd-ao-gazprom-dobycha-tomsk/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1605957;газовых компрессоров;"Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок; Части насосов и компрессоров";https://etpgpb.ru/procedure/tender/gaz/234761-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok-ch;снять как доказательство воздушной машины
7712025390;АО ГИПРОКИСЛОРОД;ЭТП ГПБ, поиск по словам;ГП835077;азотных компрессоров;Ревизия азотных компрессоров Compex 2C7-7.5-9-41C, ПНР по временной схеме, поставка электрооборудования - шкафы питания и управления для компрессора азотного, ПНР компрессоров по постоянной схеме в рамках в рамках реализ;https://etpgpb.ru/procedure/tender/etp/188855-reviziya-azotnyh-kompressorov-compex-2c7-7-5-9-41c-pnr-po-vremennoy-sheme-postavka-elektrooborudovaniya-shkafy-pitaniya-i-upravleni;снять как доказательство воздушной машины
5001071638;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;ЭТП ГПБ, поиск по словам;ГП925288;холодильному компрессору;поставку  Запасных частей к холодильному компрессору   Sabroe  SAB 128 HM Mk4;https://etpgpb.ru/procedure/tender/etp/201849-postavku-zapasnyh-chastey-k-holodilnomu-kompressoru-sabroe-sab-128-hm-mk4/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31603558566;газовых компрессоров;"Поставка синтетического масла для газовых компрессоров для нужд ОАО ""Томскгазпром""";https://etpgpb.ru/procedure/tender/gaz/61996-postavka-sinteticheskogo-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31604150230-1-1;газовых компрессоров;Поставка синтетического масла для газовых компрессоров для нужд ОАО «Томскгазпром»;https://etpgpb.ru/procedure/tender/gaz/75127-postavka-sinteticheskogo-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
