inn;predpriyatie;istochnik;chem_dokazano;tekst;ssylka;pochemu
0245022178;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ М;Росэлторг;процедура 32413619114;Поставка центробежных пылевых вентиляторов для Бирского элеватора;https://www.roseltorg.ru/procedure/32413619114/1;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП529411;Поставка сепаратора;https://etpgpb.ru/procedure/tender/etp/1121161-postavka-separatora/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП027575;"Сбор, транспортировка, обработка, утилизация и обезвреживание отходов АО ""БМК""";https://etpgpb.ru/procedure/tender/etp/334531-sbor-transportirovka-obrabotka-utilizatsiya-i-obezvrezhivanie-othodov-ao-bmk/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП919200;Запрос предложений. Масла. Керосин.;https://etpgpb.ru/procedure/tender/etp/250877-zapros-predlozheniy-masla-kerosin/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП072040;Запрос предложений. Масла.Смазки.Керосин.;https://etpgpb.ru/procedure/tender/etp/427452-zapros-predlozheniy-masla-smazki-kerosin/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП331953;Оказание услуг по сбору, транспортированию и обезвреживанию отходов;https://etpgpb.ru/procedure/tender/etp/816476-okazanie-uslug-po-sboru-transportirovaniyu-i-obezvrezhivaniyu-othodov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП506852;Поставка насосов;https://etpgpb.ru/procedure/tender/etp/1125823-postavka-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП045080;Запрос предложений. Насосные агрегаты.;https://etpgpb.ru/procedure/tender/etp/390355-zapros-predlozheniy-nasosnye-agregaty/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;АО БМК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП643167;Насосы;https://etpgpb.ru/procedure/tender/etp/1276299-nasosy/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП438006;Запрос предложений на поставку насосов;https://etpgpb.ru/procedure/tender/etp/911958-zapros-predlozheniy-na-postavku-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП805514;Запрос предложений на насосы, запчасти к насосам.;https://etpgpb.ru/procedure/tender/etp/154290-zapros-predlozheniy-na-nasosy-zapchasti-k-nasosam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП913924;Запрос предложений на запорную арматуру;https://etpgpb.ru/procedure/tender/etp/201116-zapros-predlozheniy-na-zapornuyu-armaturu/;в тексте факта нет ни одного слова машины — доказательством быть не может
