inn;predpriyatie;marki;sostoyaniy;citata;ssylka_na_istochnik;istochnik;pochemu
5024001482;Государственное бюджетное учреждение здравоохранения города ;;1;Электронный запрос котировок на право заключения контракта на оказание услуг по Ремонту воздуходувку эрлифта вторичных отстойников на очистных сооружений.;https://zakupki.mos.ru/tender/2565947;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
6455010934;ГАУК СГАТД;;1;Воздуходувка для ПК;https://etpgpb.ru/procedures/price_request/877798-vozduhoduvka-dlya-pk/;ЭТП ГПБ;непроизводственная организация по названию и ни одной марки машины
6027014114;ГАУК ПО НПЦ ПО ОХРАНЕ ПАМЯТНИКОВ;;1;Поставка товара Электрическая воздуходувка Bosch UniversalGardenTidy 3000;https://etpgpb.ru/procedures/price_request/986299-postavka-tovara-elektricheskaya-vozduhoduvka-bosch-universalgardentidy-3000/;ЭТП ГПБ;непроизводственная организация по названию и ни одной марки машины
5917004527;"ГБУЗ ПК ""КБ""";;1;Поставка медицинского оборудования (аппараты для измерения артериального давления, стетофонендоскопы, стетоскопы, нагнетатели, манометры);https://www.tektorg.ru/44-fz/procedures/716393;ТЭК-Торг;непроизводственная организация по названию и ни одной марки машины
5009046489;"МБУ ""МФЦ ДОМОДЕДОВО""";;1;Поставка колонок, мышек, коннекторов, сетевых фильтров и воздуходувки для нужд МБУ «МФЦ Домодедово»;https://zakupki.mos.ru/need/5580236;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
7709840210;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-МНОГОФУНКЦИ";;1;Поставка ротора воздуходувки;https://www.roseltorg.ru/procedure/COM27022600070/1;Росэлторг;непроизводственная организация по названию и ни одной марки машины
2235003211;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ;;1;Поставка Турбовоздуходувки RAETTS на аэродинамических подшипниках;https://www.tektorg.ru/44-fz/procedures/11682632;ТЭК-Торг;непроизводственная организация по названию и ни одной марки машины
7820013539;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АЛ";;1;Поставка воздуходувки;https://zakupki.mos.ru/need/5591859;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5078018210;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЕРБИЛКОВСКИЙ ДОМ КУЛЬТУР;;1;Приобретение воздуходувки;https://zakupki.mos.ru/need/3648859;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5014009027;"МБУ ""ДК ИМЕНИ В.Н.ЛЕОНОВА""";;1;Поставка воздуходувки;https://zakupki.mos.ru/need/5061274;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5033002595;"МБУ ГОРОДСКОГО ОКРУГА ОЗЕРЫ ""ГРАД-СЕРВИС""";;1;Поставка турбокомпрессора для камаза;https://zakupki.mos.ru/need/3837532;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5008046711;АВТОНОМНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г. ДОЛГОПРУ;;1;Приобретение воздуходувки;https://zakupki.mos.ru/need/4483589;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5044058624;"АУ ""КУЛЬТУРНО-СПОРТИВНЫЙ ЦЕНТР""";;1;Поставка воздуходувки;https://zakupki.mos.ru/need/4724879;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
5019028190;"МАУК ""ЦКИ""";;1;Приобретение воздуходувки;https://zakupki.mos.ru/need/5737141;Портал поставщиков Москвы;непроизводственная организация по названию и ни одной марки машины
7404032480;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АВТОХОЗЯЙСТВО АДМИНИСТР";;0;Поставка турбокомпрессора 53403-1118010;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=f470161f-f23e-4f0a-ad95-468695c836c5_35e4dcab-d051-4854-805a-56cee7bc4adb&inf;план закупки 223-ФЗ, ЕИС;непроизводственная организация по названию и ни одной марки машины
