inn;predpriyatie;ploshchadka;nomer_procedury;predmet;ssylka;pochemu
5836899407;"МБУ ""СГК""";ЭТП ГПБ, поиск по словам;0355600002323000025;Поставка компрессоров воздушных и воздуходувки ранцевой для нужд МБУ «Служба городских кладбищ» 0355600002323000025;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
8911022317;НОВАТЭК -АЗК;ЭТП ГПБ, поиск по словам;ГП638264;Услуги по ремонту электрооборудования (мотопомпа, триммер, бензокоса, мойка высокого давления, снегоуборочная машина, воздуходувка, компрессор воздушный, электроинструмент) для обслуживания объектов З;https://etpgpb.ru/procedure/tender/etp/1221836-uslugi-po-remontu-elektrooborudovaniya-motopompa-trimmer-benzokosa-moyka-vysokogo-davleniya-snegouborochnaya-mashina-vozduhoduvka-;садовый инвентарь: то же слово, другая машина
8911022317;"ООО ""НОВАТЭК -АЗК""";ЭТП ГПБ, поиск по словам;ГП266269;Оказание услуг по ремонту оборудования (мотопомпа, триммер (бензокоса), мойка высокого давления, снегоуборочная машина, воздуходувка, компрессор воздушный, электроинструмент) на объектах Филиала ООО «;https://etpgpb.ru/procedure/tender/etp/652898-okazanie-uslug-po-remontu-oborudovaniya-motopompa-trimmer-benzokosa-moyka-vysokogo-davleniya-snegouborochnaya-mashina-vozduhoduvka-;садовый инвентарь: то же слово, другая машина
5003026493;"Филиал ""Краснодар Бурение""";ЭТП ГПБ, поиск по словам;АП030812;Бензопилы и воздуходувки;https://etpgpb.ru/procedure/tender/etp/701917-benzopily-i-vozduhoduvki/;садовый инвентарь: то же слово, другая машина
9729312558;"ООО ""НОВАТЭК-СПГ ТОПЛИВО""";ЭТП ГПБ, поиск по словам;ГП532051;Инструмент (снегоуборщик, воздуходувка);https://etpgpb.ru/procedure/tender/etp/1152911-instrument-snegouborschik-vozduhoduvka/;садовый инвентарь: то же слово, другая машина
2311010502;ГБУЗ ККБ № 2;ЭТП ГПБ, поиск по словам;32514881742;Поставка садового оборудования (воздуходувка, бензопила);https://etpgpb.ru/procedure/tender/etp/1122742-postavka-sadovogo-oborudovaniya-vozduhoduvka-benzopila/;садовый инвентарь: то же слово, другая машина
6027132728;"ГКУ ПО ""УПРАВЛЕНИЕ ОД В ЧС""";ЭТП ГПБ, поиск по словам;0357200025624000103;Поставка газонокосилки и воздуходувки 0357200025624000103;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
6027019497;ГБУЗ ПО ПСКОВСКИЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР;ЭТП ГПБ, поиск по словам;0357200017022000263;Поставка воздуходувки бензиновой 0357200017022000263;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
3007002179;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЛИМАНСКИЙ РАЙОН""";ЭТП ГПБ, поиск по словам;0125300007225000064;поставка воздуходувки и газонокосилки 0125300007225000064;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
7817032362;СПБ ГБСУСО СПЕЦИНТЕРНАТ;ЭТП ГПБ, поиск по словам;0372200213423000007;Поставка снегоуборщика и воздуходувки ранцевой 0372200213423000007;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
3455000987;"МБУ ""ДОРОЖНИК""";ЭТП ГПБ, поиск по словам;0329300303224000018;Поставка воздуходувки бензиновой ранцевой 0329300303224000018;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
;"ГБУ ЛНР ""СББЖ ГОРОДА АЛЧЕВСКА""";ЭТП ГПБ, поиск по словам;0883500144826000003;Поставка опрыскивателя-воздуходувки ранцевого моторного 0883500144826000003;https://etpgpb.ru;садовый инвентарь: то же слово, другая машина
5406807595;"ООО ""ГАЗПРОМНЕФТЬ-ТЕРМИНАЛ""";ЭТП ГПБ, поиск по словам;590110;Поставка воздуходувки, триммеров, кордов, пылесоса хозяйственного;https://etpgpb.ru/procedure/tender/price_request/590110-postavka-vozduhoduvki-trimmerov-kordov-pylesosa-hozyaystvennogo/;садовый инвентарь: то же слово, другая машина
