inn;predpriyatie;god_fakta;god_registracii;raznica;chto_za_data;vердикт;reg_date;predmet;ssylka
6382104070;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОЛЬЯТТИНСКОЕ ПАССАЖИРСКОЕ АВТОТРАНСПО";2015;2024;9;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
6382104070;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОЛЬЯТТИНСКОЕ ПАССАЖИРСКОЕ АВТОТРАНСПО";2018;2024;6;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
6382104070;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОЛЬЯТТИНСКОЕ ПАССАЖИРСКОЕ АВТОТРАНСПО";2018;2024;6;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2021;2024;3;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2021;2024;3;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
9701248398;"Общество с ограниченной ответственностью ""Научно-технологиче";2020;2023;3;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
9701248398;"Общество с ограниченной ответственностью ""Научно-технологиче";2020;2023;3;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
9701248398;"Общество с ограниченной ответственностью ""Научно-технологиче";2020;2023;3;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2022;2024;2;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2022;2024;2;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
4715030610;Пикалевский глиноземный завод;2014;2016;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2014;2016;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2014;2016;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
5260497721;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬН";2022;2024;2;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
6726024309;Золотая нива (ИК Арлан);2016;2018;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2018-04-26;;
9701248398;"Общество с ограниченной ответственностью ""Научно-технологиче";2021;2023;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
9701248398;"Общество с ограниченной ответственностью ""Научно-технологиче";2021;2023;2;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
9701248398;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ТЕХНОЛОГИЧЕ";2021;2023;2;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
