inn;predpriyatie;chto;status;podrobnee;lyudej_tehnicheskih;lyudej_s_telefonom
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;12;22
4220020218;ТопПром;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;12;21
1650032058;КАМАЗ;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;4;11
6626002291;"ПАО ""СТЗ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;2;0
0266008329;"ОАО ""Газпром нефтехим Салават""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;1;0
6629022962;"АО ""УЭХК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;4
7414003633;"ПАО ""ММК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
1653006666;"МУП ""ВОДОКАНАЛ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
1902025326;"ООО ""СКС""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
2012006949;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЧЕНЦЕМЕНТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7703647595;"АО ""ОХК ""УРАЛХИМ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
3304000103;МУВКП;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6615015316;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7450001007;"ПАО ""ЧМК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
8602067092;"ПАО ""ЮНИПРО""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
0269034133;"ООО ""Туймазинское ГПП""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3435900186;"АО ""ВТЗ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5017046933;"МУП ""Истринская теплосеть""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
5501072598;"ООО ""РМЗ ""ГПН-ОНПЗ""""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
0266040210;"ООО ""АКРИЛ САЛАВАТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7721261080;"ГУП ""ЛПЗ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
2204001528;"ФКП  ""БОЗ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6625004271;"АО ""ПНТЗ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
4218000951;"АО ""ЕВРАЗ ЗСМК""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
7206025040;"ООО ""СИБУР Тобольск""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
0268036071;"ОАО ""Синтез-Каучук""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3801072394;"ООО ""ААТЗ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
6323106975;"ЗАО ""Тольяттисинтез""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5005000148;"АО ""Воскресенские минеральные удобрения""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5905021239;"ОАО ""Минеральные удобрения""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
3528191736;"АО ""ФосАгро-Череповец""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6142025298;"ООО ТУ ""Шолоховское""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5214009264;"ООО ""МК ""Володарский""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
7718220196;"ООО ""ТОРГ-ИНВЕСТ""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
6628008965;"ЗАО ""ПО ""Режникель""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
2302016730;"ОАО ""Масложиркомбинат""Армавирский""""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
