i;inn;kompaniya;sobytie;chto;url;mehanizm;prichina;adversarialnaya_proverka
0;2124009521;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";новый завод;строительство метанолового завода мощностью 1 млн тонн в год;https://vk.com/wall-163528332_537;бывший-обанкроченный;"Src: «В Волгограде… разместится на территории бывшего „Химпрома“» — событие про площадку БЫВШЕГО волгоградского Химпрома (обанкрочен), а компания — действующий ПАО «Химпром» в Чувашии (Новочебоксарск). Двойное несовпадение: и «бывший», и другой регион (Волгоград vs Чувашия); к тому же это дайджест, ";"Попытка оправдать привязку провалилась по всем линиям. 1) Тезка, а не компания: в тексте «на территории бывшего „Химпрома“» в Волгограде — это площадка остановленного и обанкроченного ВОАО «Химпром» (Волгоград, ЮФО), отдельного юрлица с другим ИНН; п"
11;2225078730;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙ-ТЕНТ""";строительство;строительство тентового телятника на 1200 голов;https://vk.com/wall-228097688_29774;дайджест-чужое-событие;"src — новость про делегацию Коми на Дне поля: «от визита на завод „Алтай-Тент“ до строительства тентового телятника». Визит на завод реален, но извлечённое событие «строительство телятника на 1200 голов» — проект Коми (ООО «Южное»), а не инвестиция самого «Алтай-Тент»; компания тут скорее потенциаль";Попытка оправдать привязку не выдерживает проверки. Полная версия новости (https://news.mail.ru/society/71719472/) прямо говорит: строительство телятника холодного содержания на 1200 голов начинает ООО «Южное» — хозяйство в Республике Коми (его дирек
12;7814592447;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЗЕРМЕТ""";модернизация;обновление анодно-малярного цеха с малярным и гальваническим отделениями;https://vk.com/wall-112331871_2980;имя-не-в-тексте;"src целиком про «обновленный корпус анодно-малярного цеха ИАЗ» (Иркутский авиазавод, проект МС-21, Иркутское РО СоюзМаш); имени «Лазермет» в тексте нет вообще, регион события Иркутск, а компания в СПб.";"Адверсариальная попытка оправдать привязку провалилась по всем линиям: (1) субъект события — анодно-малярный цех ИАЗ (Иркутский авиационный завод, филиал ПАО «Яковлев»/ОАК, Ростех, программа МС-21), никакого отношения к ООО «Лазермет» не имеющий; (2)"
13;6317155043;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТЕК""";новый завод;металлообрабатывающее предприятие, лазерная резка;https://vk.com/wall-155710313_10390;тёзка;"src: «В Лыткарине стартовало производство… АМТЕК» и «технический директор бренда „АМТЕК“ компании ООО „Орион“» — это бренд ООО «Орион» в Подмосковье; проверяемая компания — самарское ООО «АМТЕК» с мукомольным ОКВЭД 10.61, другой регион и профиль.";Событие не может относиться к проверяемой компании: сам текст первоисточника называет юрлицо лыткаринского предприятия — «технический директор бренда „АМТЕК“ компании ООО „Орион“», т.е. «АМТЕК» там лишь бренд ООО «Орион» (Московская обл., металлообра
20;3666128249;"ООО ""АВАНГАРД-АГРО-ВОРОНЕЖ""";новый завод;открытие тепличного комплекса;https://news.google.com/rss/articles/CBMipwFBVV95cUxNU2dDTTM;профиль-несовпадение;"src пуст. ОКВЭД компании — полеводство (зерновые, сахарная свёкла 01.11, 01.13.5), тепличного растениеводства (01.13.1) нет; «Авангард-Агро» — зерновой холдинг, тепличный комплекс профилю не соответствует, а «Авангард» частая приставка у тепличных проектов-тёзок.";Попытка оправдать привязку провалилась по всем линзам. 1) Профиль: rusprofile/checko и сайт холдинга (avangard-agro.ru/about/voronez) подтверждают — ООО «Авангард-Агро-Воронеж» (п. Элеваторный, Острогожский р-н) это полеводческая «дочка» АО «Авангард
22;7727426732;"ООО ""АУРУС""";запуск линии;производство бизнес-джетов;https://www.interfax.ru/forumspb/1093903;тёзка;src пуст, но профиль выдаёт тёзку: у ООО «АУРУС» ИНН 7727426732 ОКВЭД строительно-ремонтные (33.11, 41.10, 43.21, 43.99.5) — не авиа- и не автопром. Новость с ПМЭФ о бизнес-джетах относится к бренду Aurus (проект ОАК/автопроизводителя Аурус, другое юрлицо), а не к этой московской фирме-однофамильцу.;"Адверсариальная попытка оправдать привязку провалилась. (1) Проект бизнес-джета Aurus принадлежит ОАК и автобренду Aurus; юрлицо бренда — ООО «Аурус» ИНН 7743237789 (Елабуга, СП НАМИ), т.е. другое юрлицо. (2) ИНН 7727426732 — московская фирма-тёзка с"
25;5404476926;"ООО ГК ""СОДРУЖЕСТВО""";запуск линии;запуск крупнейшего соевого перерабатывающего производства;https://dzen.ru/a/aj4s_vOqTyVcjNb7;тёзка;«Крупнейшее соевое перерабатывающее производство» — это известная калининградская ГК «Содружество» (лидер соевой переработки, новые заводы в т.ч. в Курской обл.). Данная компания — новосибирская (ИНН 5404…) с ОКВЭД лесозаготовка/стройка (02.10, 41.20), пищевой переработки в профиле нет. src пуст, но;Адверсариальная проверка с выходом в веб не нашла способа оправдать привязку. ИНН 5404476926 — новосибирское ООО ГК «Содружество» (рег. 31.01.2013, ул. Планировочная 18/1, директор Царапкин В.А.), основной профиль — оптовая торговля лесо- и строймате
40;7604332354;"ООО ""МОТОРИКА""";инвестиции;привлечение льготного финансирования для технологической компании;https://vk.com/wall-43892736_3704;тёзка;src про известную медтех-группу «Моторика»: «экзопротезирования и нейротехнологий… первого российского бионического протеза локтя», выручка 7 млрд. Компания в базе — ярославское ООО (ИНН 7604…) с ОКВЭД автозапчастей/автосервиса (45.31, 45.20, 49.41) — профиль несовместим, это тёзка.;Адверсариальная попытка оправдать привязку провалилась по проверяемым реквизитам. Компания из базы — ООО «МОТОРИКА» ИНН 7604332354 (ОГРН 1177627031361, Ярославль, ул. Промышленная 1, зарег. 28.09.2017, гендиректор Бухин О.Р.): основной ОКВЭД 45.31 — 
44;2466000401;"АО ""ДСК""";новый завод;строительство завода;https://t-l.ru/402599.html;тёзка;"src пуст; источник t-l.ru — тюменская «Тюменская линия», а ИНН 2466 — Красноярск. «ДСК» — родовая аббревиатура (домостроительный/дорожно-строительный комбинат), у Тюмени есть собственные ДСК; новость о стройке завода в тюменском СМИ почти наверняка про местного тёзку, а не про красноярское АО «ДСК».";Адверсариальная попытка оправдать привязку провалилась по всем линиям. (1) Найдена сама новость t-l.ru (t-l.ru/402599.html, «В Тюменской области завод ДСК построили на 40%»): завод по производству готовых домокомплектов на Велижанском тракте в Тюмени
45;5609026406;"ООО ""ОЗОН""";новый завод;строительство склада и завода;https://vk.com/wall-99385466_428901;тёзка;src: «построят склад Ozon... универсальный склад класса А1 для маркетплейса Ozon» в Тамбовской области, причём строит его «Натали-Плюс». Речь о маркетплейсе Ozon, а в базе ООО «ОЗОН» из Оренбурга (ИНН 5609) с профилем гостиниц/общепита/образования — классический тёзка, плюс другой регион.;"Оправдать привязку невозможно. (1) В src «Ozon» — это маркетплейс (юрлицо ООО «Интернет Решения», ИНН 7704217370 / Ozon Holding), причём он даже не субъект события: склад строит «Натали-Плюс», завод — «Малком»; ООО «ОЗОН» из базы не упомянуто ни в ка"
