marka;nash_profil;tip;sreda;seriya;proizvoditel;pochemu;nashih_upominaniy;nashih_predpriyatiy;znayut;ssylka;godno_kak_slovo_poiska
0,14-ТПС-4;;;;;;;0;0;1s-неопознанные;;
0,25;;;;;;;0;0;1s-неопознанные;;
0,4;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
0,5-1;;;;;;;0;0;1s-неопознанные;;
0,6;;;;;;;0;0;1s-неопознанные;;
0,7;;;;;;;0;0;1s-неопознанные;;
0,8;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
0-1;;;;;;;11;6;только наша база;;
0-4000;;;;;;;9;3;только наша база;;
0-В;;;;;;;8;4;только наша база;;
0/0;;;;;;;8;4;только наша база;;
0/1;;;;;;;4;2;только наша база;;
0/4;;;;;;;5;3;только наша база;;
00;;;;;;;13;2;только наша база;;
001;;;;;;;0;0;1s-неопознанные;;
002;;;;;;;0;0;1s-неопознанные;;
005;;;;;;;0;0;1s-неопознанные;;
006;;;;;;;0;0;1s-неопознанные;;
025-200;;;;;;;0;0;1s-неопознанные;;
0259-23;;;;;;;0;0;1s-неопознанные;;
04-2014;;;;;;;0;0;1s-неопознанные;;
04ВТС0;;;;;;;1;1;1s-неопознанные;;
04С401;;;;;;;1;1;1s-неопознанные;;
05;;;;;;;3;2;только наша база;;
05ВТС300;;;;;;;1;1;1s-неопознанные;;
05С401;;;;;;;2;1;1s-неопознанные;;
05Ф-035-110;;;;;;;1;1;1s-неопознанные;;
05Ф-035-111;;;;;;;1;1;1s-неопознанные;;
05Ф-035-112;;;;;;;1;1;1s-неопознанные;;
06;;;;;;;40;5;только наша база;;
0698;;;;;;;0;0;1s-неопознанные;;
06С-401;;;;;;;2;2;1s-неопознанные;;
06С401;;;;;;;1;1;1s-неопознанные;;
07В-2;;;воздух;;;Маркировка относится к турбокомпрессору серии ТВ, работающему на воздухе.;1;1;1s-среда, 1s-неопознанные;;
08;;;;;;;39;7;только наша база;;
0826;;;;;;;0;0;1s-неопознанные;;
08G;;;;;;;0;0;1s-неопознанные;;
08В-2;;;воздух;;;По контексту машина является турбокомпрессором серии ТВ, то есть турбовоздуходувкой.;1;1;1s-среда, 1s-неопознанные;;
08К-1;;;не ясно;;;Обозначение 08К-1 является цеховым технологическим индексом агрегата, а не серией машины.;4;1;1s-среда, 1s-неопознанные;;
08СБ4;;;газ;;;ЦН — это центробежный нагнетатель, а чертеж детали назван «Уплотнение газовое».;3;1;1s-среда, 1s-неопознанные;;
0МК-20;;;;;;;0;0;1s-неопознанные;;
0МК-70;;;;;;;0;0;1s-неопознанные;;
0МК12;;;;;;;0;0;1s-неопознанные;;
0Р;;;;;;;2;2;только наша база;;
0Р63;;;;;;;1;1;1s-неопознанные;;
1,1;;;;;;;0;0;1s-неопознанные;;
1,1,4;;;;;;;0;0;1s-неопознанные;;
1,1,6;;;;;;;0;0;1s-неопознанные;;
1,16;;;;;;;0;0;1s-неопознанные;;
1,2;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
1,2,3;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
1,2-Т-3;;;;;;;0;0;1s-неопознанные;;
1,3;;;;;;;0;0;1s-неопознанные;;
1,4;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1,4-01;;;;;;;0;0;1s-неопознанные;;
1,44;;;;;;;0;0;1s-неопознанные;;
1,45;;;;;;;0;0;1s-неопознанные;;
1,4М1-01;;;;;;;0;0;1s-неопознанные;;
1,5;;;;;;;0;0;1s-неопознанные;;
1,5,8;;;;;;;0;0;1s-неопознанные;;
1,5СБ;;;;;;;0;0;1s-неопознанные;;
1,5СМ;;;;;;;0;0;1s-неопознанные;;
1,6;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1,6,8;;;;;;;0;0;1s-неопознанные;;
1,6-200М;;;;;;;0;0;1s-неопознанные;;
1,7;;;;;;;0;0;1s-неопознанные;;
1,7,1;;;;;;;0;0;1s-неопознанные;;
1,7,6;;;;;;;0;0;1s-неопознанные;;
1,7,9;;;;;;;0;0;1s-неопознанные;;
1,84;;;;;;;0;0;1s-неопознанные;;
1,9,4;;;;;;;0;0;1s-неопознанные;;
1,90;;;;;;;0;0;1s-неопознанные;;
1-09;;;;;;;0;0;1s-неопознанные;;
1-1;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1-1,2,3;;;;;;;0;0;1s-неопознанные;;
1-10;;;;;;;0;0;1s-неопознанные;;
1-12;;;;;;;0;0;1s-неопознанные;;
1-16;;;;;;;0;0;1s-неопознанные;;
1-2;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
1-25;;;;;;;12;2;только наша база;;
1-2500;;;;;;;10;2;только наша база;;
1-3;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
1-4;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1-4-Т;;;;;;;0;0;1s-неопознанные;;
1-5;;;;;;;0;0;1s-неопознанные;;
1-6;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1-933;;;;;;;0;0;1s-неопознанные;;
1-К-10;;;;;;;0;0;1s-неопознанные;;
1-Т-2;;;;;;;0;0;1s-неопознанные;;
10;;;;;;;8;6;только наша база;;
10,1;;;;;;;0;0;1s-неопознанные;;
10,5;;;;;;;0;0;1s-неопознанные;;
10-1;;;;;;;0;0;1s-неопознанные;;
10-1450;;;;;;;0;0;1s-неопознанные;;
10-2;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
10-2-А;;;;;;;0;0;1s-неопознанные;;
100;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
1000;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
1006;;;;;;;0;0;1s-неопознанные;;
100A7;;;;;;;4;1;1s-неопознанные;;
100L4;;;;;;;1;1;1s-неопознанные;;
100LB30;;;;;;;1;1;1s-неопознанные;;
100В01;;;;;;;1;1;1s-неопознанные;;
100В01-11;;;;;;;1;1;1s-неопознанные;;
100В01-15;;;;;;;1;1;1s-неопознанные;;
100ДВ;;;;;;;0;0;1s-неопознанные;;
100К13В-УХЛ1;;;;;;;2;1;1s-неопознанные;;
100УХЛ;;;;;;;0;0;1s-неопознанные;;
101;;;;;;;0;0;1s-неопознанные;;
101А 36;;;;;;;2;1;1s-неопознанные;;
102МТ;;;;;;;0;0;1s-неопознанные;;
1032;;;;;;;0;0;1s-неопознанные;;
103ВП20;;;;;;;0;0;1s-неопознанные;;
104;;;;;;;0;0;1s-неопознанные;;
105;;;;;;;0;0;1s-неопознанные;;
105-1;;;;;;;0;0;1s-неопознанные;;
108;;;;;;;0;0;1s-неопознанные;;
10LS-118;;;;;;;1;1;1s-неопознанные;;
10LS-171;;;;;;;1;1;1s-неопознанные;;
10LS-174;;;;;;;1;1;1s-неопознанные;;
10LT-196;;;;;;;1;1;1s-неопознанные;;
10LТ-123;;;;;;;1;1;1s-неопознанные;;
10R3;;;;;;;10;1;1s-неопознанные;;
10R5;;;;;;;3;1;1s-неопознанные;;
10SV-072;;;;;;;1;1;1s-неопознанные;;
10W92S;;;;;;;4;1;1s-неопознанные;;
10БАР 220В;;;;;;;4;1;1s-неопознанные;;
10БАР 380В;;;;;;;3;1;1s-неопознанные;;
10В-220-2-1;;;;;;;6;1;1s-неопознанные;;
10Е-2;;;;;;;1;1;1s-неопознанные;;
10Е-5;;;;;;;1;1;1s-неопознанные;;
10КГ 5340;;;;;;;5;1;1s-неопознанные;;
10КГ5340;;;воздух;;;Турбокомпрессор с каталожным номером 10КГ 5340 предназначен для нагнетания воздуха в двигатели ЯМЗ-530.;0;0;1s-среда;;
10Н-6;;;;;;;0;0;1s-неопознанные;;
10С-1;;;;;;;1;1;1s-неопознанные;;
10С301А;;;газ;;;В контексте указано применение компрессора на установке очистки газов от сернистых соединений.;2;1;1s-среда, 1s-неопознанные;;
10С301С;;;газ;;;Контекст прямо указывает на применение компрессора в цехе очистки газа от сернистых соединений.;1;1;1s-среда, 1s-неопознанные;;
10СТ;;;;;;;0;0;1s-неопознанные;;
10ТХМВ-2000;;;газ;;;Серия ТХМВ обозначает центробежный холодильный турбокомпрессор на хладагенте.;1;1;1s-среда, 1s-неопознанные;;
10ТХМВ-2000-2;;;газ;;;Обозначение ТХМВ указывает на турбохолодильную машину, сжимающую хладагент.;1;1;1s-среда;;
10ТХМВ-8000;;;газ;;;Марка ТХМВ относится к турбокомпрессорам холодильных машин, работающим на хладагенте.;4;1;1s-среда, 1s-неопознанные;;
10У-1;;;;;;;1;1;1s-неопознанные;;
11;;;;;;;12;5;только наша база;;
11-1;;;;;;;0;0;1s-неопознанные;;
11-100;;;;;;;0;0;1s-неопознанные;;
11-1000;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
11-3;;;;;;;0;0;1s-неопознанные;;
11-300;;позиционное обозначение установки;;;;числовое позиционное обозначение на схеме;0;0;1s-провайдером, 1s-неопознанные;;
11-300М;;;;;;;0;0;1s-неопознанные;;
11-600;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
110А;;;;;;;0;0;1s-неопознанные;;
110В;;;;;;;0;0;1s-неопознанные;;
113;;;;;;;0;0;1s-неопознанные;;
1132;;;;;;;0;0;1s-неопознанные;;
115;;;;;;;0;0;1s-неопознанные;;
11VM-1;;;;;;;1;1;1s-неопознанные;;
11Е-2;;;;;;;1;1;1s-неопознанные;;
11КВТ 380В;;;;;;;3;1;1s-неопознанные;;
11Н-3;;;воздух;;;ТКР это 'турбокомпрессор', и по контексту без уточнения среды он применяется для наддува воздухом.;3;1;1s-среда, 1s-неопознанные;;
12;;;;;;;145;19;только наша база;;
12,5;;;;;;;0;0;1s-неопознанные;;
12-200;;;;;;;0;0;1s-неопознанные;;
12-60;;;;;;;0;0;1s-неопознанные;;
120;;;;;;;0;0;1s-неопознанные;;
120-04;;;;;;;0;0;1s-неопознанные;;
120-06;;;;;;;0;0;1s-неопознанные;;
1200-25-3;;;;;;;0;0;1s-неопознанные;;
1200П;;;;;;;0;0;1s-неопознанные;;
