inn;nomer_procedury;skolko_zapisey;istochniki;tipy;tekst;pochemu
9106001900;B0811220844406;10;Росэлторг;не установлен | тип не установлен | центробежная;Подшипник 5RVA70 радиальный черт.2-20-3092-025;один документ записан несколькими фактами — счётчик «Фактов» завышен
3849096450;B0810251225087;6;Росэлторг;не установлен | садовый инструмент, не машина | центробежная, вид по слову;Воздуходувка аккумуляторная Type-C Li-Ion 6000mAh;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000005268;6;Росэлторг;садовый инструмент, не машина | центробежный насос, не компрессор;Насос центробежный горизонтальный консольный одноступенчатый для перекачивания химически активных и нейтральных жидкостей НасосХимМаш Х50-32-125 4КВТ 380В 12.5М3/Ч 20М 37КГ Российс;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000004315;6;Росэлторг;садовый инструмент, не машина | центробежный насос, не компрессор;Насос центробежный горизонтальный консольный одноступенчатый для перекачивания химически активных и нейтральных жидкостей Насосхиммаш Х50-32-125 4КВТ 380В 12.5М3/Ч 20М 37КГ Российс;один документ записан несколькими фактами — счётчик «Фактов» завышен
5944202327;B0704250751207;6;Росэлторг;услуга или чужая техника, не наша машина;Турбокомпрессор КАМАЗ дв.ЕВРО-4 правый;один документ записан несколькими фактами — счётчик «Фактов» завышен
2801108200;KIM000011654;5;Росэлторг;не установлен | садовый инструмент, не машина;Насос циркуляционный автоматический Grundfos UPS 40-180 F 24М3/Ч 18М 10БАР 0.77КВТ 3x400-415В 40ММ 1 1/2ДЮЙМ -10...+120ГРАД ЦЕЛЬС IPX4D 22.6КГ монтажная длина 250ММ 96401979 Сербия;один документ записан несколькими фактами — счётчик «Фактов» завышен
3849096450;B0810251120018;5;Росэлторг;садовый инструмент, не машина | центробежная, вид по слову;Воздуходувка-пылесос,переносная,220 В,регулировка скорости,длина кабеля не менее 2м,пылесборный мешок вид ручной;один документ записан несколькими фактами — счётчик «Фактов» завышен
3849096450;B0610251220308;5;Росэлторг;садовый инструмент, не машина | центробежная, вид по слову;Воздуходувка-пылесос,переносная,220 В,регулировка скорости,длина кабеля не менее 2м,пылесборный мешок вид ручной;один документ записан несколькими фактами — счётчик «Фактов» завышен
7701984274;SP9214559;5;Росэлторг;не установлен;Пружина стартера воздуходува;один документ записан несколькими фактами — счётчик «Фактов» завышен
3901500276;2182739;4;Фабрикант;не установлен | садовый инструмент, не машина;Закупка и поставка оборудования: Насос пресной воды. Центробежный горизонтальный насос тип SKA6.02.1.1010 c комплектацией № 5 (насос с муфтой, фундаментными болтами, кожухом, фунда;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000008697;4;Росэлторг;тип не установлен;Клапан впускной к компрессору ЕКО EAGURT S20 1108 27250958 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000007334;4;Росэлторг;садовый инструмент, не машина | центробежный насос, не компрессор;Насос центробежный горизонтальный консольный Ливгидромаш 1X50-32-125-К-5 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
7725262013;SP10049691;4;Росэлторг;тип не установлен;Компрессор Embraco Aspera NE2134Z;один документ записан несколькими фактами — счётчик «Фактов» завышен
9106001900;B1109231208298;4;Росэлторг;тип не установлен | центробежная;Корпус компрессора Моника 7RVA70 Черт.3-20-5305-010 без диафрагм и без ротора;один документ записан несколькими фактами — счётчик «Фактов» завышен
0268000188;32616233383;3;РТС-тендер | ЭТП ГПБ | ЭТП ГПБ, поиск по словам;садовый инструмент, не машина;Выполнение работ по «Замене шкафов управления воздуходувками ТВ80-1,6 (160 кВт) и силовых шкафов РУ-0,4кВ (инв.№712103) в производственно-вспомогательном здании цеха БОС»;один документ записан несколькими фактами — счётчик «Фактов» завышен
1435117944;KIM000007407;3;Росэлторг;услуга или чужая техника, не наша машина;Турбокомпрессор Автодизель для дизельных двигателей ЯМЗ-530 300x300x250ММ 10КГ 5340.1118010 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
1435117944;KIM000007347;3;Росэлторг;услуга или чужая техника, не наша машина;Турбокомпрессор Автодизель для дизельных двигателей ЯМЗ-530 300x300x250ММ 10КГ 5340.1118010 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000008865;3;Росэлторг;не установлен;Колесо рабочее к насосу 1Д 630-125 №Н03.3.325.01.01.001 сч20 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
7017005296;31604000700;3;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Право заключения договора на выполнение работ по внедрению САР и ПАЗ турбокомпрессора природного газа 3722/3101 для нужд ООО «Сибметахим»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7017005296;31401096821;3;ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Право заключения договора поставки масла компрессорного КП-8С для нужд ООО «Сибметахим»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7017005296;31401040015;3;ЭТП ГПБ, поиск по словам;вид не назван (общая формулировка);Право заключения договора на поставку запасных частей к компрессорному оборудованию Atlas Copco для нужд ОАО Томскгазпром;один документ записан несколькими фактами — счётчик «Фактов» завышен
7715488540;SP9823916;3;Росэлторг;садовый инструмент, не машина | центробежная, вид по слову;ВОЗДУХОДУВКА ZIMANI BR776;один документ записан несколькими фактами — счётчик «Фактов» завышен
7715488540;SP9822204;3;Росэлторг;садовый инструмент, не машина | центробежная, вид по слову;ВОЗДУХОДУВКА ZIMANI BR776;один документ записан несколькими фактами — счётчик «Фактов» завышен
7736046504;31400999243;3;ЭТП ГПБ, поиск по словам;не установлен;Поставка топлива для реактивных двигателей ТС-1 водным транспортом для нужд ООО Авиапредприятие «Газпром авиа»;один документ записан несколькими фактами — счётчик «Фактов» завышен
7736046504;31300497887;3;ЭТП ГПБ, поиск по словам;поршневая или винтовая;Открытый запрос предложений на поставку шиномонтажного станка и поршневых компрессоров для нужд ООО Авиапредприятие «Газпром авиа»;один документ записан несколькими фактами — счётчик «Фактов» завышен
0253019901;0600600026822000002;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Поставка турбокомпрессорной воздуходувки;один документ записан несколькими фактами — счётчик «Фактов» завышен
0256006322;ГП002482;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Запрос предложений. Воздуходувки.;один документ записан несколькими фактами — счётчик «Фактов» завышен
0256006322;ГП710661;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;вихревая или роторная воздуходувка, принцип не центробежный;Запрос цен на вихревую воздуходувку EVL 250/37;один документ записан несколькими фактами — счётчик «Фактов» завышен
0256006322;ГП013190;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос предложений. Турбокомпрессор.;один документ записан несколькими фактами — счётчик «Фактов» завышен
0256006322;ГП712845;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос предложений на турбокомпрессор ТРК К36-87-01;один документ записан несколькими фактами — счётчик «Фактов» завышен
0264014479;0501300007226000013;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Капитальный ремонт компрессора (воздуходувки) на биологических очистных сооружениях (г.Нефтекамск, с.Амзя, ул.Свердлова, 12);один документ записан несколькими фактами — счётчик «Фактов» завышен
0266048970;ГП534563;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;52753-22-24 от 20.10.2025 - ЗИП центробежного компрессора поз. 3ГЦ2-34/40-55 УХЛ-2;один документ записан несколькими фактами — счётчик «Фактов» завышен
0266048970;ГП619686;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;1048/07.07.26/КО/Э Поставка воздуходувки промышленной;один документ записан несколькими фактами — счётчик «Фактов» завышен
0266048970;ГПК401064;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"33/10.01.24/КО/Э Поставка масла для турбокомпрессоров для нужд ООО ""Газпром нефтехим Салават""";один документ записан несколькими фактами — счётчик «Фактов» завышен
0266048970;ГПК303188;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"481/06.03.23/КО/Э Поставка масла для смазки торцевого уплотнения и подшипников турбокомпрессоров для нужд ООО ""Газпром нефтехим Салават""";один документ записан несколькими фактами — счётчик «Фактов» завышен
0266048970;ГП631660;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;тип не установлен;Техническое обслуживание стоек СГУ ЦНД, ЦСД, ЦВД компрессора поз.М-1;один документ записан несколькими фактами — счётчик «Фактов» завышен
