inn;predpriyatie;sreda;tip_mashiny;marki;tekst;chem_dokazano;ssylka;istochnik;pochemu
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;;"Здания и сооружения на опасном производственном объекте Объект экспертизы: Строительные конструкции здания цеха разделения воздуха азотно-кислородной станции АО ""БелЗАН""";заключение ЭПБ № 41-ЗС-52686-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52686-2020;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;;"Здания и сооружения на опасном производственном объекте Объект экспертизы: Строительные конструкции здания цеха наполнения баллонов азотно-кислородной станции АО ""БелЗАН""";заключение ЭПБ № 41-ЗС-52704-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52704-2020;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;Здание цеха наполнения баллонов азотно-кислородной станции ОАО «БелЗАН», г. Белебей;заключение ЭПБ № 41-ЗС-19824-2015;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-19824-2015;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;буферную ёмкость всасывания 3 ступени, установленная на азотно- кислородной станции;заключение ЭПБ № 01-ТУ-10847-2021;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-10847-2021;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;буферную ёмкость всасывания 4 ступени, установленная на азотно- кислородной станции;заключение ЭПБ № 01-ТУ-10848-2021;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-10848-2021;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;Сосуд, зав. №105-77, рег. №21-з, установленный на азотно-кислородной станции;заключение ЭПБ № 01-ТУ-12218-2021;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-12218-2021;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не установлен;;Влагомаслоотделитель 1 ступени, зав. №2, рег.№62-з, установленный на азотно-кислородной станции;заключение ЭПБ № 01-ТУ-12214-2021;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-12214-2021;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;Буферная емкость всасывания 3 ступени, зав.№33, рег.№55-з, установленная на азотно-кислородной станции;заключение ЭПБ № 41-ТУ-21287-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21287-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;Буферная емкость всасывания 4 ступени, зав.№32, рег.№43-з, установленная на азотно-кислородной станции;заключение ЭПБ № 41-ТУ-21301-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21301-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0255010527;"АО ""БЕЛЗАН""";газ или иная среда;не применимо;;Буферная емкость нагнетания 3 ступени, зав.№32, рег.№45-з, установленная на азотно-кислородной станции;заключение ЭПБ № 41-ТУ-21324-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-21324-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
