inn;predpriyatie;ofic_nazvanie;status;adres;rukovoditel;dolzhnost_rukovoditelya;okved;marki_mashin;vozdushnyh_zaklyucheniy;posledneye_zaklyuchenie;oshibka
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";"ООО ""ТОМСКНЕФТЕХИМ""";ACTIVE;г Томск, Кузовлевский тракт, д 2 стр 202;Рябиков Рамиль Митхатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.16;CКР 100/170, GEH500, GKRV 100/170, GKRV 300/650, GKRV-100/170, GMB 14;112;2026-02-12;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ACTIVE;Респ Башкортостан, г Салават, ул Молодогвардейцев, д 30;Семенько Евгений Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;HS-0034, LC-0059, LG 360, LS-0051, LS-0052, LS-0053;109;2026-07-27;
3801009466;"АО ""АНХК""";"АО ""АНХК""";ACTIVE;Иркутская обл, г Ангарск, тер Первый промышленный массив, кв-л 63, стр 2;Глухов Илья Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;HG 30/52, ВР120-28-10, ВР80-75, ВЦ 5 50, ВЦ 5-50, К-1500;102;2026-06-15;
3801046700;"АО ""АЗП""";"АО ""АЗП""";ACTIVE;Иркутская обл, г Ангарск, тер Первый промышленный массив, кв-л 8, стр 5;Александров Михаил Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.1;GMA 13, RPA 70, RPD135, А67-00348, В-201/1, В-201/2;100;2026-01-20;
4218000951;"АО ""ЕВРАЗ ЗСМК""";"АО ""ЕВРАЗ ЗСМК""";LIQUIDATED;Кемеровская область - Кузбасс, г Новокузнецк, р-н Заводской, Космическое шоссе, зд 16;;;24.10.6;А68-00341-0076, ВОК-500, ВОК-500-9-1, ВОК-79, ВОТ-380, К-1500-62-2;97;2025-12-01;
0274051582;"ПАО АНК ""БАШНЕФТЬ""";"ПАО АНК ""БАШНЕФТЬ""";ACTIVE;г Уфа, ул Карла Маркса, д 30/1;Стрельцов Тимофей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;BCSN542, RVJ 1600, ВД-501, ВДН-11, К-250-61-5, К-500-61-1;74;2025-12-25;
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";ACTIVE;г Омск, пр-кт Губкина, д 1;Морозов Кирилл Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;DB-349, GC-341, GCM-311, GCM311, GCМ 321, GV-342;73;2026-07-16;
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";ACTIVE;г Пермь, ул Промышленная, д 84;Шарафутдинов Ильшат Миргазиянович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;ETRU-1250, LRM-630, MD 1400/1320, MD710/1350, SLIA 113, SLIA 144;70;2026-03-26;
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";ACTIVE;Красноярский край, г Норильск, ул Павлова, д 17;Довгаль Виталий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;33.12;ВОК 79, ВОК-79, ЗЭ-2022, К-500-61, К-500-61-1, К-500-61-5;69;2026-02-16;
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";"АО ""НЕВИННОМЫССКИЙ АЗОТ""";ACTIVE;Ставропольский край, г Невинномысск, ул Низяева, зд 1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВО МИНЕРАЛЬНЫХ УДОБРЕНИЙ ""ЕВРОХИМ""";;20.15.3;В-3201, В-3251, В-3252, Л-203/1, ТВ 200-1, ТВ 200-1-1;58;2025-05-23;
7116000066;"АО ""НАК ""АЗОТ""";"АО ""НАК ""АЗОТ""";ACTIVE;Тульская обл, г Новомосковск, ул Связи, д 10;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВО МИНЕРАЛЬНЫХ УДОБРЕНИЙ ""ЕВРОХИМ""";;20.15.3;SV-863, В-56/1, В-56/2, ТВ-200-1;52;2024-12-02;
0258005638;"АО ""ПОЛИЭФ""";"АО ""ПОЛИЭФ""";ACTIVE;Респ Башкортостан, г Благовещенск, ул Социалистическая, д 71;Корнеев Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;CFL 315, DТ 66/202, FQ 501, L3487-0002, MD-9016, RVK 063/160-30;52;2025-02-05;
6325004584;"АО ""СНПЗ""";"АО ""СНПЗ""";ACTIVE;Самарская обл, г Сызрань, ул Астраханская, д 1;Прошкин Алексей Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;LRMV 710/2, SD120-40, ЛГ 35/11-300, М400-26, МХЕ125, ТВ 80-1;48;2026-05-26;
5191431170;"АО ""КОЛЬСКАЯ ГМК""";"АО ""КОЛЬСКАЯ ГМК""";ACTIVE;Мурманская обл, г Мончегорск, тер Промплощадка КГМК;Шаркий Роман Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;24.41;ВОК-79, К-150-62-5, К-1500, К-1500-62-5, К-250-61-2, К-250-61-5;47;2026-07-03;
2624022320;"ООО ""СТАВРОЛЕН""";"ООО ""СТАВРОЛЕН""";ACTIVE;Ставропольский край, г Буденновск, ул Розы Люксембург, д 1;Шулындин Владимир Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.16;GMB 14, GMB 15, К 5532, К-250-61-5, ЦК-135/8;41;2024-09-23;
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";"ПАО ""ЮЖНЫЙ КУЗБАСС""";ACTIVE;Кемеровская область - Кузбасс, г Междуреченск, ул Юности, д 6;Тихонский Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.22;ESD 351, HSG-1100, WZY1200, БС-550, ВЦ 14-46, МО-212;40;2025-08-28;
0266008329;"ОАО ""Газпром нефтехим Салават""";"ОАО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";LIQUIDATED;Респ Башкортостан, г Салават, ул Молодогвардейцев, д 30;Каримов Айрат Азатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20;DF-0600, OZ2000, SG0192, К-500-61-1, К-905-61-1, КК-1000;35;2016-10-18;
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";ACTIVE;г Астрахань, ул Ленина, стр 30;Мельниченко Андрей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.20.2;SNH 80, VDR-100-0, ЦК-135/8, Ш40-4-18/4;35;2018-12-13;
5905018998;"АО ""СИБУР-ХИМПРОМ""";"АО ""СИБУР-ХИМПРОМ""";ACTIVE;г Пермь, ул Промышленная, д 98;Леньков Максим Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;KXE-125, SB 0140, SB 0530, SB0140, SB0530, SВ 0140;32;2026-01-15;
6314006396;"АО ""КНПЗ""";"АО ""КНПЗ""";ACTIVE;г Самара, ул Грозненская, д 25;Казаков Дмитрий Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;C-201-2, DZ-1000, MB-411, ZH7000, ВДН-12, ВДН-20;31;2025-11-28;
6330000553;"АО ""НК НПЗ""";"АО ""НК НПЗ""";ACTIVE;Самарская обл, г Новокуйбышевск, ул Осипенко, зд 12 стр 1;Голицаев Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;RSA 32, А53-00301-0008, ЛСИ-200, ТВ-200-1, ЦК-135/8;30;2026-04-29;
7118004789;"ОАО ""Щекиноазот""";"АО ""ЩЕКИНОАЗОТ""";ACTIVE;Тульская обл, Щекинский р-н, рп Первомайский, ул Петра Шарова, зд 19;Курганов Вячеслав Аркадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;AA-171, ВОТ-260, К-350-61-1, К-350-61-2, К350-61-1, К905-61-1;30;2025-09-08;
7206025040;"ООО ""СИБУР Тобольск""";"ООО ""СИБУР ТОБОЛЬСК""";LIQUIDATED;Тюменская обл, г Тобольск, тер Промзона;Климов Игорь Георгиевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20;BA-103-1, GB-101-1, ВI-601, К-250-61-5, К-500-61-5, М-15/1;28;2018-12-20;
4205000908;"КАО ""АЗОТ""";"КАО ""АЗОТ""";ACTIVE;г Кемерово, ул Грузовая, стр 1;Вишневский Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;К-905-61-1, КТК-12, ОК-500-94, ЦК 135/8, ЦК-135/8, ЭПБ-0533-11-2022;25;2026-03-05;
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";ACTIVE;Кемеровская область - Кузбасс, г Прокопьевск, ул Кутузова, д 1;Михайленко Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.23;GM 130, GM 150, GМ-130, HSG-1100, KLG 400, NPK 200-560;25;2025-12-19;
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";"ООО ""ПРОКТЕР ЭНД ГЭМБЛ-НОВОМОСКОВСК""";ACTIVE;Тульская обл, г Новомосковск, Комсомольское шоссе, д 64;Каладжян Андрей Азатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.41.3;D401-01, D404-01, D405-01, D407-01, F802-01, F803-01;25;2023-05-11;
6227007322;"АО ""РНПК""";"АО ""РНПК""";ACTIVE;г Рязань, р-н Южный Промузел, д 8;Михайлов Сергей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;AH-102, HN-1400-900, ZH800, АА-102, АН-102, АС-102;24;2026-01-14;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";"ПАО ""КУЙБЫШЕВАЗОТ""";ACTIVE;Самарская обл, г Тольятти, ул Новозаводская, зд 6;Герасименко Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;В-101/2, В-11/1, В-11/2, В-603/1, В-603/2, В-603/3;24;2025-10-09;
4708007089;"ООО""КИНЕФ""";"ООО ""КИНЕФ""";ACTIVE;Ленинградская обл, г Кириши, шоссе Энтузиастов, д 1;Камешков Алексей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;BW-2111, BW-2112, BW-2121, BW-2122, CVEV-130-7, E-80-315;22;2025-07-09;
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";ACTIVE;Нижегородская обл, г Дзержинск, пр-кт Свердлова, д 4;Гиниятов Наиль Халилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.51;ОП 701-25, ОП 702-25, ОП 703-25, ОП 704-25, ОП 705-25, ОП 709-25;22;2025-12-16;
6623000680;"ПАО ""ЕВРАЗ""";"ПАО ""ЕВРАЗ""";ACTIVE;Свердловская обл, г Нижний Тагил, ул Металлургов, д 1;;;24.10.7;К-1500, К-1500-62-2, К-250-61-5;20;2026-06-10;
0268036071;"ОАО ""Синтез-Каучук""";"АО ""СИНТЕЗ-КАУЧУК""";LIQUIDATED;Респ Башкортостан, г Стерлитамак, ул Техническая, д 14;Жаворонков Дмитрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.17;К-250-61-1, Р-10/1, ТВ-175-1, ТВ-80-1, ТГ-80-1, Э 200-31-1;20;2023-06-21;
3435900186;"АО ""ВТЗ""";"АО ""ВТЗ""";LIQUIDATED;Волгоградская обл, г Волжский, пр-кт Металлургов, д 6;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРУБНАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";;24.20;К-250-61, К-250-61-1, К-250-61-2, К-250-61-5, К-500-61-5, ТУ-0297-2025;19;2025-08-29;
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";ACTIVE;Краснодарский край, г Туапсе, ул Сочинская, д 1;Талипов Динар Фанисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;VD-1001, VD-2001, АВТ-12, ВК9020, ВК9030, Е-450/56-63;18;2024-09-12;
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";"АО ""УРАЛЬСКАЯ СТАЛЬ""";ACTIVE;Оренбургская обл, г Новотроицк, ул Заводская, зд 1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""УРАЛЬСКАЯ СТАЛЬ""";;24.10.3;К-1500-61-2, К-250, К-345-91-1;16;2024-07-04;
6330017980;"АО ""ННК""";"АО ""ННК""";ACTIVE;Самарская обл, г Новокуйбышевск;Иванов Сергей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;V-8019, V-8794, С-700, ТВ-115/1, ТВ-115/2, ТВ-175-1;16;2026-02-04;
5103070023;"АО ""АПАТИТ""";"АО ""АПАТИТ""";ACTIVE;Вологодская обл, г Череповец, Северное шоссе, д 75;Новиков Денис Федорович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.4;К-250-61-5, К-500-61-1, ТУ-7492-2026, ЦК 115/9, ЦК 135, ЦК-115/9;15;2026-07-13;
6704000505;"ПАО ""Дорогобуж""";"ПАО ""ДОРОГОБУЖ""";ACTIVE;Смоленская обл, г Дорогобуж, тер промплощадка ПАО Дорогобуж;Куницкий Владимир Яковлевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР (ПРЕЗИДЕНТ);20.15.3;GB 335, GB 354, GB 356, GB 740, GВ 740/3;13;2025-12-18;
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";"ПАО ""СЛАВНЕФТЬ-ЯНОС""";ACTIVE;г Ярославль, Московский пр-кт, д 130;Карпов Николай Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.9;К-250-61-5, К250-61-5;13;2026-05-05;
4223057424;"ООО ""ОФ ""Коксовая""";"ООО ""ОБОГАТИТЕЛЬНАЯ ФАБРИКА ""КОКСОВАЯ""";ACTIVE;Кемеровская область - Кузбасс, г Прокопьевск, пл-ка Фрунзе, зд 1;Бердин Игорь Леонидович;ДИРЕКТОР;05.10.23;PTD 306, ГЦР-150, ДО 080, МО-318, ФГВ-1321, ШН-250-34;13;2026-02-03;
