inn;name;region;vyruchka;est_sajt_u_nas;est_telefon_u_nas;chto_nuzhno
7830000426;"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Санкт-Петербург;52100000000.0;1;1;"site;phones;emails из enrich.db"
7705013033;"ГУП ""МОСВОДОСТОК""";Москва;27600000000.0;1;1;"site;phones;emails из enrich.db"
6445029380;"МУП ""БЛАГОУСТРОЙСТВО""";Саратовская область;15000000000.0;;1;"site;phones;emails из enrich.db"
1653006666;"МУП ""ВОДОКАНАЛ""";Республика Татарстан;8200000000.0;1;1;"site;phones;emails из enrich.db"
2308111927;"ООО ""КРАСНОДАР ВОДОКАНАЛ""";Краснодарский край;7200000000.0;1;1;"site;phones;emails из enrich.db"
5902817382;"ООО ""НОВОГОР-ПРИКАМЬЕ""";Пермский край;7100000000.0;1;1;"site;phones;emails из enrich.db"
7726671234;"ООО ""РВК-ВОРОНЕЖ""";Воронежская область;6800000000.0;1;1;"site;phones;emails из enrich.db"
5504097128;"АО ""ОМСКВОДОКАНАЛ""";Омская область;6300000000.0;1;1;"site;phones;emails из enrich.db"
2426004706;"ООО ""ИМПУЛЬС""";Красноярский край;5100000000.0;1;1;"site;phones;emails из enrich.db"
2457029066;"МУП ""КОС""";Красноярский край;3300000000.0;1;1;"site;phones;emails из enrich.db"
5027130197;"АО ""ЛЮБЕРЕЦКИЙ ВОДОКАНАЛ""";Московская область;3200000000.0;1;1;"site;phones;emails из enrich.db"
2221064060;"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";Алтайский край;3100000000.0;1;1;"site;phones;emails из enrich.db"
8602016725;"СГМУП ""ГВК""";Ханты-Мансийский автономный округ - Югра;3000000000.0;1;1;"site;phones;emails из enrich.db"
2370011145;"ООО ""ЧИСТЫЙ ДВОР""";Москва;2900000000.0;1;1;"site;phones;emails из enrich.db"
1650297657;"ООО ""ЧЕЛНЫВОДОКАНАЛ""";Республика Татарстан;2900000000.0;1;1;"site;phones;emails из enrich.db"
3807000276;"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА";Иркутская область;2800000000.0;1;1;"site;phones;emails из enrich.db"
5047081156;"ОАО ""ХИМКИНСКИЙ ВОДОКАНАЛ""";Московская область;2500000000.0;1;1;"site;phones;emails из enrich.db"
8904046652;"АО ""УГВК""";Ямало-Ненецкий автономный округ;2300000000.0;;1;"site;phones;emails из enrich.db"
