predmet;stancii;eis;razdely;kompressor_v_razdelah;url
мониторинг цен в электронной форме на Поставка запасных частей для автобусов ПАЗ;Белоярская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Вентиляция и кондиционирование воздуха|Датчики давления. Манометры|Крепежные изделия|Трубопроводная арматура|Обслуживание и ремонт компрессорного оборудования|Спецтехника|Обслуживание и ремонт спецтехники|Датчики температуры;1;https://energybase.ru/tender/019f1455-47a0-7266-ab54-5564ee92f141
Право заключения договора на поставка запасных частей для двигателей и трансмиссии автобусов МАЗ-103, 107;Калининская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Теплообменное оборудование|Соединительные детали трубопроводов|Датчики давления. Манометры|Промышленные фильтры|Трубопроводная арматура|Спецтехника|Датчики температуры|Резинотехнические изделия;1;https://energybase.ru/tender/019e2c86-a0cb-729c-8f85-9cf8034b4766
мониторинг цен в электронной форме на Мониторинг цен на поставку запасных частей для автобусов для нужд ООО «Ленинградская АЭС-Авто»;Ленинградская АЭС;;Кабели|КИП и А|Компрессорное оборудование|Осветительное оборудование|Редукторы и трансмиссии|Подшипники|Спецтехника|Обслуживание и ремонт спецтехники;1;https://energybase.ru/tender/019e276c-a161-700c-9f7b-7032f9749964
мониторинг цен в электронной форме на Поставка запасных частей и расходных материалов для обслуживания и текущего ремонта автомобилей Volvo XC90 и Peugeot Partner;Калининская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Теплообменное оборудование|Вентиляция и кондиционирование воздуха|Техническое обслуживание и ремонт|Редукторы и трансмиссии|Подшипники|Обслуживание и ремонт компрессорного оборудования|Спецтехника|Обслуживание и ремонт спецтехники|Датчики температуры;1;https://energybase.ru/tender-outdated/019c4881-6e20-7298-8afe-dade663b9ab6
мониторинг цен в электронной форме на Оказание услуг по ремонту автобусов малого класса;Калининская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Соединительные детали трубопроводов|Подшипники|Трубопроводная арматура;1;https://energybase.ru/tender-outdated/019c007e-e55b-700b-9149-af25c111bc67
мониторинг цен в электронной форме на Поставка запчастей для автобусов МАЗ;Ленинградская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Датчики давления. Манометры|Редукторы и трансмиссии|Крепежные изделия|Подшипники|Трубопроводная арматура|Спецтехника|Обслуживание и ремонт спецтехники;1;https://energybase.ru/tender-outdated/019bc28d-39c1-7240-b6af-1f852e56667e
мониторинг цен в электронной форме на Поставка запасных частей для ремонта автомобиля Toyota Camry V-70;Калининская АЭС;;Кабели|КИП и А|Насосы|Компрессорное оборудование|НКУ, низковольтная аппаратура|Инженерные системы и вспомогательное оборудование|Вентиляция и кондиционирование воздуха|Обслуживание и ремонт арматуры (ЗРА, фонтанной)|Системы промышленной безопасности (ИТСО)|Подшипники|Трубопроводная арматура|Обслуживание и ремонт спецтехники;1;https://energybase.ru/tender-outdated/019bb841-bfa8-71ae-af6d-9e777252ccab
Право заключения договора на поставка запасных частей для автомобилей VW Caravelle;Кольская АЭС;;КИП и А|Насосы|Компрессорное оборудование|Системы подачи и подготовки топлива|Вентиляция и кондиционирование воздуха|Датчики давления. Манометры|Промышленные фильтры|Крепежные изделия|Исполнительные механизмы, приводы|Обслуживание и ремонт компрессорного оборудования|Спецтехника|Обслуживание и ремонт спецтехники;1;https://energybase.ru/tender-outdated/019b4c01-969b-7143-8619-bd548692fe2e
мониторинг цен в электронной форме на Поставка запасных частей для двигателей и трансмиссии большегрузных автомобилей;Калининская АЭС;;Компрессорное оборудование|Спецтехника|Обслуживание и ремонт спецтехники|Резинотехнические изделия;1;https://energybase.ru/tender-outdated/019a5f2e-8a9c-70be-b305-68313333a41b
Право заключения договора на поставка компрессора поршневого, осушителя сжатого воздуха, магистрального фильтра;Ленинградская АЭС;;Компрессорное оборудование|Промышленные фильтры;1;https://energybase.ru/tender-outdated/0199c2b7-b2d4-7291-8771-6f54196724c9
поставка групп товаров за исключением нестандартного технологического оборудования для объекта ООО «Ленинградская АЭС – Авто», компрессор поршневой, осушитель сжатого воздуха, магистральный фильтр;Ленинградская АЭС;;Компрессорное оборудование|Промышленные фильтры;1;https://energybase.ru/tender-outdated/fabrikant-3372634
мониторинг цен в электронной форме на поставка групп товаров за исключением нестандартного технологического оборудования для объекта ООО «Ленинградская АЭС – Авто», компрессор поршневой, осушитель сжатого воздуха, магистральный фильтр;Ленинградская АЭС;;Компрессорное оборудование|Промышленные фильтры;1;https://energybase.ru/tender-outdated/roseltorg-atom10092500352
мониторинг цен в электронной форме на поставка запчастей для автомобилей Lexus;Ленинградская АЭС;;Компрессорное оборудование|Соединительные детали трубопроводов|Крепежные изделия|Спецтехника|Обслуживание и ремонт спецтехники;1;https://energybase.ru/tender-outdated/roseltorg-atom29072500072
мониторинг цен в электронной форме на Поставка запасных частей и расходных материалов для ВПУМ CEKSAN BKM 2020;Калининская АЭС;;Насосы|Компрессорное оборудование|Инженерные системы и вспомогательное оборудование|Гидравлика и пневматика|Вентиляция и кондиционирование воздуха|Обслуживание и ремонт арматуры (ЗРА, фонтанной)|Промышленные фильтры|Трубопроводная арматура|Торцевые уплотнения и уплотнительные устройства|Обслуживание и ремонт компрессорного оборудования|Масла гидравлические;1;https://energybase.ru/tender-outdated/roseltorg-atom17062500406
